"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","25-34 years","25-34","Female","F",60,20431857,0.3
,"Other bacterial diseases","A30-A49","2010","2010","25-34 years","25-34","Male","M",59,20632091,0.3
"Total","Other bacterial diseases","A30-A49","2010","2010","25-34 years","25-34",,,119,41063948,0.3
,"Other bacterial diseases","A30-A49","2010","2010","35-44 years","35-44","Female","F",137,20634607,0.7
,"Other bacterial diseases","A30-A49","2010","2010","35-44 years","35-44","Male","M",165,20435999,0.8
"Total","Other bacterial diseases","A30-A49","2010","2010","35-44 years","35-44",,,302,41070606,0.7
,"Other bacterial diseases","A30-A49","2010","2010","45-54 years","45-54","Female","F",460,22864357,2.0
,"Other bacterial diseases","A30-A49","2010","2010","45-54 years","45-54","Male","M",610,22142359,2.8
"Total","Other bacterial diseases","A30-A49","2010","2010","45-54 years","45-54",,,1070,45006716,2.4
,"Other bacterial diseases","A30-A49","2010","2010","55-64 years","55-64","Female","F",874,18881581,4.6
,"Other bacterial diseases","A30-A49","2010","2010","55-64 years","55-64","Male","M",1158,17601148,6.6
"Total","Other bacterial diseases","A30-A49","2010","2010","55-64 years","55-64",,,2032,36482729,5.6
,"Other bacterial diseases","A30-A49","2010","2010","65-74 years","65-74","Female","F",1384,11616910,11.9
,"Other bacterial diseases","A30-A49","2010","2010","65-74 years","65-74","Male","M",1619,10096519,16.0
"Total","Other bacterial diseases","A30-A49","2010","2010","65-74 years","65-74",,,3003,21713429,13.8
,"Other bacterial diseases","A30-A49","2010","2010","75-84 years","75-84","Female","F",2243,7584360,29.6
,"Other bacterial diseases","A30-A49","2010","2010","75-84 years","75-84","Male","M",2265,5476762,41.4
"Total","Other bacterial diseases","A30-A49","2010","2010","75-84 years","75-84",,,4508,13061122,34.5
,"Other bacterial diseases","A30-A49","2010","2010","85+ years","85+","Female","F",2673,3703754,72.2
,"Other bacterial diseases","A30-A49","2010","2010","85+ years","85+","Male","M",1756,1789679,98.1
"Total","Other bacterial diseases","A30-A49","2010","2010","85+ years","85+",,,4429,5493433,80.6
"Total","Other bacterial diseases","A30-A49","2010","2010",,,,,15463,203891983,7.6
,"Other bacterial diseases","A30-A49","2011","2011","25-34 years","25-34","Female","F",52,20746335,0.3
,"Other bacterial diseases","A30-A49","2011","2011","25-34 years","25-34","Male","M",84,21044163,0.4
"Total","Other bacterial diseases","A30-A49","2011","2011","25-34 years","25-34",,,136,41790498,0.3
,"Other bacterial diseases","A30-A49","2011","2011","35-44 years","35-44","Female","F",150,20404484,0.7
,"Other bacterial diseases","A30-A49","2011","2011","35-44 years","35-44","Male","M",211,20223470,1.0
"Total","Other bacterial diseases","A30-A49","2011","2011","35-44 years","35-44",,,361,40627954,0.9
,"Other bacterial diseases","A30-A49","2011","2011","45-54 years","45-54","Female","F",450,22698956,2.0
,"Other bacterial diseases","A30-A49","2011","2011","45-54 years","45-54","Male","M",623,22019247,2.8
"Total","Other bacterial diseases","A30-A49","2011","2011","45-54 years","45-54",,,1073,44718203,2.4
,"Other bacterial diseases","A30-A49","2011","2011","55-64 years","55-64","Female","F",936,19703935,4.8
,"Other bacterial diseases","A30-A49","2011","2011","55-64 years","55-64","Male","M",1218,18358205,6.6
