"Notes","Year","Year Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate
,"2010","2010","Septicaemia due to streptococcus, group A","A40.0",59,308745538,0.0
,"2010","2010","Septicaemia due to streptococcus, group B","A40.1",68,308745538,0.0
,"2010","2010","Septicaemia due to streptococcus, group D","A40.2",446,308745538,0.1
,"2010","2010","Septicaemia due to Streptococcus pneumoniae","A40.3",403,308745538,0.1
,"2010","2010","Other streptococcal septicaemia","A40.8",40,308745538,0.0
,"2010","2010","Streptococcal septicaemia, unspecified","A40.9",343,308745538,0.1
,"2010","2010","Septicaemia due to Staphylococcus aureus","A41.0",2215,308745538,0.7
,"2010","2010","Septicaemia due to other specified staphylococcus","A41.1",43,308745538,0.0
,"2010","2010","Septicaemia due to unspecified staphylococcus","A41.2",1004,308745538,0.3
,"2010","2010","Septicaemia due to Haemophilus influenzae","A41.3",21,308745538,0.0
,"2010","2010","Septicaemia due to anaerobes","A41.4",323,308745538,0.1
,"2010","2010","Septicaemia due to other Gram-negative organisms","A41.5",3595,308745538,1.2
,"2010","2010","Other specified septicaemia","A41.8",215,308745538,0.1
,"2010","2010","Septicaemia, unspecified","A41.9",151010,308745538,48.9
"Total","2010","2010",,,159785,308745538,51.8
,"2011","2011","Septicaemia due to streptococcus, group A","A40.0",76,311591917,0.0
,"2011","2011","Septicaemia due to streptococcus, group B","A40.1",58,311591917,0.0
,"2011","2011","Septicaemia due to streptococcus, group D","A40.2",416,311591917,0.1
,"2011","2011","Septicaemia due to Streptococcus pneumoniae","A40.3",363,311591917,0.1
,"2011","2011","Other streptococcal septicaemia","A40.8",44,311591917,0.0
,"2011","2011","Streptococcal septicaemia, unspecified","A40.9",388,311591917,0.1
,"2011","2011","Septicaemia due to Staphylococcus aureus","A41.0",2110,311591917,0.7
,"2011","2011","Septicaemia due to other specified staphylococcus","A41.1",34,311591917,0.0
,"2011","2011","Septicaemia due to unspecified staphylococcus","A41.2",908,311591917,0.3
,"2011","2011","Septicaemia due to Haemophilus influenzae","A41.3",24,311591917,0.0
,"2011","2011","Septicaemia due to anaerobes","A41.4",232,311591917,0.1
,"2011","2011","Septicaemia due to other Gram-negative organisms","A41.5",3583,311591917,1.1
,"2011","2011","Other specified septicaemia","A41.8",225,311591917,0.1
,"2011","2011","Septicaemia, unspecified","A41.9",156460,311591917,50.2
"Total","2011","2011",,,164921,311591917,52.9
,"2012","2012","Septicaemia due to streptococcus, group A","A40.0",47,313914040,0.0
,"2012","2012","Septicaemia due to streptococcus, group B","A40.1",60,313914040,0.0
,"2012","2012","Septicaemia due to streptococcus, group D","A40.2",370,313914040,0.1
,"2012","2012","Septicaemia due to Streptococcus pneumoniae","A40.3",308,313914040,0.1
,"2012","2012","Other streptococcal septicaemia","A40.8",37,313914040,0.0
,"2012","2012","Streptococcal septicaemia, unspecified","A40.9",323,313914040,0.1
