"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","2013 Urbanization","2013 Urbanization Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Large Central Metro","1",4348,93505527,4.6
,"Other bacterial diseases","A30-A49","2010","2010","Large Fringe Metro","2",3520,76007372,4.6
,"Other bacterial diseases","A30-A49","2010","2010","Medium Metro","3",3406,64369293,5.3
,"Other bacterial diseases","A30-A49","2010","2010","Small Metro","4",1497,28569940,5.2
,"Other bacterial diseases","A30-A49","2010","2010","Micropolitan (Nonmetro)","5",1569,27154213,5.8
,"Other bacterial diseases","A30-A49","2010","2010","NonCore (Nonmetro)","6",1174,19139193,6.1
"Total","Other bacterial diseases","A30-A49","2010","2010",,,15514,308745538,5.0
,"Other bacterial diseases","A30-A49","2011","2011","Large Central Metro","1",4419,94698280,4.7
,"Other bacterial diseases","A30-A49","2011","2011","Large Fringe Metro","2",3557,76806991,4.6
,"Other bacterial diseases","A30-A49","2011","2011","Medium Metro","3",3404,64998427,5.2
,"Other bacterial diseases","A30-A49","2011","2011","Small Metro","4",1635,28766906,5.7
,"Other bacterial diseases","A30-A49","2011","2011","Micropolitan (Nonmetro)","5",1752,27214415,6.4
,"Other bacterial diseases","A30-A49","2011","2011","NonCore (Nonmetro)","6",1244,19106898,6.5
"Total","Other bacterial diseases","A30-A49","2011","2011",,,16011,311591917,5.1
,"Other bacterial diseases","A30-A49","2012","2012","Large Central Metro","1",4273,95794160,4.5
,"Other bacterial diseases","A30-A49","2012","2012","Large Fringe Metro","2",3301,77488865,4.3
,"Other bacterial diseases","A30-A49","2012","2012","Medium Metro","3",3465,65473964,5.3
,"Other bacterial diseases","A30-A49","2012","2012","Small Metro","4",1626,28907451,5.6
,"Other bacterial diseases","A30-A49","2012","2012","Micropolitan (Nonmetro)","5",1681,27216731,6.2
,"Other bacterial diseases","A30-A49","2012","2012","NonCore (Nonmetro)","6",1250,19032869,6.6
"Total","Other bacterial diseases","A30-A49","2012","2012",,,15596,313914040,5.0
,"Other bacterial diseases","A30-A49","2013","2013","Large Central Metro","1",4436,96739043,4.6
,"Other bacterial diseases","A30-A49","2013","2013","Large Fringe Metro","2",3633,78203382,4.6
,"Other bacterial diseases","A30-A49","2013","2013","Medium Metro","3",3595,65931102,5.5
,"Other bacterial diseases","A30-A49","2013","2013","Small Metro","4",1720,29037715,5.9
,"Other bacterial diseases","A30-A49","2013","2013","Micropolitan (Nonmetro)","5",1796,27220343,6.6
,"Other bacterial diseases","A30-A49","2013","2013","NonCore (Nonmetro)","6",1299,18997254,6.8
"Total","Other bacterial diseases","A30-A49","2013","2013",,,16479,316128839,5.2
,"Other bacterial diseases","A30-A49","2014","2014","Large Central Metro","1",4534,97933810,4.6
,"Other bacterial diseases","A30-A49","2014","2014","Large Fringe Metro","2",3714,79063551,4.7
,"Other bacterial diseases","A30-A49","2014","2014","Medium Metro","3",3714,66466520,5.6
,"Other bacterial diseases","A30-A49","2014","2014","Small Metro","4",1747,29204061,6.0
,"Other bacterial diseases","A30-A49","2014","2014","Micropolitan (Nonmetro)","5",1944,27242864,7.1
,"Other bacterial diseases","A30-A49","2014","2014","NonCore (Nonmetro)","6",1414,18946250,7.5
"Total","Other bacterial diseases","A30-A49","2014","2014",,,17067,318857056,5.4
,"Other bacterial diseases","A30-A49","2015","2015","Large Central Metro","1",4837,98997449,4.9
,"Other bacterial diseases","A30-A49","2015","2015","Large Fringe Metro","2",3842,79867097,4.8
,"Other bacterial diseases","A30-A49","2015","2015","Medium Metro","3",3972,67041154,5.9
,"Other bacterial diseases","A30-A49","2015","2015","Small Metro","4",1957,29346517,6.7
,"Other bacterial diseases","A30-A49","2015","2015","Micropolitan (Nonmetro)","5",2028,27260617,7.4
,"Other bacterial diseases","A30-A49","2015","2015","NonCore (Nonmetro)","6",1518,18905986,8.0
"Total","Other bacterial diseases","A30-A49","2015","2015",,,18154,321418820,5.6
,"Other bacterial diseases","A30-A49","2016","2016","Large Central Metro","1",4872,99544525,4.9
,"Other bacterial diseases","A30-A49","2016","2016","Large Fringe Metro","2",3789,80496977,4.7
,"Other bacterial diseases","A30-A49","2016","2016","Medium Metro","3",4006,67510722,5.9
,"Other bacterial diseases","A30-A49","2016","2016","Small Metro","4",1959,29464705,6.6
,"Other bacterial diseases","A30-A49","2016","2016","Micropolitan (Nonmetro)","5",1937,27257909,7.1
,"Other bacterial diseases","A30-A49","2016","2016","NonCore (Nonmetro)","6",1409,18852675,7.5
"Total","Other bacterial diseases","A30-A49","2016","2016",,,17972,323127513,5.6
,"Other bacterial diseases","A30-A49","2017","2017","Large Central Metro","1",4975,100601976,4.9
,"Other bacterial diseases","A30-A49","2017","2017","Large Fringe Metro","2",3891,81361310,4.8
,"Other bacterial diseases","A30-A49","2017","2017","Medium Metro","3",4100,68056063,6.0
,"Other bacterial diseases","A30-A49","2017","2017","Small Metro","4",1891,29617090,6.4
,"Other bacterial diseases","A30-A49","2017","2017","Micropolitan (Nonmetro)","5",1931,27260845,7.1
,"Other bacterial diseases","A30-A49","2017","2017","NonCore (Nonmetro)","6",1459,18821894,7.8
"Total","Other bacterial diseases","A30-A49","2017","2017",,,18247,325719178,5.6
"Total","Other bacterial diseases","A30-A49",,,,,135040,2539502901,5.3
,"Renal failure","N17-N19","2010","2010","Large Central Metro","1",4369,93505527,4.7
,"Renal failure","N17-N19","2010","2010","Large Fringe Metro","2",3533,76007372,4.6
,"Renal failure","N17-N19","2010","2010","Medium Metro","3",3418,64369293,5.3
,"Renal failure","N17-N19","2010","2010","Small Metro","4",1510,28569940,5.3
,"Renal failure","N17-N19","2010","2010","Micropolitan (Nonmetro)","5",1569,27154213,5.8
,"Renal failure","N17-N19","2010","2010","NonCore (Nonmetro)","6",1181,19139193,6.2
"Total","Renal failure","N17-N19","2010","2010",,,15580,308745538,5.0
,"Renal failure","N17-N19","2011","2011","Large Central Metro","1",4437,94698280,4.7
,"Renal failure","N17-N19","2011","2011","Large Fringe Metro","2",3575,76806991,4.7
,"Renal failure","N17-N19","2011","2011","Medium Metro","3",3428,64998427,5.3
,"Renal failure","N17-N19","2011","2011","Small Metro","4",1652,28766906,5.7
,"Renal failure","N17-N19","2011","2011","Micropolitan (Nonmetro)","5",1768,27214415,6.5
,"Renal failure","N17-N19","2011","2011","NonCore (Nonmetro)","6",1248,19106898,6.5
"Total","Renal failure","N17-N19","2011","2011",,,16108,311591917,5.2
,"Renal failure","N17-N19","2012","2012","Large Central Metro","1",4294,95794160,4.5
,"Renal failure","N17-N19","2012","2012","Large Fringe Metro","2",3315,77488865,4.3
,"Renal failure","N17-N19","2012","2012","Medium Metro","3",3487,65473964,5.3
,"Renal failure","N17-N19","2012","2012","Small Metro","4",1638,28907451,5.7
,"Renal failure","N17-N19","2012","2012","Micropolitan (Nonmetro)","5",1686,27216731,6.2
,"Renal failure","N17-N19","2012","2012","NonCore (Nonmetro)","6",1259,19032869,6.6
"Total","Renal failure","N17-N19","2012","2012",,,15679,313914040,5.0
,"Renal failure","N17-N19","2013","2013","Large Central Metro","1",4457,96739043,4.6
,"Renal failure","N17-N19","2013","2013","Large Fringe Metro","2",3655,78203382,4.7
,"Renal failure","N17-N19","2013","2013","Medium Metro","3",3617,65931102,5.5
,"Renal failure","N17-N19","2013","2013","Small Metro","4",1733,29037715,6.0
,"Renal failure","N17-N19","2013","2013","Micropolitan (Nonmetro)","5",1806,27220343,6.6
,"Renal failure","N17-N19","2013","2013","NonCore (Nonmetro)","6",1301,18997254,6.8
"Total","Renal failure","N17-N19","2013","2013",,,16569,316128839,5.2
,"Renal failure","N17-N19","2014","2014","Large Central Metro","1",4585,97933810,4.7
,"Renal failure","N17-N19","2014","2014","Large Fringe Metro","2",3733,79063551,4.7
,"Renal failure","N17-N19","2014","2014","Medium Metro","3",3745,66466520,5.6
,"Renal failure","N17-N19","2014","2014","Small Metro","4",1756,29204061,6.0
,"Renal failure","N17-N19","2014","2014","Micropolitan (Nonmetro)","5",1954,27242864,7.2
,"Renal failure","N17-N19","2014","2014","NonCore (Nonmetro)","6",1421,18946250,7.5
"Total","Renal failure","N17-N19","2014","2014",,,17194,318857056,5.4
,"Renal failure","N17-N19","2015","2015","Large Central Metro","1",4904,98997449,5.0
,"Renal failure","N17-N19","2015","2015","Large Fringe Metro","2",3867,79867097,4.8
