"Notes","Multiple Cause of death","Multiple Cause of death Code","Year","Year Code",Deaths,Population,Crude Rate
,"Septicaemia due to streptococcus, group A","A40.0","2018","2018",11,327167434,Unreliable
,"Septicaemia due to streptococcus, group A","A40.0","2019","2019",10,328239523,Unreliable
,"Septicaemia due to streptococcus, group A","A40.0","2022","2022",21,333287557,0.0
,"Septicaemia due to streptococcus, group A","A40.0","2023","2023",25,334914895,0.0
,"Septicaemia due to streptococcus, group A","A40.0","2024 (provisional)","2024",23,334914895,0.0
,"Septicaemia due to streptococcus, group B","A40.1","2018","2018",10,327167434,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2019","2019",10,328239523,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2020","2020",11,329484123,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2021","2021",10,331893745,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2022","2022",11,333287557,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2023","2023",11,334914895,Unreliable
,"Septicaemia due to streptococcus, group B","A40.1","2024 (provisional)","2024",10,334914895,Unreliable
,"Septicaemia due to streptococcus, group D","A40.2","2018","2018",51,327167434,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2019","2019",65,328239523,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2020","2020",84,329484123,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2021","2021",91,331893745,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2022","2022",67,333287557,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2023","2023",66,334914895,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2024 (provisional)","2024",66,334914895,0.0
,"Septicaemia due to streptococcus, group D","A40.2","2025 (provisional and partial)","2025",54,334914895,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2018","2018",54,327167434,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2019","2019",49,328239523,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2020","2020",52,329484123,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2021","2021",71,331893745,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2022","2022",89,333287557,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2023","2023",85,334914895,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2024 (provisional)","2024",76,334914895,0.0
,"Septicaemia due to Streptococcus pneumoniae","A40.3","2025 (provisional and partial)","2025",71,334914895,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2018","2018",102,327167434,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2019","2019",91,328239523,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2020","2020",105,329484123,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2021","2021",140,331893745,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2022","2022",142,333287557,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2023","2023",129,334914895,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2024 (provisional)","2024",122,334914895,0.0
,"Streptococcal septicaemia, unspecified","A40.9","2025 (provisional and partial)","2025",104,334914895,0.0
,"Septicaemia due to Staphylococcus aureus","A41.0","2018","2018",355,327167434,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2019","2019",304,328239523,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2020","2020",382,329484123,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2021","2021",414,331893745,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2022","2022",399,333287557,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2023","2023",320,334914895,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2024 (provisional)","2024",240,334914895,0.1
,"Septicaemia due to Staphylococcus aureus","A41.0","2025 (provisional and partial)","2025",265,334914895,0.1
,"Septicaemia due to other specified staphylococcus","A41.1","2021","2021",12,331893745,Unreliable
,"Septicaemia due to unspecified staphylococcus","A41.2","2018","2018",123,327167434,0.0
,"Septicaemia due to unspecified staphylococcus","A41.2","2019","2019",137,328239523,0.0
,"Septicaemia due to unspecified staphylococcus","A41.2","2020","2020",153,329484123,0.0
,"Septicaemia due to unspecified staphylococcus","A41.2","2021","2021",149,331893745,0.0
,"Septicaemia due to unspecified staphylococcus","A41.2","2022","2022",254,333287557,0.1
,"Septicaemia due to unspecified staphylococcus","A41.2","2023","2023",236,334914895,0.1
,"Septicaemia due to unspecified staphylococcus","A41.2","2024 (provisional)","2024",227,334914895,0.1
,"Septicaemia due to unspecified staphylococcus","A41.2","2025 (provisional and partial)","2025",174,334914895,0.1
,"Septicaemia due to Haemophilus influenzae","A41.3","2019","2019",16,328239523,Unreliable
,"Septicaemia due to Haemophilus influenzae","A41.3","2023","2023",14,334914895,Unreliable
,"Septicaemia due to Haemophilus influenzae","A41.3","2025 (provisional and partial)","2025",10,334914895,Unreliable
,"Septicaemia due to anaerobes","A41.4","2018","2018",59,327167434,0.0
,"Septicaemia due to anaerobes","A41.4","2019","2019",35,328239523,0.0
,"Septicaemia due to anaerobes","A41.4","2020","2020",48,329484123,0.0
,"Septicaemia due to anaerobes","A41.4","2021","2021",51,331893745,0.0
,"Septicaemia due to anaerobes","A41.4","2022","2022",33,333287557,0.0
,"Septicaemia due to anaerobes","A41.4","2023","2023",37,334914895,0.0
,"Septicaemia due to anaerobes","A41.4","2024 (provisional)","2024",45,334914895,0.0
,"Septicaemia due to anaerobes","A41.4","2025 (provisional and partial)","2025",21,334914895,0.0
,"Septicaemia due to other Gram-negative organisms","A41.5","2018","2018",672,327167434,0.2
,"Septicaemia due to other Gram-negative organisms","A41.5","2019","2019",623,328239523,0.2
,"Septicaemia due to other Gram-negative organisms","A41.5","2020","2020",716,329484123,0.2
,"Septicaemia due to other Gram-negative organisms","A41.5","2021","2021",905,331893745,0.3
,"Septicaemia due to other Gram-negative organisms","A41.5","2022","2022",961,333287557,0.3
,"Septicaemia due to other Gram-negative organisms","A41.5","2023","2023",871,334914895,0.3
,"Septicaemia due to other Gram-negative organisms","A41.5","2024 (provisional)","2024",750,334914895,0.2
,"Septicaemia due to other Gram-negative organisms","A41.5","2025 (provisional and partial)","2025",666,334914895,0.2
,"Other specified septicaemia","A41.8","2018","2018",29,327167434,0.0
,"Other specified septicaemia","A41.8","2019","2019",23,328239523,0.0
,"Other specified septicaemia","A41.8","2020","2020",36,329484123,0.0
,"Other specified septicaemia","A41.8","2021","2021",57,331893745,0.0
,"Other specified septicaemia","A41.8","2022","2022",35,333287557,0.0
,"Other specified septicaemia","A41.8","2023","2023",25,334914895,0.0
,"Other specified septicaemia","A41.8","2024 (provisional)","2024",39,334914895,0.0
,"Other specified septicaemia","A41.8","2025 (provisional and partial)","2025",27,334914895,0.0
,"Septicaemia, unspecified","A41.9","2018","2018",34506,327167434,10.5
,"Septicaemia, unspecified","A41.9","2019","2019",33766,328239523,10.3
,"Septicaemia, unspecified","A41.9","2020","2020",42181,329484123,12.8
,"Septicaemia, unspecified","A41.9","2021","2021",54001,331893745,16.3
,"Septicaemia, unspecified","A41.9","2022","2022",56538,333287557,17.0
,"Septicaemia, unspecified","A41.9","2023","2023",51877,334914895,15.5
,"Septicaemia, unspecified","A41.9","2024 (provisional)","2024",50284,334914895,15.0
,"Septicaemia, unspecified","A41.9","2025 (provisional and partial)","2025",45832,334914895,13.7
,"Acute renal failure with tubular necrosis","N17.0","2018","2018",711,327167434,0.2
,"Acute renal failure with tubular necrosis","N17.0","2019","2019",739,328239523,0.2
,"Acute renal failure with tubular necrosis","N17.0","2020","2020",994,329484123,0.3
,"Acute renal failure with tubular necrosis","N17.0","2021","2021",1167,331893745,0.4
,"Acute renal failure with tubular necrosis","N17.0","2022","2022",976,333287557,0.3
,"Acute renal failure with tubular necrosis","N17.0","2023","2023",872,334914895,0.3
,"Acute renal failure with tubular necrosis","N17.0","2024 (provisional)","2024",935,334914895,0.3
,"Acute renal failure with tubular necrosis","N17.0","2025 (provisional and partial)","2025",776,334914895,0.2
,"Acute renal failure, unspecified","N17.9","2018","2018",17947,327167434,5.5
,"Acute renal failure, unspecified","N17.9","2019","2019",17165,328239523,5.2
,"Acute renal failure, unspecified","N17.9","2020","2020",23019,329484123,7.0
,"Acute renal failure, unspecified","N17.9","2021","2021",35116,331893745,10.6
,"Acute renal failure, unspecified","N17.9","2022","2022",39437,333287557,11.8
,"Acute renal failure, unspecified","N17.9","2023","2023",35792,334914895,10.7
,"Acute renal failure, unspecified","N17.9","2024 (provisional)","2024",34464,334914895,10.3
,"Acute renal failure, unspecified","N17.9","2025 (provisional and partial)","2025",31030,334914895,9.3
,"Chronic kidney disease, stage 2","N18.2","2018","2018",23,327167434,0.0
,"Chronic kidney disease, stage 2","N18.2","2019","2019",34,328239523,0.0
,"Chronic kidney disease, stage 2","N18.2","2020","2020",38,329484123,0.0
,"Chronic kidney disease, stage 2","N18.2","2021","2021",47,331893745,0.0
,"Chronic kidney disease, stage 2","N18.2","2022","2022",30,333287557,0.0
,"Chronic kidney disease, stage 2","N18.2","2023","2023",43,334914895,0.0
,"Chronic kidney disease, stage 2","N18.2","2024 (provisional)","2024",40,334914895,0.0
,"Chronic kidney disease, stage 2","N18.2","2025 (provisional and partial)","2025",40,334914895,0.0
,"Chronic kidney disease, stage 3","N18.3","2018","2018",603,327167434,0.2
,"Chronic kidney disease, stage 3","N18.3","2019","2019",685,328239523,0.2
,"Chronic kidney disease, stage 3","N18.3","2020","2020",880,329484123,0.3
,"Chronic kidney disease, stage 3","N18.3","2021","2021",926,331893745,0.3
