"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"1999","1999","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","Black or African American","2054-5",121,297942,40.6
,"1999","1999","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","White","2106-3",186,1452001,12.8
,"1999","1999","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","Asian or Pacific Islander","A-PI",14,82483,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","Black or African American","2054-5",157,307443,51.1
,"1999","1999","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","White","2106-3",291,1528776,19.0
,"1999","1999","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","Black or African American","2054-5",36,1226088,2.9
,"1999","1999","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","White","2106-3",103,5837974,1.8
,"1999","1999","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","Asian or Pacific Islander","A-PI",10,335331,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","Black or African American","2054-5",48,1264461,3.8
,"1999","1999","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","White","2106-3",139,6143263,2.3
,"1999","1999","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","Black or African American","2054-5",20,1718506,1.2
,"1999","1999","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","White","2106-3",75,7791071,1.0
,"1999","1999","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","Black or African American","2054-5",14,1773681,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","White","2106-3",61,8211295,0.7
,"1999","1999","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","Black or African American","2054-5",24,1600922,1.5
,"1999","1999","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","White","2106-3",66,7717223,0.9
,"1999","1999","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","Black or African American","2054-5",22,1650063,1.3
,"1999","1999","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","White","2106-3",67,8144247,0.8
,"1999","1999","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","Black or African American","2054-5",30,1532399,2.0
,"1999","1999","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","White","2106-3",98,7672225,1.3
,"1999","1999","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","Black or African American","2054-5",31,1567014,2.0
,"1999","1999","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","White","2106-3",108,8174959,1.3
,"1999","1999","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","Black or African American","2054-5",85,1400773,6.1
,"1999","1999","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","White","2106-3",140,7127585,2.0
,"1999","1999","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","Black or African American","2054-5",69,1330173,5.2
,"1999","1999","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","White","2106-3",161,7581135,2.1
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","Asian or Pacific Islander","A-PI",11,556197,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","Black or African American","2054-5",130,1427024,9.1
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","White","2106-3",193,7606278,2.5
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","Black or African American","2054-5",98,1291042,7.6
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","White","2106-3",212,7944134,2.7
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Asian or Pacific Islander","A-PI",13,529667,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Black or African American","2054-5",189,1458386,13.0
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","White","2106-3",303,8155146,3.7
