"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2010","2010","Other bacterial diseases","A30-A49","< 1 year","1",604,3944153,15.3
,"2010","2010","Other bacterial diseases","A30-A49","1-4 years","1-4",233,16257209,1.4
,"2010","2010","Other bacterial diseases","A30-A49","5-9 years","5-9",119,20348657,0.6
,"2010","2010","Other bacterial diseases","A30-A49","10-14 years","10-14",147,20677194,0.7
,"2010","2010","Other bacterial diseases","A30-A49","15-19 years","15-19",264,22040343,1.2
,"2010","2010","Other bacterial diseases","A30-A49","20-24 years","20-24",492,21585999,2.3
,"2010","2010","Other bacterial diseases","A30-A49","25-29 years","25-29",660,21101849,3.1
,"2010","2010","Other bacterial diseases","A30-A49","30-34 years","30-34",916,19962099,4.6
,"2010","2010","Other bacterial diseases","A30-A49","35-39 years","35-39",1424,20179642,7.1
,"2010","2010","Other bacterial diseases","A30-A49","40-44 years","40-44",2385,20890964,11.4
,"2010","2010","Other bacterial diseases","A30-A49","45-49 years","45-49",4423,22708591,19.5
,"2010","2010","Other bacterial diseases","A30-A49","50-54 years","50-54",7311,22298125,32.8
,"2010","2010","Other bacterial diseases","A30-A49","55-59 years","55-59",10142,19664805,51.6
,"2010","2010","Other bacterial diseases","A30-A49","60-64 years ","60-64",12738,16817924,75.7
,"2010","2010","Other bacterial diseases","A30-A49","65-69 years","65-69",14675,12435263,118.0
,"2010","2010","Other bacterial diseases","A30-A49","70-74 years","70-74",16533,9278166,178.2
,"2010","2010","Other bacterial diseases","A30-A49","75-79 years","75-79",20097,7317795,274.6
,"2010","2010","Other bacterial diseases","A30-A49","80-84 years","80-84",24022,5743327,418.3
,"2010","2010","Other bacterial diseases","A30-A49","85-89 years","85-89",23670,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","90-94 years","90-94",13443,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","95-99 years","95-99",4564,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","100+ years","100+",777,Not Applicable,Not Applicable
,"2011","2011","Other bacterial diseases","A30-A49","< 1 year","1",490,3996537,12.3
,"2011","2011","Other bacterial diseases","A30-A49","1-4 years","1-4",215,16165521,1.3
,"2011","2011","Other bacterial diseases","A30-A49","5-9 years","5-9",124,20334196,0.6
,"2011","2011","Other bacterial diseases","A30-A49","10-14 years","10-14",155,20704852,0.7
,"2011","2011","Other bacterial diseases","A30-A49","15-19 years","15-19",230,21644043,1.1
,"2011","2011","Other bacterial diseases","A30-A49","20-24 years","20-24",469,22153832,2.1
,"2011","2011","Other bacterial diseases","A30-A49","25-29 years","25-29",681,21279794,3.2
,"2011","2011","Other bacterial diseases","A30-A49","30-34 years","30-34",1009,20510704,4.9
,"2011","2011","Other bacterial diseases","A30-A49","35-39 years","35-39",1432,19594309,7.3
,"2011","2011","Other bacterial diseases","A30-A49","40-44 years","40-44",2481,21033645,11.8
,"2011","2011","Other bacterial diseases","A30-A49","45-49 years","45-49",4394,22158005,19.8
,"2011","2011","Other bacterial diseases","A30-A49","50-54 years","50-54",7725,22560198,34.2
,"2011","2011","Other bacterial diseases","A30-A49","55-59 years","55-59",10597,20255548,52.3
,"2011","2011","Other bacterial diseases","A30-A49","60-64 years ","60-64",13685,17806592,76.9
,"2011","2011","Other bacterial diseases","A30-A49","65-69 years","65-69",15154,12873788,117.7
,"2011","2011","Other bacterial diseases","A30-A49","70-74 years","70-74",17066,9607950,177.6
,"2011","2011","Other bacterial diseases","A30-A49","75-79 years","75-79",20424,7388687,276.4
,"2011","2011","Other bacterial diseases","A30-A49","80-84 years","80-84",24154,5786543,417.4
,"2011","2011","Other bacterial diseases","A30-A49","85-89 years","85-89",24287,Not Applicable,Not Applicable
,"2011","2011","Other bacterial diseases","A30-A49","90-94 years","90-94",14427,Not Applicable,Not Applicable
,"2011","2011","Other bacterial diseases","A30-A49","95-99 years","95-99",4785,Not Applicable,Not Applicable
,"2011","2011","Other bacterial diseases","A30-A49","100+ years","100+",817,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","< 1 year","1",467,3943077,11.8
,"2012","2012","Other bacterial diseases","A30-A49","1-4 years","1-4",197,16056267,1.2
,"2012","2012","Other bacterial diseases","A30-A49","5-9 years","5-9",125,20475536,0.6
,"2012","2012","Other bacterial diseases","A30-A49","10-14 years","10-14",131,20669218,0.6
,"2012","2012","Other bacterial diseases","A30-A49","15-19 years","15-19",223,21360702,1.0
,"2012","2012","Other bacterial diseases","A30-A49","20-24 years","20-24",443,22583203,2.0
,"2012","2012","Other bacterial diseases","A30-A49","25-29 years","25-29",686,21398326,3.2
,"2012","2012","Other bacterial diseases","A30-A49","30-34 years","30-34",983,20910995,4.7
,"2012","2012","Other bacterial diseases","A30-A49","35-39 years","35-39",1341,19488199,6.9
,"2012","2012","Other bacterial diseases","A30-A49","40-44 years","40-44",2426,21028221,11.5
,"2012","2012","Other bacterial diseases","A30-A49","45-49 years","45-49",4224,21689479,19.5
,"2012","2012","Other bacterial diseases","A30-A49","50-54 years","50-54",7362,22579259,32.6
,"2012","2012","Other bacterial diseases","A30-A49","55-59 years","55-59",10849,20772517,52.2
,"2012","2012","Other bacterial diseases","A30-A49","60-64 years ","60-64",13849,17813685,77.7
,"2012","2012","Other bacterial diseases","A30-A49","65-69 years","65-69",15796,13977353,113.0
,"2012","2012","Other bacterial diseases","A30-A49","70-74 years","70-74",17496,10008039,174.8
,"2012","2012","Other bacterial diseases","A30-A49","75-79 years","75-79",20118,7489583,268.6
,"2012","2012","Other bacterial diseases","A30-A49","80-84 years","80-84",23913,5783051,413.5
,"2012","2012","Other bacterial diseases","A30-A49","85-89 years","85-89",23995,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","90-94 years","90-94",14723,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","95-99 years","95-99",4859,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","100+ years","100+",875,Not Applicable,Not Applicable
,"2012","2012","Other bacterial diseases","A30-A49","Not Stated","NS",11,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","< 1 year","1",429,3941783,10.9
,"2013","2013","Other bacterial diseases","A30-A49","1-4 years","1-4",190,15926305,1.2
,"2013","2013","Other bacterial diseases","A30-A49","5-9 years","5-9",132,20570581,0.6
,"2013","2013","Other bacterial diseases","A30-A49","10-14 years","10-14",108,20650454,0.5
,"2013","2013","Other bacterial diseases","A30-A49","15-19 years","15-19",198,21158964,0.9
,"2013","2013","Other bacterial diseases","A30-A49","20-24 years","20-24",490,22795438,2.1
,"2013","2013","Other bacterial diseases","A30-A49","25-29 years","25-29",763,21580198,3.5
,"2013","2013","Other bacterial diseases","A30-A49","30-34 years","30-34",1063,21264389,5.0
,"2013","2013","Other bacterial diseases","A30-A49","35-39 years","35-39",1439,19603770,7.3
,"2013","2013","Other bacterial diseases","A30-A49","40-44 years","40-44",2485,20848920,11.9
,"2013","2013","Other bacterial diseases","A30-A49","45-49 years","45-49",4314,21208306,20.3
,"2013","2013","Other bacterial diseases","A30-A49","50-54 years","50-54",7681,22559226,34.0
,"2013","2013","Other bacterial diseases","A30-A49","55-59 years","55-59",11327,21194430,53.4
,"2013","2013","Other bacterial diseases","A30-A49","60-64 years ","60-64",14747,18122001,81.4
,"2013","2013","Other bacterial diseases","A30-A49","65-69 years","65-69",17284,14608717,118.3
,"2013","2013","Other bacterial diseases","A30-A49","70-74 years","70-74",18840,10608049,177.6
