"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","Black or African American","2054-5",61,287359,21.2
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","White","2106-3",99,1345441,7.4
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","Black or African American","2054-5",70,298273,23.5
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","White","2106-3",123,1411708,8.7
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","More than one race","M",12,120862,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","Black or African American","2054-5",22,1199447,1.8
,"2018","2018","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","White","2106-3",68,5560394,1.2
,"2018","2018","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","Black or African American","2054-5",13,1233325,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","White","2106-3",56,5843546,1.0
,"2018","2018","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","Black or African American","2054-5",13,1512842,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","White","2106-3",35,7077370,0.5
,"2018","2018","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","Black or African American","2054-5",11,1555056,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","White","2106-3",38,7415557,0.5
,"2018","2018","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","Black or African American","2054-5",15,1540203,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","White","2106-3",48,7404300,0.6
,"2018","2018","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","Black or African American","2054-5",14,1581788,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","White","2106-3",42,7764980,0.5
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","Black or African American","2054-5",24,1564616,1.5
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","White","2106-3",80,7546949,1.1
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","Black or African American","2054-5",21,1611091,1.3
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","White","2106-3",85,7929505,1.1
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","Asian","A",10,663434,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","Black or African American","2054-5",52,1657650,3.1
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","White","2106-3",158,7758993,2.0
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","Black or African American","2054-5",61,1707775,3.6
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","White","2106-3",171,8205253,2.1
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","American Indian or Alaska Native","1002-5",10,165794,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","Asian","A",11,836997,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","Black or African American","2054-5",87,1854585,4.7
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","White","2106-3",274,8297949,3.3
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","American Indian or Alaska Native","1002-5",14,180338,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","Asian","A",17,819192,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","Black or African American","2054-5",96,1875859,5.1
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","White","2106-3",305,8758571,3.5
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","American Indian or Alaska Native","1002-5",21,147133,14.3
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Asian","A",15,868548,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Black or African American","2054-5",135,1607398,8.4
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","White","2106-3",484,8005729,6.0
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","American Indian or Alaska Native","1002-5",16,162462,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Asian","A",18,811890,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Black or African American","2054-5",126,1536299,8.2
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","White","2106-3",515,8381353,6.1
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","More than one race","M",12,263245,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","American Indian or Alaska Native","1002-5",24,141379,17.0
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Asian","A",29,850855,3.4
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Black or African American","2054-5",212,1559292,13.6
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","White","2106-3",707,7938130,8.9
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","More than one race","M",15,252362,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","American Indian or Alaska Native","1002-5",27,152219,17.7
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Asian","A",33,755996,4.4
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Black or African American","2054-5",212,1425375,14.9
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","White","2106-3",759,8190883,9.3
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","More than one race","M",12,231176,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","American Indian or Alaska Native","1002-5",35,127978,27.3
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Asian","A",27,788061,3.4
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Black or African American","2054-5",325,1415876,23.0
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","White","2106-3",833,7352455,11.3
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","More than one race","M",14,206259,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","American Indian or Alaska Native","1002-5",27,134652,20.1
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Asian","A",38,689229,5.5
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Black or African American","2054-5",299,1259167,23.7
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","White","2106-3",1035,7499322,13.8
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","More than one race","M",11,187019,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","American Indian or Alaska Native","1002-5",33,125589,26.3
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Asian","A",53,760443,7.0
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Black or African American","2054-5",544,1459563,37.3
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","White","2106-3",1569,7929178,19.8
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","More than one race","M",18,183831,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","American Indian or Alaska Native","1002-5",47,129287,36.4
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Asian","A",73,665784,11.0
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Black or African American","2054-5",525,1287771,40.8
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",18,24975,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","White","2106-3",1753,7990289,21.9
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","More than one race","M",28,165889,16.9
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",71,121450,58.5
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Asian","A",71,649153,10.9
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Black or African American","2054-5",833,1451853,57.4
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",12,22821,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","White","2106-3",2601,8203647,31.7
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","More than one race","M",25,158433,15.8
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","American Indian or Alaska Native","1002-5",74,121617,60.8
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Asian","A",111,563625,19.7
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Black or African American","2054-5",805,1278353,63.0
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",12,22520,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","White","2106-3",3178,8148755,39.0
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","More than one race","M",35,142337,24.6
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",91,120633,75.4
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Asian","A",129,604517,21.3
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Black or African American","2054-5",1268,1463536,86.6
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",13,21261,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","White","2106-3",4400,8910854,49.4
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","More than one race","M",45,150857,29.8
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","American Indian or Alaska Native","1002-5",90,114988,78.3
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Asian","A",146,512129,28.5
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Black or African American","2054-5",1352,1261541,107.2
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",14,20480,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","White","2106-3",5461,8624486,63.3
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","More than one race","M",44,135703,32.4
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",101,102523,98.5
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Asian","A",174,554664,31.4
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Black or African American","2054-5",1746,1301050,134.2
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",18,17443,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","White","2106-3",6064,8500455,71.3
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","More than one race","M",32,125980,25.4
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","American Indian or Alaska Native","1002-5",110,94052,117.0
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Asian","A",232,450723,51.5
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Black or African American","2054-5",1912,1073845,178.1
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",16,16191,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","White","2106-3",7743,7982518,97.0
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","More than one race","M",52,112207,46.3
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","American Indian or Alaska Native","1002-5",102,76833,132.8
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Asian","A",249,469559,53.0
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Black or African American","2054-5",1920,1027711,186.8
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",24,13261,181.0
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","White","2106-3",7902,7371013,107.2
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","More than one race","M",48,93703,51.2
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","American Indian or Alaska Native","1002-5",104,68649,151.5
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Asian","A",335,367546,91.1
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Black or African American","2054-5",2096,791560,264.8
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",22,12280,179.2
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","White","2106-3",9490,6713016,141.4
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","More than one race","M",59,81762,72.2
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","American Indian or Alaska Native","1002-5",100,53866,185.6
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Asian","A",289,340247,84.9
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Black or African American","2054-5",1828,722317,253.1
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",17,9134,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","White","2106-3",9637,6001102,160.6
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","More than one race","M",58,67485,85.9
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","American Indian or Alaska Native","1002-5",85,47373,179.4
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Asian","A",361,268291,134.6
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Black or African American","2054-5",1925,527361,365.0
