"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2018","2018","Other bacterial diseases","A30-A49","< 1 year","1",394,3848208,10.2,9.2,11.2
,"2018","2018","Other bacterial diseases","A30-A49","1-4 years","1-4",177,15962067,1.1,0.9,1.3
,"2018","2018","Other bacterial diseases","A30-A49","5-9 years","5-9",110,20195642,0.5,0.4,0.6
,"2018","2018","Other bacterial diseases","A30-A49","10-14 years","10-14",132,20879527,0.6,0.5,0.7
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19",224,21097221,1.1,0.9,1.2
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24",473,21873579,2.2,2.0,2.4
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29",829,23561756,3.5,3.3,3.8
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34",1349,22136018,6.1,5.8,6.4
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39",2037,21563587,9.4,9.0,9.9
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44",2657,19714301,13.5,13.0,14.0
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49",4667,20747135,22.5,21.8,23.1
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54",7828,20884564,37.5,36.7,38.3
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59",13053,21940985,59.5,58.5,60.5
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64",18200,20331651,89.5,88.2,90.8
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69",22351,17086893,130.8,129.1,132.5
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74",25380,13405423,189.3,187.0,191.7
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79",26752,9267066,288.7,285.2,292.1
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84",26655,6127308,435.0,429.8,440.2
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89",25868,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94",18419,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99",7208,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","100+ years","100+",1149,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Not Stated","NS",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","< 1 year","1",361,3783052,9.5,8.6,10.5
,"2019","2019","Other bacterial diseases","A30-A49","1-4 years","1-4",174,15793631,1.1,0.9,1.3
,"2019","2019","Other bacterial diseases","A30-A49","5-9 years","5-9",111,20195895,0.5,0.4,0.7
,"2019","2019","Other bacterial diseases","A30-A49","10-14 years","10-14",130,20798268,0.6,0.5,0.7
,"2019","2019","Other bacterial diseases","A30-A49","15-19 years","15-19",217,21054570,1.0,0.9,1.2
,"2019","2019","Other bacterial diseases","A30-A49","20-24 years","20-24",462,21632940,2.1,1.9,2.3
,"2019","2019","Other bacterial diseases","A30-A49","25-29 years","25-29",881,23509016,3.7,3.5,4.0
,"2019","2019","Other bacterial diseases","A30-A49","30-34 years","30-34",1410,22431305,6.3,6.0,6.6
,"2019","2019","Other bacterial diseases","A30-A49","35-39 years","35-39",2020,21737521,9.3,8.9,9.7
,"2019","2019","Other bacterial diseases","A30-A49","40-44 years","40-44",2674,19921623,13.4,12.9,13.9
,"2019","2019","Other bacterial diseases","A30-A49","45-49 years","45-49",4533,20397751,22.2,21.6,22.9
,"2019","2019","Other bacterial diseases","A30-A49","50-54 years","50-54",7378,20477151,36.0,35.2,36.9
,"2019","2019","Other bacterial diseases","A30-A49","55-59 years","55-59",12674,21877391,57.9,56.9,58.9
,"2019","2019","Other bacterial diseases","A30-A49","60-64 years ","60-64",18084,20571146,87.9,86.6,89.2
,"2019","2019","Other bacterial diseases","A30-A49","65-69 years","65-69",22077,17455001,126.5,124.8,128.1
,"2019","2019","Other bacterial diseases","A30-A49","70-74 years","70-74",25371,14028432,180.9,178.6,183.1
,"2019","2019","Other bacterial diseases","A30-A49","75-79 years","75-79",26546,9652665,275.0,271.7,278.3
,"2019","2019","Other bacterial diseases","A30-A49","80-84 years","80-84",26444,6317207,418.6,413.6,423.6
,"2019","2019","Other bacterial diseases","A30-A49","85-89 years","85-89",24386,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","90-94 years","90-94",17322,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","95-99 years","95-99",6780,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","100+ years","100+",1048,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","< 1 year","1",365,3735010,9.8,8.8,10.8
,"2020","2020","Other bacterial diseases","A30-A49","1-4 years","1-4",146,15566282,0.9,0.8,1.1
,"2020","2020","Other bacterial diseases","A30-A49","5-9 years","5-9",98,20237711,0.5,0.4,0.6
,"2020","2020","Other bacterial diseases","A30-A49","10-14 years","10-14",112,20754423,0.5,0.4,0.6
,"2020","2020","Other bacterial diseases","A30-A49","15-19 years","15-19",208,20960929,1.0,0.9,1.1
,"2020","2020","Other bacterial diseases","A30-A49","20-24 years","20-24",503,21594755,2.3,2.1,2.5
,"2020","2020","Other bacterial diseases","A30-A49","25-29 years","25-29",1010,23231243,4.3,4.1,4.6
,"2020","2020","Other bacterial diseases","A30-A49","30-34 years","30-34",1670,22838403,7.3,7.0,7.7
,"2020","2020","Other bacterial diseases","A30-A49","35-39 years","35-39",2575,21828304,11.8,11.3,12.3
,"2020","2020","Other bacterial diseases","A30-A49","40-44 years","40-44",3760,20307888,18.5,17.9,19.1
,"2020","2020","Other bacterial diseases","A30-A49","45-49 years","45-49",5964,19970606,29.9,29.1,30.6
,"2020","2020","Other bacterial diseases","A30-A49","50-54 years","50-54",9548,20395527,46.8,45.9,47.8
,"2020","2020","Other bacterial diseases","A30-A49","55-59 years","55-59",15797,21603099,73.1,72.0,74.3
,"2020","2020","Other bacterial diseases","A30-A49","60-64 years ","60-64",22813,20800578,109.7,108.3,111.1
,"2020","2020","Other bacterial diseases","A30-A49","65-69 years","65-69",27972,17873667,156.5,154.7,158.3
,"2020","2020","Other bacterial diseases","A30-A49","70-74 years","70-74",32651,14675731,222.5,220.1,224.9
,"2020","2020","Other bacterial diseases","A30-A49","75-79 years","75-79",32579,9986833,326.2,322.7,329.8
,"2020","2020","Other bacterial diseases","A30-A49","80-84 years","80-84",30422,6464714,470.6,465.3,475.9
,"2020","2020","Other bacterial diseases","A30-A49","85-89 years","85-89",27022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","90-94 years","90-94",18799,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","95-99 years","95-99",7057,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","100+ years","100+",1079,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","< 1 year","1",352,3564493,9.9,8.8,10.9
,"2021","2021","Other bacterial diseases","A30-A49","1-4 years","1-4",157,15262845,1.0,0.9,1.2
,"2021","2021","Other bacterial diseases","A30-A49","5-9 years","5-9",96,20291548,0.5,0.4,0.6
,"2021","2021","Other bacterial diseases","A30-A49","10-14 years","10-14",116,21447784,0.5,0.4,0.6
,"2021","2021","Other bacterial diseases","A30-A49","15-19 years","15-19",230,21564666,1.1,0.9,1.2
,"2021","2021","Other bacterial diseases","A30-A49","20-24 years","20-24",583,21523997,2.7,2.5,2.9
,"2021","2021","Other bacterial diseases","A30-A49","25-29 years","25-29",1173,22392477,5.2,4.9,5.5
,"2021","2021","Other bacterial diseases","A30-A49","30-34 years","30-34",2071,23102628,9.0,8.6,9.4
,"2021","2021","Other bacterial diseases","A30-A49","35-39 years","35-39",3394,22299318,15.2,14.7,15.7
,"2021","2021","Other bacterial diseases","A30-A49","40-44 years","40-44",5034,21104536,23.9,23.2,24.5
,"2021","2021","Other bacterial diseases","A30-A49","45-49 years","45-49",7067,19781510,35.7,34.9,36.6
,"2021","2021","Other bacterial diseases","A30-A49","50-54 years","50-54",11463,20906926,54.8,53.8,55.8
,"2021","2021","Other bacterial diseases","A30-A49","55-59 years","55-59",18102,21567314,83.9,82.7,85.2
,"2021","2021","Other bacterial diseases","A30-A49","60-64 years ","60-64",26285,21235750,123.8,122.3,125.3
,"2021","2021","Other bacterial diseases","A30-A49","65-69 years","65-69",31540,18394320,171.5,169.6,173.4
,"2021","2021","Other bacterial diseases","A30-A49","70-74 years","70-74",36167,15271802,236.8,234.4,239.3
,"2021","2021","Other bacterial diseases","A30-A49","75-79 years","75-79",34557,9904769,348.9,345.2,352.6
,"2021","2021","Other bacterial diseases","A30-A49","80-84 years","80-84",31270,6301306,496.2,490.7,501.7
,"2021","2021","Other bacterial diseases","A30-A49","85-89 years","85-89",26353,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","90-94 years","90-94",17294,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","95-99 years","95-99",6616,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","100+ years","100+",1024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","< 1 year","1",386,3683113,10.5,9.4,11.5
,"2022","2022","Other bacterial diseases","A30-A49","1-4 years","1-4",203,14855240,1.4,1.2,1.6
,"2022","2022","Other bacterial diseases","A30-A49","5-9 years","5-9",153,20009195,0.8,0.6,0.9
,"2022","2022","Other bacterial diseases","A30-A49","10-14 years","10-14",148,20889839,0.7,0.6,0.8
,"2022","2022","Other bacterial diseases","A30-A49","15-19 years","15-19",241,21635792,1.1,1.0,1.3
,"2022","2022","Other bacterial diseases","A30-A49","20-24 years","20-24",479,22705779,2.1,1.9,2.3
,"2022","2022","Other bacterial diseases","A30-A49","25-29 years","25-29",992,22193164,4.5,4.2,4.7
,"2022","2022","Other bacterial diseases","A30-A49","30-34 years","30-34",1877,23308136,8.1,7.7,8.4
,"2022","2022","Other bacterial diseases","A30-A49","35-39 years","35-39",2681,22267949,12.0,11.6,12.5
,"2022","2022","Other bacterial diseases","A30-A49","40-44 years","40-44",3909,21427416,18.2,17.7,18.8
,"2022","2022","Other bacterial diseases","A30-A49","45-49 years","45-49",5647,19624098,28.8,28.0,29.5
,"2022","2022","Other bacterial diseases","A30-A49","50-54 years","50-54",9312,20807547,44.8,43.8,45.7
,"2022","2022","Other bacterial diseases","A30-A49","55-59 years","55-59",14946,20967014,71.3,70.1,72.4
,"2022","2022","Other bacterial diseases","A30-A49","60-64 years ","60-64",22439,21118423,106.3,104.9,107.6
,"2022","2022","Other bacterial diseases","A30-A49","65-69 years","65-69",28733,18631422,154.2,152.4,156.0
,"2022","2022","Other bacterial diseases","A30-A49","70-74 years","70-74",33452,15157017,220.7,218.3,223.1
,"2022","2022","Other bacterial diseases","A30-A49","75-79 years","75-79",34957,10861000,321.9,318.5,325.2
,"2022","2022","Other bacterial diseases","A30-A49","80-84 years","80-84",31371,6659545,471.1,465.9,476.3
,"2022","2022","Other bacterial diseases","A30-A49","85-89 years","85-89",26476,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","90-94 years","90-94",17433,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","95-99 years","95-99",6738,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","100+ years","100+",1093,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","< 1 year","1",363,3648654,9.9,8.9,11.0
,"2023","2023","Other bacterial diseases","A30-A49","1-4 years","1-4",222,14862506,1.5,1.3,1.7
,"2023","2023","Other bacterial diseases","A30-A49","5-9 years","5-9",184,20152757,0.9,0.8,1.0
