"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"1999","1999","Renal failure","N17-N19","< 1 year","1","Female","F","Black or African American","2054-5",15,297942,Unreliable
,"1999","1999","Renal failure","N17-N19","< 1 year","1","Female","F","White","2106-3",48,1452001,3.3
,"1999","1999","Renal failure","N17-N19","< 1 year","1","Male","M","Black or African American","2054-5",24,307443,7.8
,"1999","1999","Renal failure","N17-N19","< 1 year","1","Male","M","White","2106-3",70,1528776,4.6
,"1999","1999","Renal failure","N17-N19","15-19 years","15-19","Male","M","White","2106-3",10,8174959,Unreliable
,"1999","1999","Renal failure","N17-N19","20-24 years","20-24","Male","M","Black or African American","2054-5",16,1330173,Unreliable
,"1999","1999","Renal failure","N17-N19","20-24 years","20-24","Male","M","White","2106-3",17,7581135,Unreliable
,"1999","1999","Renal failure","N17-N19","25-29 years","25-29","Female","F","White","2106-3",20,7606278,0.3
,"1999","1999","Renal failure","N17-N19","25-29 years","25-29","Male","M","Black or African American","2054-5",18,1291042,Unreliable
,"1999","1999","Renal failure","N17-N19","25-29 years","25-29","Male","M","White","2106-3",35,7944134,0.4
,"1999","1999","Renal failure","N17-N19","30-34 years","30-34","Female","F","Black or African American","2054-5",14,1458386,Unreliable
,"1999","1999","Renal failure","N17-N19","30-34 years","30-34","Female","F","White","2106-3",32,8155146,0.4
,"1999","1999","Renal failure","N17-N19","30-34 years","30-34","Male","M","Black or African American","2054-5",44,1308656,3.4
,"1999","1999","Renal failure","N17-N19","30-34 years","30-34","Male","M","White","2106-3",52,8447156,0.6
,"1999","1999","Renal failure","N17-N19","35-39 years","35-39","Female","F","Black or African American","2054-5",32,1564410,2.0
,"1999","1999","Renal failure","N17-N19","35-39 years","35-39","Female","F","White","2106-3",59,9277734,0.6
,"1999","1999","Renal failure","N17-N19","35-39 years","35-39","Male","M","Black or African American","2054-5",58,1387055,4.2
,"1999","1999","Renal failure","N17-N19","35-39 years","35-39","Male","M","White","2106-3",121,9425123,1.3
,"1999","1999","Renal failure","N17-N19","40-44 years","40-44","Female","F","Black or African American","2054-5",53,1468119,3.6
,"1999","1999","Renal failure","N17-N19","40-44 years","40-44","Female","F","White","2106-3",116,9135045,1.3
,"1999","1999","Renal failure","N17-N19","40-44 years","40-44","Male","M","Black or African American","2054-5",103,1291354,8.0
,"1999","1999","Renal failure","N17-N19","40-44 years","40-44","Male","M","White","2106-3",197,9169012,2.1
,"1999","1999","Renal failure","N17-N19","45-49 years","45-49","Female","F","Black or African American","2054-5",69,1229341,5.6
,"1999","1999","Renal failure","N17-N19","45-49 years","45-49","Female","F","White","2106-3",147,8240528,1.8
,"1999","1999","Renal failure","N17-N19","45-49 years","45-49","Male","M","Black or African American","2054-5",107,1060502,10.1
,"1999","1999","Renal failure","N17-N19","45-49 years","45-49","Male","M","White","2106-3",290,8151142,3.6
,"1999","1999","Renal failure","N17-N19","50-54 years","50-54","Female","F","Black or African American","2054-5",95,957589,9.9
,"1999","1999","Renal failure","N17-N19","50-54 years","50-54","Female","F","White","2106-3",226,7271943,3.1
,"1999","1999","Renal failure","N17-N19","50-54 years","50-54","Male","M","Black or African American","2054-5",149,811874,18.4
,"1999","1999","Renal failure","N17-N19","50-54 years","50-54","Male","M","White","2106-3",422,7099852,5.9
,"1999","1999","Renal failure","N17-N19","55-59 years","55-59","Female","F","Black or African American","2054-5",97,722150,13.4
,"1999","1999","Renal failure","N17-N19","55-59 years","55-59","Female","F","White","2106-3",321,5754517,5.6
