"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Race","Race Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",11,282307,Unreliable
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",33,273464,12.1
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",43,178582,24.1
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",49,87469,56.0
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",59,40892,144.3
,"Renal failure","N17-N19","2010","2010","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",42,14001,300.0
,"Renal failure","N17-N19","2010","2010","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",20,1223444,1.6
,"Renal failure","N17-N19","2010","2010","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",50,919792,5.4
,"Renal failure","N17-N19","2010","2010","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",98,490802,20.0
,"Renal failure","N17-N19","2010","2010","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",221,266935,82.8
,"Renal failure","N17-N19","2010","2010","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",242,92921,260.4
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","25-34 years","25-34",42,3066086,1.4
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","35-44 years","35-44",104,2961585,3.5
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","45-54 years","45-54",342,3056411,11.2
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","55-64 years","55-64",563,2196805,25.6
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","65-74 years","65-74",677,1192148,56.8
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","75-84 years","75-84",994,675432,147.2
,"Renal failure","N17-N19","2010","2010","Female","F","Black or African American","2054-5","85+ years","85+",1166,282385,412.9
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","25-34 years","25-34",98,15551936,0.6
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","35-44 years","35-44",271,15940784,1.7
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","45-54 years","45-54",921,18311038,5.0
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","55-64 years","55-64",2028,15586402,13.0
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","65-74 years","65-74",3661,9846491,37.2
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","75-84 years","75-84",7317,6601101,110.8
,"Renal failure","N17-N19","2010","2010","Female","F","White","2106-3","85+ years","85+",11105,3314447,335.0
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",19,290118,Unreliable
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",30,264283,11.4
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",41,167158,24.5
