"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2010","2010","Renal failure","N17-N19","< 1 year","1",131,3944153,3.3
,"2010","2010","Renal failure","N17-N19","1-4 years","1-4",15,16257209,Unreliable
,"2010","2010","Renal failure","N17-N19","10-14 years","10-14",18,20677194,Unreliable
,"2010","2010","Renal failure","N17-N19","15-19 years","15-19",45,22040343,0.2
,"2010","2010","Renal failure","N17-N19","20-24 years","20-24",65,21585999,0.3
,"2010","2010","Renal failure","N17-N19","25-29 years","25-29",155,21101849,0.7
,"2010","2010","Renal failure","N17-N19","30-34 years","30-34",198,19962099,1.0
,"2010","2010","Renal failure","N17-N19","35-39 years","35-39",346,20179642,1.7
,"2010","2010","Renal failure","N17-N19","40-44 years","40-44",647,20890964,3.1
,"2010","2010","Renal failure","N17-N19","45-49 years","45-49",1230,22708591,5.4
,"2010","2010","Renal failure","N17-N19","50-54 years","50-54",2043,22298125,9.2
,"2010","2010","Renal failure","N17-N19","55-59 years","55-59",2891,19664805,14.7
,"2010","2010","Renal failure","N17-N19","60-64 years ","60-64",3706,16817924,22.0
,"2010","2010","Renal failure","N17-N19","65-69 years","65-69",4569,12435263,36.7
,"2010","2010","Renal failure","N17-N19","70-74 years","70-74",5775,9278166,62.2
,"2010","2010","Renal failure","N17-N19","75-79 years","75-79",7698,7317795,105.2
,"2010","2010","Renal failure","N17-N19","80-84 years","80-84",10171,5743327,177.1
,"2010","2010","Renal failure","N17-N19","85-89 years","85-89",11175,Not Applicable,Not Applicable
,"2010","2010","Renal failure","N17-N19","90-94 years","90-94",7107,Not Applicable,Not Applicable
,"2010","2010","Renal failure","N17-N19","95-99 years","95-99",2611,Not Applicable,Not Applicable
,"2010","2010","Renal failure","N17-N19","100+ years","100+",467,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","< 1 year","1",128,3996537,3.2
,"2011","2011","Renal failure","N17-N19","1-4 years","1-4",23,16165521,0.1
,"2011","2011","Renal failure","N17-N19","5-9 years","5-9",12,20334196,Unreliable
,"2011","2011","Renal failure","N17-N19","10-14 years","10-14",19,20704852,Unreliable
,"2011","2011","Renal failure","N17-N19","15-19 years","15-19",31,21644043,0.1
,"2011","2011","Renal failure","N17-N19","20-24 years","20-24",73,22153832,0.3
,"2011","2011","Renal failure","N17-N19","25-29 years","25-29",141,21279794,0.7
,"2011","2011","Renal failure","N17-N19","30-34 years","30-34",235,20510704,1.1
,"2011","2011","Renal failure","N17-N19","35-39 years","35-39",330,19594309,1.7
,"2011","2011","Renal failure","N17-N19","40-44 years","40-44",659,21033645,3.1
,"2011","2011","Renal failure","N17-N19","45-49 years","45-49",1204,22158005,5.4
,"2011","2011","Renal failure","N17-N19","50-54 years","50-54",2058,22560198,9.1
,"2011","2011","Renal failure","N17-N19","55-59 years","55-59",2884,20255548,14.2
,"2011","2011","Renal failure","N17-N19","60-64 years ","60-64",3960,17806592,22.2
,"2011","2011","Renal failure","N17-N19","65-69 years","65-69",4635,12873788,36.0
,"2011","2011","Renal failure","N17-N19","70-74 years","70-74",5744,9607950,59.8
,"2011","2011","Renal failure","N17-N19","75-79 years","75-79",7702,7388687,104.2
,"2011","2011","Renal failure","N17-N19","80-84 years","80-84",10174,5786543,175.8
,"2011","2011","Renal failure","N17-N19","85-89 years","85-89",11062,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","90-94 years","90-94",7530,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","95-99 years","95-99",2660,Not Applicable,Not Applicable
,"2011","2011","Renal failure","N17-N19","100+ years","100+",406,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","< 1 year","1",115,3943077,2.9
,"2012","2012","Renal failure","N17-N19","1-4 years","1-4",15,16056267,Unreliable
,"2012","2012","Renal failure","N17-N19","5-9 years","5-9",12,20475536,Unreliable
,"2012","2012","Renal failure","N17-N19","10-14 years","10-14",17,20669218,Unreliable
,"2012","2012","Renal failure","N17-N19","15-19 years","15-19",34,21360702,0.2
,"2012","2012","Renal failure","N17-N19","20-24 years","20-24",89,22583203,0.4
,"2012","2012","Renal failure","N17-N19","25-29 years","25-29",126,21398326,0.6
,"2012","2012","Renal failure","N17-N19","30-34 years","30-34",222,20910995,1.1
,"2012","2012","Renal failure","N17-N19","35-39 years","35-39",323,19488199,1.7
,"2012","2012","Renal failure","N17-N19","40-44 years","40-44",602,21028221,2.9
,"2012","2012","Renal failure","N17-N19","45-49 years","45-49",1220,21689479,5.6
,"2012","2012","Renal failure","N17-N19","50-54 years","50-54",2036,22579259,9.0
,"2012","2012","Renal failure","N17-N19","55-59 years","55-59",3060,20772517,14.7
,"2012","2012","Renal failure","N17-N19","60-64 years ","60-64",3943,17813685,22.1
,"2012","2012","Renal failure","N17-N19","65-69 years","65-69",4780,13977353,34.2
,"2012","2012","Renal failure","N17-N19","70-74 years","70-74",5744,10008039,57.4
,"2012","2012","Renal failure","N17-N19","75-79 years","75-79",7366,7489583,98.3
,"2012","2012","Renal failure","N17-N19","80-84 years","80-84",9630,5783051,166.5
,"2012","2012","Renal failure","N17-N19","85-89 years","85-89",10693,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","90-94 years","90-94",7423,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","95-99 years","95-99",2550,Not Applicable,Not Applicable
,"2012","2012","Renal failure","N17-N19","100+ years","100+",457,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","< 1 year","1",126,3941783,3.2
,"2013","2013","Renal failure","N17-N19","1-4 years","1-4",17,15926305,Unreliable
,"2013","2013","Renal failure","N17-N19","10-14 years","10-14",17,20650454,Unreliable
,"2013","2013","Renal failure","N17-N19","15-19 years","15-19",29,21158964,0.1
,"2013","2013","Renal failure","N17-N19","20-24 years","20-24",84,22795438,0.4
,"2013","2013","Renal failure","N17-N19","25-29 years","25-29",139,21580198,0.6
,"2013","2013","Renal failure","N17-N19","30-34 years","30-34",258,21264389,1.2
,"2013","2013","Renal failure","N17-N19","35-39 years","35-39",356,19603770,1.8
,"2013","2013","Renal failure","N17-N19","40-44 years","40-44",689,20848920,3.3
,"2013","2013","Renal failure","N17-N19","45-49 years","45-49",1132,21208306,5.3
,"2013","2013","Renal failure","N17-N19","50-54 years","50-54",2162,22559226,9.6
,"2013","2013","Renal failure","N17-N19","55-59 years","55-59",3110,21194430,14.7
,"2013","2013","Renal failure","N17-N19","60-64 years ","60-64",4194,18122001,23.1
,"2013","2013","Renal failure","N17-N19","65-69 years","65-69",5119,14608717,35.0
,"2013","2013","Renal failure","N17-N19","70-74 years","70-74",6036,10608049,56.9
,"2013","2013","Renal failure","N17-N19","75-79 years","75-79",7501,7677881,97.7
,"2013","2013","Renal failure","N17-N19","80-84 years","80-84",9545,5768638,165.5
,"2013","2013","Renal failure","N17-N19","85-89 years","85-89",10408,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","90-94 years","90-94",7537,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","95-99 years","95-99",2532,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","100+ years","100+",438,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","< 1 year","1",121,3948350,3.1
,"2014","2014","Renal failure","N17-N19","1-4 years","1-4",19,15928533,Unreliable
,"2014","2014","Renal failure","N17-N19","5-9 years","5-9",16,20519566,Unreliable
,"2014","2014","Renal failure","N17-N19","10-14 years","10-14",16,20671506,Unreliable
,"2014","2014","Renal failure","N17-N19","15-19 years","15-19",39,21067647,0.2
,"2014","2014","Renal failure","N17-N19","20-24 years","20-24",105,22912174,0.5
,"2014","2014","Renal failure","N17-N19","25-29 years","25-29",161,21987938,0.7
,"2014","2014","Renal failure","N17-N19","30-34 years","30-34",255,21528566,1.2
,"2014","2014","Renal failure","N17-N19","35-39 years","35-39",374,19921650,1.9
,"2014","2014","Renal failure","N17-N19","40-44 years","40-44",700,20591483,3.4
,"2014","2014","Renal failure","N17-N19","45-49 years","45-49",1146,20888042,5.5
,"2014","2014","Renal failure","N17-N19","50-54 years","50-54",2163,22570809,9.6
,"2014","2014","Renal failure","N17-N19","55-59 years","55-59",3244,21511449,15.1
,"2014","2014","Renal failure","N17-N19","60-64 years ","60-64",4315,18566132,23.2
,"2014","2014","Renal failure","N17-N19","65-69 years","65-69",5281,15325266,34.5
,"2014","2014","Renal failure","N17-N19","70-74 years","70-74",6266,11073024,56.6
,"2014","2014","Renal failure","N17-N19","75-79 years","75-79",7415,7922324,93.6
,"2014","2014","Renal failure","N17-N19","80-84 years","80-84",9124,5760366,158.4
,"2014","2014","Renal failure","N17-N19","85-89 years","85-89",10175,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","90-94 years","90-94",7441,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","95-99 years","95-99",2641,Not Applicable,Not Applicable
,"2014","2014","Renal failure","N17-N19","100+ years","100+",445,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","< 1 year","1",140,3978038,3.5
,"2015","2015","Renal failure","N17-N19","1-4 years","1-4",16,15929243,Unreliable
,"2015","2015","Renal failure","N17-N19","10-14 years","10-14",11,20622330,Unreliable
,"2015","2015","Renal failure","N17-N19","15-19 years","15-19",38,21108903,0.2
,"2015","2015","Renal failure","N17-N19","20-24 years","20-24",78,22739313,0.3
,"2015","2015","Renal failure","N17-N19","25-29 years","25-29",164,22461554,0.7
,"2015","2015","Renal failure","N17-N19","30-34 years","30-34",250,21675648,1.2
,"2015","2015","Renal failure","N17-N19","35-39 years","35-39",449,20374585,2.2
,"2015","2015","Renal failure","N17-N19","40-44 years","40-44",674,20215198,3.3
,"2015","2015","Renal failure","N17-N19","45-49 years","45-49",1186,20853844,5.7
,"2015","2015","Renal failure","N17-N19","50-54 years","50-54",2153,22334317,9.6
,"2015","2015","Renal failure","N17-N19","55-59 years","55-59",3206,21807942,14.7
,"2015","2015","Renal failure","N17-N19","60-64 years ","60-64",4555,19069877,23.9
,"2015","2015","Renal failure","N17-N19","65-69 years","65-69",5672,16067468,35.3
,"2015","2015","Renal failure","N17-N19","70-74 years","70-74",6711,11483049,58.4
,"2015","2015","Renal failure","N17-N19","75-79 years","75-79",7530,8123833,92.7
,"2015","2015","Renal failure","N17-N19","80-84 years","80-84",9265,5799341,159.8
,"2015","2015","Renal failure","N17-N19","85-89 years","85-89",10001,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","90-94 years","90-94",7525,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","95-99 years","95-99",2706,Not Applicable,Not Applicable
,"2015","2015","Renal failure","N17-N19","100+ years","100+",461,Not Applicable,Not Applicable
,"2016","2016","Renal failure","N17-N19","< 1 year","1",132,3970145,3.3
,"2016","2016","Renal failure","N17-N19","1-4 years","1-4",21,15956892,0.1
,"2016","2016","Renal failure","N17-N19","5-9 years","5-9",12,20429799,Unreliable
,"2016","2016","Renal failure","N17-N19","10-14 years","10-14",17,20618233,Unreliable
,"2016","2016","Renal failure","N17-N19","15-19 years","15-19",37,21129999,0.2
,"2016","2016","Renal failure","N17-N19","20-24 years","20-24",101,22381028,0.5
,"2016","2016","Renal failure","N17-N19","25-29 years","25-29",168,22890884,0.7
,"2016","2016","Renal failure","N17-N19","30-34 years","30-34",330,21786359,1.5
,"2016","2016","Renal failure","N17-N19","35-39 years","35-39",467,20773905,2.2
,"2016","2016","Renal failure","N17-N19","40-44 years","40-44",724,19696251,3.7
,"2016","2016","Renal failure","N17-N19","45-49 years","45-49",1233,20947623,5.9
,"2016","2016","Renal failure","N17-N19","50-54 years","50-54",2093,21839056,9.6
,"2016","2016","Renal failure","N17-N19","55-59 years","55-59",3505,21980108,15.9
,"2016","2016","Renal failure","N17-N19","60-64 years ","60-64",4702,19483036,24.1
,"2016","2016","Renal failure","N17-N19","65-69 years","65-69",6006,16820083,35.7
,"2016","2016","Renal failure","N17-N19","70-74 years","70-74",6618,11810247,56.0
,"2016","2016","Renal failure","N17-N19","75-79 years","75-79",7731,8367895,92.4
,"2016","2016","Renal failure","N17-N19","80-84 years","80-84",8905,5865639,151.8
,"2016","2016","Renal failure","N17-N19","85-89 years","85-89",9429,Not Applicable,Not Applicable
,"2016","2016","Renal failure","N17-N19","90-94 years","90-94",7103,Not Applicable,Not Applicable
,"2016","2016","Renal failure","N17-N19","95-99 years","95-99",2712,Not Applicable,Not Applicable
,"2016","2016","Renal failure","N17-N19","100+ years","100+",440,Not Applicable,Not Applicable
,"2017","2017","Renal failure","N17-N19","< 1 year","1",165,3939295,4.2
,"2017","2017","Renal failure","N17-N19","1-4 years","1-4",18,15999565,Unreliable
,"2017","2017","Renal failure","N17-N19","5-9 years","5-9",13,20304238,Unreliable
,"2017","2017","Renal failure","N17-N19","10-14 years","10-14",21,20778454,0.1
,"2017","2017","Renal failure","N17-N19","15-19 years","15-19",54,21131660,0.3
,"2017","2017","Renal failure","N17-N19","20-24 years","20-24",90,22118635,0.4
,"2017","2017","Renal failure","N17-N19","25-29 years","25-29",198,23370460,0.8
,"2017","2017","Renal failure","N17-N19","30-34 years","30-34",300,21972212,1.4
,"2017","2017","Renal failure","N17-N19","35-39 years","35-39",480,21231997,2.3
,"2017","2017","Renal failure","N17-N19","40-44 years","40-44",705,19643373,3.6
,"2017","2017","Renal failure","N17-N19","45-49 years","45-49",1273,20973858,6.1
,"2017","2017","Renal failure","N17-N19","50-54 years","50-54",2133,21401094,10.0
,"2017","2017","Renal failure","N17-N19","55-59 years","55-59",3527,22007956,16.0
,"2017","2017","Renal failure","N17-N19","60-64 years ","60-64",4852,19987702,24.3
,"2017","2017","Renal failure","N17-N19","65-69 years","65-69",6001,16836381,35.6
,"2017","2017","Renal failure","N17-N19","70-74 years","70-74",7326,12847065,57.0
,"2017","2017","Renal failure","N17-N19","75-79 years","75-79",7910,8741261,90.5
,"2017","2017","Renal failure","N17-N19","80-84 years","80-84",8884,5965290,148.9
,"2017","2017","Renal failure","N17-N19","85-89 years","85-89",9188,Not Applicable,Not Applicable
,"2017","2017","Renal failure","N17-N19","90-94 years","90-94",6887,Not Applicable,Not Applicable
,"2017","2017","Renal failure","N17-N19","95-99 years","95-99",2702,Not Applicable,Not Applicable
,"2017","2017","Renal failure","N17-N19","100+ years","100+",467,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Year; MCD - ICD Sub-Chapter; Five-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 25, 2026 2:27:35 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
