"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"2018","2018","Renal failure","N17-N19","< 1 year","1","Female","F","Black or African American","2054-5",14,287359,Unreliable
,"2018","2018","Renal failure","N17-N19","< 1 year","1","Female","F","White","2106-3",33,1345441,2.5
,"2018","2018","Renal failure","N17-N19","< 1 year","1","Male","M","Black or African American","2054-5",17,298273,Unreliable
,"2018","2018","Renal failure","N17-N19","< 1 year","1","Male","M","White","2106-3",47,1411708,3.3
,"2018","2018","Renal failure","N17-N19","15-19 years","15-19","Female","F","White","2106-3",10,7546949,Unreliable
,"2018","2018","Renal failure","N17-N19","15-19 years","15-19","Male","M","White","2106-3",18,7929505,Unreliable
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24","Female","F","Black or African American","2054-5",12,1657650,Unreliable
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24","Female","F","White","2106-3",25,7758993,0.3
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24","Male","M","Black or African American","2054-5",14,1707775,Unreliable
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24","Male","M","White","2106-3",32,8205253,0.4
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Female","F","Black or African American","2054-5",19,1854585,Unreliable
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Female","F","White","2106-3",48,8297949,0.6
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Male","M","Black or African American","2054-5",28,1875859,1.5
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Male","M","White","2106-3",85,8758571,1.0
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Female","F","Black or African American","2054-5",31,1607398,1.9
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Female","F","White","2106-3",105,8005729,1.3
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Male","M","Black or African American","2054-5",35,1536299,2.3
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Male","M","White","2106-3",123,8381353,1.5
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Female","F","Black or African American","2054-5",46,1559292,3.0
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Female","F","White","2106-3",160,7938130,2.0
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","American Indian or Alaska Native","1002-5",12,152219,Unreliable
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","Asian","A",12,755996,Unreliable
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","Black or African American","2054-5",69,1425375,4.8
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","White","2106-3",205,8190883,2.5
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Female","F","American Indian or Alaska Native","1002-5",10,127978,Unreliable
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Female","F","Black or African American","2054-5",54,1415876,3.8
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Female","F","White","2106-3",198,7352455,2.7
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Male","M","Asian","A",19,689229,Unreliable
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Male","M","Black or African American","2054-5",90,1259167,7.1
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44","Male","M","White","2106-3",357,7499322,4.8
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Female","F","American Indian or Alaska Native","1002-5",11,125589,Unreliable
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Female","F","Asian","A",11,760443,Unreliable
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Female","F","Black or African American","2054-5",102,1459563,7.0
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Female","F","White","2106-3",374,7929178,4.7
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Male","M","American Indian or Alaska Native","1002-5",19,129287,Unreliable
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Male","M","Asian","A",24,665784,3.6
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Male","M","Black or African American","2054-5",148,1287771,11.5
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Male","M","White","2106-3",630,7990289,7.9
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49","Male","M","More than one race","M",11,165889,Unreliable
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",20,121450,16.5
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Female","F","Asian","A",14,649153,Unreliable
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Female","F","Black or African American","2054-5",211,1451853,14.5
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Female","F","White","2106-3",628,8203647,7.7
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Male","M","American Indian or Alaska Native","1002-5",22,121617,18.1
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Male","M","Asian","A",36,563625,6.4
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Male","M","Black or African American","2054-5",227,1278353,17.8
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Male","M","White","2106-3",986,8148755,12.1
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54","Male","M","More than one race","M",12,142337,Unreliable
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",25,120633,20.7
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Female","F","Asian","A",29,604517,4.8
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Female","F","Black or African American","2054-5",282,1463536,19.3
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Female","F","White","2106-3",1059,8910854,11.9
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Female","F","More than one race","M",10,150857,Unreliable
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Male","M","American Indian or Alaska Native","1002-5",21,114988,18.3
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Male","M","Asian","A",49,512129,9.6
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Male","M","Black or African American","2054-5",371,1261541,29.4
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Male","M","White","2106-3",1651,8624486,19.1
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59","Male","M","More than one race","M",14,135703,Unreliable
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",27,102523,26.3
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Female","F","Asian","A",36,554664,6.5
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Female","F","Black or African American","2054-5",394,1301050,30.3
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Female","F","White","2106-3",1496,8500455,17.6
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Female","F","More than one race","M",12,125980,Unreliable
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Male","M","American Indian or Alaska Native","1002-5",35,94052,37.2
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Male","M","Asian","A",67,450723,14.9
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Male","M","Black or African American","2054-5",515,1073845,48.0
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Male","M","White","2106-3",2321,7982518,29.1
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64","Male","M","More than one race","M",15,112207,Unreliable
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Female","F","American Indian or Alaska Native","1002-5",36,76833,46.9
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Female","F","Asian","A",67,469559,14.3
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Female","F","Black or African American","2054-5",451,1027711,43.9
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Female","F","White","2106-3",2043,7371013,27.7
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Male","M","American Indian or Alaska Native","1002-5",26,68649,37.9
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Male","M","Asian","A",100,367546,27.2
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Male","M","Black or African American","2054-5",542,791560,68.5
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Male","M","White","2106-3",2929,6713016,43.6
