"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","25-34 years","25-34",10,312927,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",15,269357,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",31,247039,12.5
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",52,223156,23.3
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",69,130699,52.8
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",41,56718,72.3
,"Renal failure","N17-N19","2018","2018","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",33,21473,153.7
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","35-44 years","35-44",15,1638916,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","45-54 years","45-54",25,1409596,1.8
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","55-64 years","55-64",65,1159181,5.6
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","65-74 years","65-74",145,809806,17.9
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","75-84 years","75-84",228,384226,59.3
,"Renal failure","N17-N19","2018","2018","Female","F","Asian","A","85+ years","85+",342,173717,196.9
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","25-34 years","25-34",50,3461983,1.4
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","35-44 years","35-44",100,2975168,3.4
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","45-54 years","45-54",313,2911416,10.8
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","55-64 years","55-64",676,2764586,24.5
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","65-74 years","65-74",931,1750028,53.2
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","75-84 years","75-84",969,832635,116.4
,"Renal failure","N17-N19","2018","2018","Female","F","Black or African American","2054-5","85+ years","85+",920,360311,255.3
,"Renal failure","N17-N19","2018","2018","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",14,22395,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",10,9505,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","25-34 years","25-34",153,16303678,0.9
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","35-44 years","35-44",358,15290585,2.3
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","45-54 years","45-54",1002,16132825,6.2
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","55-64 years","55-64",2555,17411309,14.7
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","65-74 years","65-74",4628,13372115,34.6
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","75-84 years","75-84",6547,7303829,89.6
,"Renal failure","N17-N19","2018","2018","Female","F","White","2106-3","85+ years","85+",9072,3629712,249.9
,"Renal failure","N17-N19","2018","2018","Female","F","More than one race","M","45-54 years","45-54",11,342264,Unreliable
,"Renal failure","N17-N19","2018","2018","Female","F","More than one race","M","55-64 years","55-64",22,276837,7.9
,"Renal failure","N17-N19","2018","2018","Female","F","More than one race","M","65-74 years","65-74",22,161188,13.6
,"Renal failure","N17-N19","2018","2018","Female","F","More than one race","M","75-84 years","75-84",36,72421,49.7
,"Renal failure","N17-N19","2018","2018","Female","F","More than one race","M","85+ years","85+",32,29933,106.9
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",13,342800,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",19,286871,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",41,250904,16.3
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",56,209040,26.8
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",53,116022,45.7
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",58,44730,129.7
,"Renal failure","N17-N19","2018","2018","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",25,12593,198.5
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","25-34 years","25-34",11,1631082,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","35-44 years","35-44",31,1445225,2.1
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","45-54 years","45-54",60,1229409,4.9
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","55-64 years","55-64",116,962852,12.0
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","65-74 years","65-74",214,635837,33.7
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","75-84 years","75-84",269,298261,90.2
,"Renal failure","N17-N19","2018","2018","Male","M","Asian","A","85+ years","85+",276,101879,270.9
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","25-34 years","25-34",63,3412158,1.8
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","35-44 years","35-44",159,2684542,5.9
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","45-54 years","45-54",375,2566124,14.6
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","55-64 years","55-64",886,2335386,37.9
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","65-74 years","65-74",1043,1318921,79.1
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","75-84 years","75-84",846,524872,161.2
,"Renal failure","N17-N19","2018","2018","Male","M","Black or African American","2054-5","85+ years","85+",516,156764,329.2
,"Renal failure","N17-N19","2018","2018","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",11,36671,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",15,20795,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","25-34 years","25-34",208,17139924,1.2
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","35-44 years","35-44",562,15690205,3.6
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","45-54 years","45-54",1616,16139044,10.0
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","55-64 years","55-64",3972,16607004,23.9
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","65-74 years","65-74",6456,12015961,53.7
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","75-84 years","75-84",7888,5803807,135.9
,"Renal failure","N17-N19","2018","2018","Male","M","White","2106-3","85+ years","85+",7429,2035102,365.0
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","35-44 years","35-44",13,418195,Unreliable
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","45-54 years","45-54",23,308226,7.5
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","55-64 years","55-64",29,247910,11.7
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","65-74 years","65-74",32,138549,23.1
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","75-84 years","75-84",26,55528,46.8
,"Renal failure","N17-N19","2018","2018","Male","M","More than one race","M","85+ years","85+",25,17022,146.9
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","25-34 years","25-34",11,317279,Unreliable
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",28,272876,10.3
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",30,245490,12.2
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",39,227860,17.1
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",62,138030,44.9
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",54,60279,89.6
,"Renal failure","N17-N19","2019","2019","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",43,22176,193.9
,"Renal failure","N17-N19","2019","2019","Female","F","Asian","A","45-54 years","45-54",29,1429034,2.0
,"Renal failure","N17-N19","2019","2019","Female","F","Asian","A","55-64 years","55-64",61,1180969,5.2
,"Renal failure","N17-N19","2019","2019","Female","F","Asian","A","65-74 years","65-74",141,850400,16.6
,"Renal failure","N17-N19","2019","2019","Female","F","Asian","A","75-84 years","75-84",218,405278,53.8
,"Renal failure","N17-N19","2019","2019","Female","F","Asian","A","85+ years","85+",317,184150,172.1
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","25-34 years","25-34",46,3515464,1.3
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","35-44 years","35-44",130,3006446,4.3
