"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2018","2018","Renal failure","N17-N19","< 1 year","1",120,3848208,3.1,2.6,3.7
,"2018","2018","Renal failure","N17-N19","1-4 years","1-4",15,15962067,0.1,0.1,0.2
,"2018","2018","Renal failure","N17-N19","5-9 years","5-9",16,20195642,0.1,0.0,0.1
,"2018","2018","Renal failure","N17-N19","10-14 years","10-14",15,20879527,0.1,0.0,0.1
,"2018","2018","Renal failure","N17-N19","15-19 years","15-19",40,21097221,0.2,0.1,0.3
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24",89,21873579,0.4,0.3,0.5
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29",201,23561756,0.9,0.7,1.0
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34",326,22136018,1.5,1.3,1.6
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39",528,21563587,2.4,2.2,2.7
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44",757,19714301,3.8,3.6,4.1
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49",1340,20747135,6.5,6.1,6.8
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54",2167,20884564,10.4,9.9,10.8
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59",3521,21940985,16.0,15.5,16.6
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64",4926,20331651,24.2,23.6,24.9
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69",6228,17086893,36.4,35.5,37.4
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74",7394,13405423,55.2,53.9,56.4
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79",8236,9267066,88.9,87.0,90.8
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84",8690,6127308,141.8,138.8,144.8
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89",8985,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94",6707,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99",2545,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+",444,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","< 1 year","1",128,3783052,3.4,2.8,4.0
,"2019","2019","Renal failure","N17-N19","1-4 years","1-4",21,15793631,0.1,0.1,0.2
,"2019","2019","Renal failure","N17-N19","5-9 years","5-9",13,20195895,0.1,0.0,0.1
,"2019","2019","Renal failure","N17-N19","10-14 years","10-14",28,20798268,0.1,0.1,0.2
,"2019","2019","Renal failure","N17-N19","15-19 years","15-19",35,21054570,0.2,0.1,0.2
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24",107,21632940,0.5,0.4,0.6
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29",198,23509016,0.8,0.7,1.0
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34",332,22431305,1.5,1.3,1.6
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39",555,21737521,2.6,2.3,2.8
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44",790,19921623,4.0,3.7,4.2
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49",1325,20397751,6.5,6.1,6.8
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54",2087,20477151,10.2,9.8,10.6
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59",3421,21877391,15.6,15.1,16.2
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64",4971,20571146,24.2,23.5,24.8
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69",6131,17455001,35.1,34.2,36.0
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74",7478,14028432,53.3,52.1,54.5
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79",8219,9652665,85.1,83.3,87.0
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84",8740,6317207,138.4,135.5,141.3
,"2019","2019","Renal failure","N17-N19","85-89 years","85-89",8408,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","90-94 years","90-94",6118,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","95-99 years","95-99",2436,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","100+ years","100+",419,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","< 1 year","1",97,3735010,2.6,2.1,3.2
,"2020","2020","Renal failure","N17-N19","1-4 years","1-4",15,15566282,0.1,0.1,0.2
,"2020","2020","Renal failure","N17-N19","10-14 years","10-14",20,20754423,0.1,0.1,0.1
,"2020","2020","Renal failure","N17-N19","15-19 years","15-19",42,20960929,0.2,0.1,0.3
,"2020","2020","Renal failure","N17-N19","20-24 years","20-24",116,21594755,0.5,0.4,0.6
,"2020","2020","Renal failure","N17-N19","25-29 years","25-29",278,23231243,1.2,1.1,1.3
,"2020","2020","Renal failure","N17-N19","30-34 years","30-34",522,22838403,2.3,2.1,2.5
,"2020","2020","Renal failure","N17-N19","35-39 years","35-39",806,21828304,3.7,3.4,3.9
,"2020","2020","Renal failure","N17-N19","40-44 years","40-44",1186,20307888,5.8,5.5,6.2
,"2020","2020","Renal failure","N17-N19","45-49 years","45-49",1882,19970606,9.4,9.0,9.8
,"2020","2020","Renal failure","N17-N19","50-54 years","50-54",2958,20395527,14.5,14.0,15.0
,"2020","2020","Renal failure","N17-N19","55-59 years","55-59",4860,21603099,22.5,21.9,23.1
,"2020","2020","Renal failure","N17-N19","60-64 years ","60-64",7074,20800578,34.0,33.2,34.8
,"2020","2020","Renal failure","N17-N19","65-69 years","65-69",8892,17873667,49.7,48.7,50.8
,"2020","2020","Renal failure","N17-N19","70-74 years","70-74",10756,14675731,73.3,71.9,74.7
,"2020","2020","Renal failure","N17-N19","75-79 years","75-79",11068,9986833,110.8,108.8,112.9
,"2020","2020","Renal failure","N17-N19","80-84 years","80-84",11118,6464714,172.0,168.8,175.2
,"2020","2020","Renal failure","N17-N19","85-89 years","85-89",10049,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","90-94 years","90-94",7317,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","95-99 years","95-99",2906,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","100+ years","100+",505,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","< 1 year","1",183,3564493,5.1,4.4,5.9
,"2021","2021","Renal failure","N17-N19","1-4 years","1-4",24,15262845,0.2,0.1,0.2
,"2021","2021","Renal failure","N17-N19","5-9 years","5-9",22,20291548,0.1,0.1,0.2
,"2021","2021","Renal failure","N17-N19","10-14 years","10-14",29,21447784,0.1,0.1,0.2
,"2021","2021","Renal failure","N17-N19","15-19 years","15-19",65,21564666,0.3,0.2,0.4
,"2021","2021","Renal failure","N17-N19","20-24 years","20-24",227,21523997,1.1,0.9,1.2
,"2021","2021","Renal failure","N17-N19","25-29 years","25-29",467,22392477,2.1,1.9,2.3
,"2021","2021","Renal failure","N17-N19","30-34 years","30-34",951,23102628,4.1,3.9,4.4
,"2021","2021","Renal failure","N17-N19","35-39 years","35-39",1462,22299318,6.6,6.2,6.9
,"2021","2021","Renal failure","N17-N19","40-44 years","40-44",2214,21104536,10.5,10.1,10.9
,"2021","2021","Renal failure","N17-N19","45-49 years","45-49",3259,19781510,16.5,15.9,17.0
,"2021","2021","Renal failure","N17-N19","50-54 years","50-54",5311,20906926,25.4,24.7,26.1
,"2021","2021","Renal failure","N17-N19","55-59 years","55-59",7899,21567314,36.6,35.8,37.4
,"2021","2021","Renal failure","N17-N19","60-64 years ","60-64",11353,21235750,53.5,52.5,54.4
,"2021","2021","Renal failure","N17-N19","65-69 years","65-69",13698,18394320,74.5,73.2,75.7
,"2021","2021","Renal failure","N17-N19","70-74 years","70-74",15769,15271802,103.3,101.6,104.9
,"2021","2021","Renal failure","N17-N19","75-79 years","75-79",15765,9904769,159.2,156.7,161.7
,"2021","2021","Renal failure","N17-N19","80-84 years","80-84",14726,6301306,233.7,229.9,237.5
,"2021","2021","Renal failure","N17-N19","85-89 years","85-89",12524,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","90-94 years","90-94",8602,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","95-99 years","95-99",3339,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","100+ years","100+",562,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","< 1 year","1",216,3683113,5.9,5.1,6.6
,"2022","2022","Renal failure","N17-N19","1-4 years","1-4",38,14855240,0.3,0.2,0.4
,"2022","2022","Renal failure","N17-N19","5-9 years","5-9",26,20009195,0.1,0.1,0.2
,"2022","2022","Renal failure","N17-N19","10-14 years","10-14",32,20889839,0.2,0.1,0.2
,"2022","2022","Renal failure","N17-N19","15-19 years","15-19",73,21635792,0.3,0.3,0.4
,"2022","2022","Renal failure","N17-N19","20-24 years","20-24",194,22705779,0.9,0.7,1.0
,"2022","2022","Renal failure","N17-N19","25-29 years","25-29",424,22193164,1.9,1.7,2.1
,"2022","2022","Renal failure","N17-N19","30-34 years","30-34",900,23308136,3.9,3.6,4.1
,"2022","2022","Renal failure","N17-N19","35-39 years","35-39",1330,22267949,6.0,5.7,6.3
,"2022","2022","Renal failure","N17-N19","40-44 years","40-44",1915,21427416,8.9,8.5,9.3
,"2022","2022","Renal failure","N17-N19","45-49 years","45-49",2866,19624098,14.6,14.1,15.1
,"2022","2022","Renal failure","N17-N19","50-54 years","50-54",4653,20807547,22.4,21.7,23.0
,"2022","2022","Renal failure","N17-N19","55-59 years","55-59",7149,20967014,34.1,33.3,34.9
,"2022","2022","Renal failure","N17-N19","60-64 years ","60-64",11043,21118423,52.3,51.3,53.3
,"2022","2022","Renal failure","N17-N19","65-69 years","65-69",14229,18631422,76.4,75.1,77.6
,"2022","2022","Renal failure","N17-N19","70-74 years","70-74",17237,15157017,113.7,112.0,115.4
,"2022","2022","Renal failure","N17-N19","75-79 years","75-79",18877,10861000,173.8,171.3,176.3
,"2022","2022","Renal failure","N17-N19","80-84 years","80-84",17553,6659545,263.6,259.7,267.5
,"2022","2022","Renal failure","N17-N19","85-89 years","85-89",15420,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","90-94 years","90-94",10451,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","95-99 years","95-99",4243,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Renal failure","N17-N19","100+ years","100+",754,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","< 1 year","1",224,3648654,6.1,5.3,6.9
,"2023","2023","Renal failure","N17-N19","1-4 years","1-4",50,14862506,0.3,0.2,0.4
,"2023","2023","Renal failure","N17-N19","5-9 years","5-9",33,20152757,0.2,0.1,0.2
,"2023","2023","Renal failure","N17-N19","10-14 years","10-14",32,20834564,0.2,0.1,0.2
,"2023","2023","Renal failure","N17-N19","15-19 years","15-19",71,22075480,0.3,0.3,0.4
,"2023","2023","Renal failure","N17-N19","20-24 years","20-24",152,21811172,0.7,0.6,0.8
,"2023","2023","Renal failure","N17-N19","25-29 years","25-29",357,22018360,1.6,1.5,1.8
,"2023","2023","Renal failure","N17-N19","30-34 years","30-34",746,23524156,3.2,2.9,3.4
,"2023","2023","Renal failure","N17-N19","35-39 years","35-39",1197,22506644,5.3,5.0,5.6
,"2023","2023","Renal failure","N17-N19","40-44 years","40-44",1758,21884049,8.0,7.7,8.4
,"2023","2023","Renal failure","N17-N19","45-49 years","45-49",2382,19817010,12.0,11.5,12.5
,"2023","2023","Renal failure","N17-N19","50-54 years","50-54",3769,20676771,18.2,17.6,18.8
,"2023","2023","Renal failure","N17-N19","55-59 years","55-59",5795,20606257,28.1,27.4,28.8
,"2023","2023","Renal failure","N17-N19","60-64 years ","60-64",9352,21248154,44.0,43.1,44.9
,"2023","2023","Renal failure","N17-N19","65-69 years","65-69",12254,19150728,64.0,62.9,65.1
,"2023","2023","Renal failure","N17-N19","70-74 years","70-74",14773,15534556,95.1,93.6,96.6
,"2023","2023","Renal failure","N17-N19","75-79 years","75-79",16657,11387417,146.3,144.1,148.5
,"2023","2023","Renal failure","N17-N19","80-84 years","80-84",16365,6980680,234.4,230.8,238.0
,"2023","2023","Renal failure","N17-N19","85-89 years","85-89",14168,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","90-94 years","90-94",9529,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","95-99 years","95-99",3689,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","100+ years","100+",708,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Renal failure","N17-N19","< 1 year","1",246,3615598,6.8,6.0,7.7
,"2024","2024","Renal failure","N17-N19","1-4 years","1-4",36,14983716,0.2,0.2,0.3
,"2024","2024","Renal failure","N17-N19","5-9 years","5-9",30,20197672,0.1,0.1,0.2
,"2024","2024","Renal failure","N17-N19","10-14 years","10-14",35,20901154,0.2,0.1,0.2
,"2024","2024","Renal failure","N17-N19","15-19 years","15-19",66,22375825,0.3,0.2,0.4
,"2024","2024","Renal failure","N17-N19","20-24 years","20-24",154,22421936,0.7,0.6,0.8
,"2024","2024","Renal failure","N17-N19","25-29 years","25-29",351,22459876,1.6,1.4,1.7
,"2024","2024","Renal failure","N17-N19","30-34 years","30-34",738,23993988,3.1,2.9,3.3
,"2024","2024","Renal failure","N17-N19","35-39 years","35-39",1127,23170072,4.9,4.6,5.1
,"2024","2024","Renal failure","N17-N19","40-44 years","40-44",1713,22369152,7.7,7.3,8.0
,"2024","2024","Renal failure","N17-N19","45-49 years","45-49",2364,20294049,11.6,11.2,12.1
,"2024","2024","Renal failure","N17-N19","50-54 years","50-54",3582,20486307,17.5,16.9,18.1
,"2024","2024","Renal failure","N17-N19","55-59 years","55-59",5564,20359928,27.3,26.6,28.0
,"2024","2024","Renal failure","N17-N19","60-64 years ","60-64",8872,21301797,41.6,40.8,42.5
,"2024","2024","Renal failure","N17-N19","65-69 years","65-69",11913,19489471,61.1,60.0,62.2
,"2024","2024","Renal failure","N17-N19","70-74 years","70-74",14180,15955491,88.9,87.4,90.3
,"2024","2024","Renal failure","N17-N19","75-79 years","75-79",16597,11993326,138.4,136.3,140.5
,"2024","2024","Renal failure","N17-N19","80-84 years","80-84",16435,7306487,224.9,221.5,228.4
,"2024","2024","Renal failure","N17-N19","85-89 years","85-89",13792,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Renal failure","N17-N19","90-94 years","90-94",9126,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Renal failure","N17-N19","95-99 years","95-99",3618,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024","2024","Renal failure","N17-N19","100+ years","100+",692,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Renal failure","N17-N19","< 1 year","1",227,3615598,6.3,5.5,7.1
,"2025 (provisional)","2025","Renal failure","N17-N19","1-4 years","1-4",33,14983716,0.2,0.2,0.3
,"2025 (provisional)","2025","Renal failure","N17-N19","5-9 years","5-9",25,20197672,0.1,0.1,0.2
,"2025 (provisional)","2025","Renal failure","N17-N19","10-14 years","10-14",30,20901154,0.1,0.1,0.2
,"2025 (provisional)","2025","Renal failure","N17-N19","15-19 years","15-19",87,22375825,0.4,0.3,0.5
,"2025 (provisional)","2025","Renal failure","N17-N19","20-24 years","20-24",138,22421936,0.6,0.5,0.7
,"2025 (provisional)","2025","Renal failure","N17-N19","25-29 years","25-29",333,22459876,1.5,1.3,1.6
,"2025 (provisional)","2025","Renal failure","N17-N19","30-34 years","30-34",659,23993988,2.7,2.5,3.0
,"2025 (provisional)","2025","Renal failure","N17-N19","35-39 years","35-39",1043,23170072,4.5,4.2,4.8
,"2025 (provisional)","2025","Renal failure","N17-N19","40-44 years","40-44",1669,22369152,7.5,7.1,7.8
,"2025 (provisional)","2025","Renal failure","N17-N19","45-49 years","45-49",2310,20294049,11.4,10.9,11.8
,"2025 (provisional)","2025","Renal failure","N17-N19","50-54 years","50-54",3445,20486307,16.8,16.3,17.4
,"2025 (provisional)","2025","Renal failure","N17-N19","55-59 years","55-59",5138,20359928,25.2,24.5,25.9
,"2025 (provisional)","2025","Renal failure","N17-N19","60-64 years ","60-64",8575,21301797,40.3,39.4,41.1
,"2025 (provisional)","2025","Renal failure","N17-N19","65-69 years","65-69",11762,19489471,60.4,59.3,61.4
,"2025 (provisional)","2025","Renal failure","N17-N19","70-74 years","70-74",14320,15955491,89.7,88.3,91.2
,"2025 (provisional)","2025","Renal failure","N17-N19","75-79 years","75-79",17079,11993326,142.4,140.3,144.5
,"2025 (provisional)","2025","Renal failure","N17-N19","80-84 years","80-84",16296,7306487,223.0,219.6,226.5
,"2025 (provisional)","2025","Renal failure","N17-N19","85-89 years","85-89",13516,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Renal failure","N17-N19","90-94 years","90-94",8829,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Renal failure","N17-N19","95-99 years","95-99",3474,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2025 (provisional)","2025","Renal failure","N17-N19","100+ years","100+",668,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","< 1 year","1",13,3615598,0.4,0.2,0.6
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","20-24 years","20-24",23,22421936,0.1,0.1,0.2
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","25-29 years","25-29",27,22459876,0.1,0.1,0.2
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","30-34 years","30-34",51,23993988,0.2,0.2,0.3
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","35-39 years","35-39",101,23170072,0.4,0.4,0.5
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","40-44 years","40-44",177,22369152,0.8,0.7,0.9
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","45-49 years","45-49",248,20294049,1.2,1.1,1.4
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","50-54 years","50-54",357,20486307,1.7,1.6,1.9
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","55-59 years","55-59",565,20359928,2.8,2.5,3.0
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","60-64 years ","60-64",899,21301797,4.2,3.9,4.5
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","65-69 years","65-69",1333,19489471,6.8,6.5,7.2
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","70-74 years","70-74",1672,15955491,10.5,10.0,11.0
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","75-79 years","75-79",2045,11993326,17.1,16.3,17.8
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","80-84 years","80-84",1945,7306487,26.6,25.4,27.8
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","85-89 years","85-89",1777,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","90-94 years","90-94",1099,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","95-99 years","95-99",444,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2026 (provisional and partial)","2026","Renal failure","N17-N19","100+ years","100+",97,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"Group By: Year; MCD - ICD Sub-Chapter; Five-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 27, 2026 1:46:15 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 27, 2026"
"1:46:15 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Ages 85-100."
"2. These items in the results table are not fully selected: Renal failure. The Query Description lists the actual values"
"selected."
