"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"1999","1999","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","White","2106-3",18,7944134,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Black or African American","2054-5",12,1308656,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","White","2106-3",20,8447156,0.2
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Black or African American","2054-5",10,1564410,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","White","2106-3",20,9277734,0.2
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Black or African American","2054-5",16,1387055,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","White","2106-3",31,9425123,0.3
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Black or African American","2054-5",17,1468119,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","White","2106-3",29,9135045,0.3
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Black or African American","2054-5",25,1291354,1.9
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","White","2106-3",56,9169012,0.6
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Black or African American","2054-5",22,1229341,1.8
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","White","2106-3",52,8240528,0.6
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Black or African American","2054-5",34,1060502,3.2
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","White","2106-3",86,8151142,1.1
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Black or African American","2054-5",24,957589,2.5
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","White","2106-3",70,7271943,1.0
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Black or African American","2054-5",31,811874,3.8
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","White","2106-3",114,7099852,1.6
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Black or African American","2054-5",23,722150,3.2
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","White","2106-3",88,5754517,1.5
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Black or African American","2054-5",32,589866,5.4
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","White","2106-3",102,5470979,1.9
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Black or African American","2054-5",31,600993,5.2
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","White","2106-3",98,4784689,2.0
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Black or African American","2054-5",57,471350,12.1
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","White","2106-3",156,4407170,3.5
