"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Race","Race Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",11,273464,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",11,178582,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",17,87469,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",16,40892,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",11,14001,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",14,919792,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",24,490802,4.9
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",71,266935,26.6
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",65,92921,70.0
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","25-34 years","25-34",13,3066086,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","35-44 years","35-44",35,2961585,1.2
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","45-54 years","45-54",104,3056411,3.4
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","55-64 years","55-64",172,2196805,7.8
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","65-74 years","65-74",202,1192148,16.9
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","75-84 years","75-84",305,675432,45.2
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","Black or African American","2054-5","85+ years","85+",306,282385,108.4
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","25-34 years","25-34",44,15551936,0.3
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","35-44 years","35-44",93,15940784,0.6
