"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2010","2010","Other bacterial diseases","A30-A49","< 1 year","1",14,3944153,Unreliable
,"2010","2010","Other bacterial diseases","A30-A49","20-24 years","20-24",20,21585999,0.1
,"2010","2010","Other bacterial diseases","A30-A49","25-29 years","25-29",53,21101849,0.3
,"2010","2010","Other bacterial diseases","A30-A49","30-34 years","30-34",66,19962099,0.3
,"2010","2010","Other bacterial diseases","A30-A49","35-39 years","35-39",108,20179642,0.5
,"2010","2010","Other bacterial diseases","A30-A49","40-44 years","40-44",194,20890964,0.9
,"2010","2010","Other bacterial diseases","A30-A49","45-49 years","45-49",402,22708591,1.8
,"2010","2010","Other bacterial diseases","A30-A49","50-54 years","50-54",668,22298125,3.0
,"2010","2010","Other bacterial diseases","A30-A49","55-59 years","55-59",899,19664805,4.6
,"2010","2010","Other bacterial diseases","A30-A49","60-64 years ","60-64",1133,16817924,6.7
,"2010","2010","Other bacterial diseases","A30-A49","65-69 years","65-69",1369,12435263,11.0
,"2010","2010","Other bacterial diseases","A30-A49","70-74 years","70-74",1634,9278166,17.6
,"2010","2010","Other bacterial diseases","A30-A49","75-79 years","75-79",2023,7317795,27.6
,"2010","2010","Other bacterial diseases","A30-A49","80-84 years","80-84",2485,5743327,43.3
,"2010","2010","Other bacterial diseases","A30-A49","85-89 years","85-89",2464,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","90-94 years","90-94",1420,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","95-99 years","95-99",476,Not Applicable,Not Applicable
,"2010","2010","Other bacterial diseases","A30-A49","100+ years","100+",69,Not Applicable,Not Applicable
"Total","2010","2010","Other bacterial diseases","A30-A49",,,15514,308745538,5.0
,"2010","2010","Renal failure","N17-N19","< 1 year","1",14,3944153,Unreliable
,"2010","2010","Renal failure","N17-N19","20-24 years","20-24",21,21585999,0.1
,"2010","2010","Renal failure","N17-N19","25-29 years","25-29",53,21101849,0.3
,"2010","2010","Renal failure","N17-N19","30-34 years","30-34",66,19962099,0.3
,"2010","2010","Renal failure","N17-N19","35-39 years","35-39",108,20179642,0.5
,"2010","2010","Renal failure","N17-N19","40-44 years","40-44",194,20890964,0.9
,"2010","2010","Renal failure","N17-N19","45-49 years","45-49",407,22708591,1.8
,"2010","2010","Renal failure","N17-N19","50-54 years","50-54",671,22298125,3.0
,"2010","2010","Renal failure","N17-N19","55-59 years","55-59",904,19664805,4.6
,"2010","2010","Renal failure","N17-N19","60-64 years ","60-64",1134,16817924,6.7
,"2010","2010","Renal failure","N17-N19","65-69 years","65-69",1375,12435263,11.1
,"2010","2010","Renal failure","N17-N19","70-74 years","70-74",1647,9278166,17.8
,"2010","2010","Renal failure","N17-N19","75-79 years","75-79",2027,7317795,27.7
,"2010","2010","Renal failure","N17-N19","80-84 years","80-84",2499,5743327,43.5
,"2010","2010","Renal failure","N17-N19","85-89 years","85-89",2469,Not Applicable,Not Applicable
,"2010","2010","Renal failure","N17-N19","90-94 years","90-94",1428,Not Applicable,Not Applicable
