"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Race","Race Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2010","2010","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",122,4263538,2.9,5.1
,"2010","2010","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",408,16993326,2.4,3.6
,"2010","2010","Other bacterial diseases","A30-A49","Black or African American","2054-5",2157,42065334,5.1,7.1
,"2010","2010","Other bacterial diseases","A30-A49","White","2106-3",12827,245423340,5.2,4.5
"Total","2010","2010","Other bacterial diseases","A30-A49",,,15514,308745538,5.0,4.7
,"2010","2010","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",123,4263538,2.9,5.1
,"2010","2010","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",407,16993326,2.4,3.5
,"2010","2010","Renal failure","N17-N19","Black or African American","2054-5",2165,42065334,5.1,7.2
,"2010","2010","Renal failure","N17-N19","White","2106-3",12885,245423340,5.3,4.5
"Total","2010","2010","Renal failure","N17-N19",,,15580,308745538,5.0,4.7
"Total","2010","2010",,,,,31094,308745538,10.1,9.4
,"2011","2011","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",135,4347413,3.1,5.2
,"2011","2011","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",457,17471358,2.6,3.6
,"2011","2011","Other bacterial diseases","A30-A49","Black or African American","2054-5",2128,42678815,5.0,6.7
,"2011","2011","Other bacterial diseases","A30-A49","White","2106-3",13291,247094331,5.4,4.5
"Total","2011","2011","Other bacterial diseases","A30-A49",,,16011,311591917,5.1,4.7
,"2011","2011","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",136,4347413,3.1,5.2
,"2011","2011","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",460,17471358,2.6,3.7
,"2011","2011","Renal failure","N17-N19","Black or African American","2054-5",2144,42678815,5.0,6.8
,"2011","2011","Renal failure","N17-N19","White","2106-3",13368,247094331,5.4,4.6
"Total","2011","2011","Renal failure","N17-N19",,,16108,311591917,5.2,4.7
"Total","2011","2011",,,,,32119,311591917,10.3,9.5
,"2012","2012","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",152,4398436,3.5,5.9
,"2012","2012","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",448,18087959,2.5,3.4
,"2012","2012","Other bacterial diseases","A30-A49","Black or African American","2054-5",2025,43203092,4.7,6.1
,"2012","2012","Other bacterial diseases","A30-A49","White","2106-3",12971,248224553,5.2,4.4
"Total","2012","2012","Other bacterial diseases","A30-A49",,,15596,313914040,5.0,4.5
,"2012","2012","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",152,4398436,3.5,5.9
,"2012","2012","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",450,18087959,2.5,3.4
,"2012","2012","Renal failure","N17-N19","Black or African American","2054-5",2038,43203092,4.7,6.2
,"2012","2012","Renal failure","N17-N19","White","2106-3",13039,248224553,5.3,4.4
"Total","2012","2012","Renal failure","N17-N19",,,15679,313914040,5.0,4.5
"Total","2012","2012",,,,,31275,313914040,10.0,9.0
,"2013","2013","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",148,4457934,3.3,5.1
,"2013","2013","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",497,18630136,2.7,3.4
,"2013","2013","Other bacterial diseases","A30-A49","Black or African American","2054-5",2255,43696271,5.2,6.6
,"2013","2013","Other bacterial diseases","A30-A49","White","2106-3",13579,249344498,5.4,4.5
"Total","2013","2013","Other bacterial diseases","A30-A49",,,16479,316128839,5.2,4.6
,"2013","2013","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",149,4457934,3.3,5.1
,"2013","2013","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",499,18630136,2.7,3.4
,"2013","2013","Renal failure","N17-N19","Black or African American","2054-5",2263,43696271,5.2,6.6
,"2013","2013","Renal failure","N17-N19","White","2106-3",13658,249344498,5.5,4.5
"Total","2013","2013","Renal failure","N17-N19",,,16569,316128839,5.2,4.6
"Total","2013","2013",,,,,33048,316128839,10.5,9.3
,"2014","2014","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",180,4518981,4.0,6.0
,"2014","2014","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",505,19398214,2.6,3.2
,"2014","2014","Other bacterial diseases","A30-A49","Black or African American","2054-5",2163,44309394,4.9,6.1
,"2014","2014","Other bacterial diseases","A30-A49","White","2106-3",14219,250630467,5.7,4.6
"Total","2014","2014","Other bacterial diseases","A30-A49",,,17067,318857056,5.4,4.7
,"2014","2014","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",178,4518981,3.9,6.0
,"2014","2014","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",508,19398214,2.6,3.2
,"2014","2014","Renal failure","N17-N19","Black or African American","2054-5",2184,44309394,4.9,6.2
,"2014","2014","Renal failure","N17-N19","White","2106-3",14324,250630467,5.7,4.6
"Total","2014","2014","Renal failure","N17-N19",,,17194,318857056,5.4,4.7
"Total","2014","2014",,,,,34261,318857056,10.7,9.4
,"2015","2015","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",189,4577853,4.1,5.8
,"2015","2015","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",531,20102717,2.6,3.2
,"2015","2015","Other bacterial diseases","A30-A49","Black or African American","2054-5",2368,44863196,5.3,6.5
,"2015","2015","Other bacterial diseases","A30-A49","White","2106-3",15066,251875054,6.0,4.8
"Total","2015","2015","Other bacterial diseases","A30-A49",,,18154,321418820,5.6,4.9
,"2015","2015","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",191,4577853,4.2,5.9
,"2015","2015","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",535,20102717,2.7,3.2
,"2015","2015","Renal failure","N17-N19","Black or African American","2054-5",2393,44863196,5.3,6.5
,"2015","2015","Renal failure","N17-N19","White","2106-3",15203,251875054,6.0,4.8
"Total","2015","2015","Renal failure","N17-N19",,,18322,321418820,5.7,4.9
"Total","2015","2015",,,,,36476,321418820,11.3,9.8
,"2016","2016","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",177,4630155,3.8,5.1
,"2016","2016","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",553,20487524,2.7,3.1
,"2016","2016","Other bacterial diseases","A30-A49","Black or African American","2054-5",2330,45307020,5.1,6.1
,"2016","2016","Other bacterial diseases","A30-A49","White","2106-3",14912,252702814,5.9,4.7
"Total","2016","2016","Other bacterial diseases","A30-A49",,,17972,323127513,5.6,4.7
,"2016","2016","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",180,4630155,3.9,5.2
,"2016","2016","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",558,20487524,2.7,3.2
,"2016","2016","Renal failure","N17-N19","Black or African American","2054-5",2355,45307020,5.2,6.2
,"2016","2016","Renal failure","N17-N19","White","2106-3",15098,252702814,6.0,4.7
"Total","2016","2016","Renal failure","N17-N19",,,18191,323127513,5.6,4.8
"Total","2016","2016",,,,,36163,323127513,11.2,9.5
,"2017","2017","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",194,4689047,4.1,5.7
,"2017","2017","Other bacterial diseases","A30-A49","Asian or Pacific Islander","A-PI",592,21210673,2.8,3.1
,"2017","2017","Other bacterial diseases","A30-A49","Black or African American","2054-5",2356,45883808,5.1,6.0
,"2017","2017","Other bacterial diseases","A30-A49","White","2106-3",15105,253935650,5.9,4.6
"Total","2017","2017","Other bacterial diseases","A30-A49",,,18247,325719178,5.6,4.7
,"2017","2017","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",196,4689047,4.2,5.7
,"2017","2017","Renal failure","N17-N19","Asian or Pacific Islander","A-PI",607,21210673,2.9,3.2
,"2017","2017","Renal failure","N17-N19","Black or African American","2054-5",2393,45883808,5.2,6.1
,"2017","2017","Renal failure","N17-N19","White","2106-3",15320,253935650,6.0,4.7
"Total","2017","2017","Renal failure","N17-N19",,,18516,325719178,5.7,4.8
"Total","2017","2017",,,,,36763,325719178,11.3,9.4
"Total",,,,,,,271199,2539502901,10.7,9.4
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Year; MCD - ICD Sub-Chapter; Race"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 25, 2026 2:24:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Feb 25, 2026 2:24:53 AM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. These items in the results table are not fully selected: Other bacterial diseases, Renal failure. The Query Description lists"
"the actual values selected."
"3. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"4. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"5. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"6. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Racial Differences."
"7. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
