"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","White","2106-3",19,8297949,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","White","2106-3",29,8758571,0.3
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Black or African American","2054-5",12,1607398,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","White","2106-3",40,8005729,0.5
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Black or African American","2054-5",11,1536299,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","White","2106-3",42,8381353,0.5
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Black or African American","2054-5",17,1559292,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","White","2106-3",73,7938130,0.9
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Black or African American","2054-5",17,1425375,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","White","2106-3",81,8190883,1.0
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Black or African American","2054-5",21,1415876,1.5
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","White","2106-3",79,7352455,1.1
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Black or African American","2054-5",29,1259167,2.3
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","White","2106-3",126,7499322,1.7
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Black or African American","2054-5",37,1459563,2.5
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","White","2106-3",148,7929178,1.9
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Black or African American","2054-5",40,1287771,3.1
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","White","2106-3",200,7990289,2.5
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",10,121450,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Black or African American","2054-5",80,1451853,5.5
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","White","2106-3",248,8203647,3.0
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Asian","A",14,563625,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Black or African American","2054-5",64,1278353,5.0
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","White","2106-3",317,8148755,3.9
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",10,120633,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Black or African American","2054-5",101,1463536,6.9
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","White","2106-3",410,8910854,4.6
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Asian","A",11,512129,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Black or African American","2054-5",105,1261541,8.3
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","White","2106-3",541,8624486,6.3
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",11,102523,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Asian","A",14,554664,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Black or African American","2054-5",142,1301050,10.9
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","White","2106-3",578,8500455,6.8
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Asian","A",14,450723,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Black or African American","2054-5",166,1073845,15.5
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","White","2106-3",736,7982518,9.2
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Asian","A",23,469559,4.9
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Black or African American","2054-5",153,1027711,14.9
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","White","2106-3",755,7371013,10.2
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","American Indian or Alaska Native","1002-5",11,68649,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Asian","A",32,367546,8.7
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Black or African American","2054-5",165,791560,20.8
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","White","2106-3",917,6713016,13.7
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Asian","A",24,340247,7.1
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Black or African American","2054-5",158,722317,21.9
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","White","2106-3",864,6001102,14.4
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Asian","A",46,268291,17.1
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Black or African American","2054-5",139,527361,26.4
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","White","2106-3",1072,5302945,20.2
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","Asian","A",27,228632,11.8
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","Black or African American","2054-5",148,496165,29.8
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","White","2106-3",916,4313074,21.2
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","American Indian or Alaska Native","1002-5",10,28596,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","Asian","A",39,181752,21.5
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","Black or African American","2054-5",144,329086,43.8
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","White","2106-3",1083,3565466,30.4
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","American Indian or Alaska Native","1002-5",12,22098,Unreliable
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","Asian","A",47,155594,30.2
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","Black or African American","2054-5",147,336470,43.7
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","White","2106-3",965,2990755,32.3
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","Asian","A",53,116509,45.5
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","Black or African American","2054-5",121,195786,61.8
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","White","2106-3",1056,2238341,47.2
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","Asian","A",45,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","Black or African American","2054-5",117,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","White","2106-3",1000,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","Asian","A",38,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","Black or African American","2054-5",84,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","White","2106-3",942,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","Asian","A",43,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","Black or African American","2054-5",73,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","White","2106-3",738,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","Asian","A",27,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","Black or African American","2054-5",39,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","White","2106-3",543,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","Asian","A",11,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","Black or African American","2054-5",32,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","White","2106-3",303,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99","Male","M","Black or African American","2054-5",12,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99","Male","M","White","2106-3",169,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","100+ years","100+","Female","F","White","2106-3",40,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","100+ years","100+","Male","M","White","2106-3",26,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Female","F","White","2106-3",19,8297949,Unreliable
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29","Male","M","White","2106-3",29,8758571,0.3
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Female","F","Black or African American","2054-5",12,1607398,Unreliable
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Female","F","White","2106-3",40,8005729,0.5
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Male","M","Black or African American","2054-5",12,1536299,Unreliable
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34","Male","M","White","2106-3",42,8381353,0.5
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Female","F","Black or African American","2054-5",17,1559292,Unreliable
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Female","F","White","2106-3",73,7938130,0.9
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","Black or African American","2054-5",18,1425375,Unreliable
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39","Male","M","White","2106-3",81,8190883,1.0
