"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",10,269357,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",13,247039,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",21,223156,9.4
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",16,130699,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",13,56718,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Asian","A","45-54 years","45-54",13,1409596,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Asian","A","55-64 years","55-64",19,1159181,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Asian","A","65-74 years","65-74",47,809806,5.8
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Asian","A","75-84 years","75-84",74,384226,19.3
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Asian","A","85+ years","85+",104,173717,59.9
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","25-34 years","25-34",19,3461983,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","35-44 years","35-44",38,2975168,1.3
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","45-54 years","45-54",117,2911416,4.0
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","55-64 years","55-64",243,2764586,8.8
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","65-74 years","65-74",311,1750028,17.8
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","75-84 years","75-84",295,832635,35.4
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","Black or African American","2054-5","85+ years","85+",229,360311,63.6
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","25-34 years","25-34",59,16303678,0.4
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","35-44 years","35-44",152,15290585,1.0
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","45-54 years","45-54",396,16132825,2.5
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","55-64 years","55-64",988,17411309,5.7
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","65-74 years","65-74",1619,13372115,12.1
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","75-84 years","75-84",1881,7303829,25.8
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","White","2106-3","85+ years","85+",2081,3629712,57.3
,"Other bacterial diseases","A30-A49","2018","2018","Female","F","More than one race","M","55-64 years","55-64",11,276837,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",12,250904,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",16,209040,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",20,116022,17.2
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",15,44730,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",11,12593,Unreliable
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Asian","A","45-54 years","45-54",22,1229409,1.8
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Asian","A","55-64 years","55-64",25,962852,2.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Asian","A","65-74 years","65-74",78,635837,12.3
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Asian","A","75-84 years","75-84",92,298261,30.8
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Asian","A","85+ years","85+",75,101879,73.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","25-34 years","25-34",20,3412158,0.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","35-44 years","35-44",46,2684542,1.7
