"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2018","2018","Other bacterial diseases","A30-A49","15-19 years","15-19",19,21097221,0.1,0.1,0.1
,"2018","2018","Other bacterial diseases","A30-A49","20-24 years","20-24",30,21873579,0.1,0.1,0.2
,"2018","2018","Other bacterial diseases","A30-A49","25-29 years","25-29",69,23561756,0.3,0.2,0.4
,"2018","2018","Other bacterial diseases","A30-A49","30-34 years","30-34",121,22136018,0.5,0.4,0.6
,"2018","2018","Other bacterial diseases","A30-A49","35-39 years","35-39",210,21563587,1.0,0.8,1.1
,"2018","2018","Other bacterial diseases","A30-A49","40-44 years","40-44",274,19714301,1.4,1.2,1.6
,"2018","2018","Other bacterial diseases","A30-A49","45-49 years","45-49",453,20747135,2.2,2.0,2.4
,"2018","2018","Other bacterial diseases","A30-A49","50-54 years","50-54",756,20884564,3.6,3.4,3.9
,"2018","2018","Other bacterial diseases","A30-A49","55-59 years","55-59",1204,21940985,5.5,5.2,5.8
,"2018","2018","Other bacterial diseases","A30-A49","60-64 years ","60-64",1680,20331651,8.3,7.9,8.7
,"2018","2018","Other bacterial diseases","A30-A49","65-69 years","65-69",2073,17086893,12.1,11.6,12.7
,"2018","2018","Other bacterial diseases","A30-A49","70-74 years","70-74",2337,13405423,17.4,16.7,18.1
,"2018","2018","Other bacterial diseases","A30-A49","75-79 years","75-79",2377,9267066,25.6,24.6,26.7
,"2018","2018","Other bacterial diseases","A30-A49","80-84 years","80-84",2415,6127308,39.4,37.8,41.0
,"2018","2018","Other bacterial diseases","A30-A49","85-89 years","85-89",2242,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","90-94 years","90-94",1467,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","95-99 years","95-99",540,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","100+ years","100+",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2018","2018","Other bacterial diseases","A30-A49",,,18372,327167434,5.6,5.5,5.7
,"2018","2018","Renal failure","N17-N19","15-19 years","15-19",19,21097221,0.1,0.1,0.1
,"2018","2018","Renal failure","N17-N19","20-24 years","20-24",30,21873579,0.1,0.1,0.2
,"2018","2018","Renal failure","N17-N19","25-29 years","25-29",69,23561756,0.3,0.2,0.4
,"2018","2018","Renal failure","N17-N19","30-34 years","30-34",122,22136018,0.6,0.5,0.6
,"2018","2018","Renal failure","N17-N19","35-39 years","35-39",211,21563587,1.0,0.8,1.1
,"2018","2018","Renal failure","N17-N19","40-44 years","40-44",281,19714301,1.4,1.3,1.6
,"2018","2018","Renal failure","N17-N19","45-49 years","45-49",461,20747135,2.2,2.0,2.4
,"2018","2018","Renal failure","N17-N19","50-54 years","50-54",774,20884564,3.7,3.4,4.0
,"2018","2018","Renal failure","N17-N19","55-59 years","55-59",1225,21940985,5.6,5.3,5.9
,"2018","2018","Renal failure","N17-N19","60-64 years ","60-64",1700,20331651,8.4,8.0,8.8
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69",2111,17086893,12.4,11.8,12.9
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74",2379,13405423,17.7,17.0,18.5
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79",2420,9267066,26.1,25.1,27.2
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84",2447,6127308,39.9,38.4,41.5
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89",2276,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94",1484,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99",548,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+",83,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2018","2018","Renal failure","N17-N19",,,18662,327167434,5.7,5.6,5.8
"Total","2018","2018",,,,,37034,327167434,11.3,11.2,11.4
,"2019","2019","Other bacterial diseases","A30-A49","< 1 year","1",15,3783052,0.4,0.2,0.7
,"2019","2019","Other bacterial diseases","A30-A49","15-19 years","15-19",11,21054570,0.1,0.0,0.1
,"2019","2019","Other bacterial diseases","A30-A49","20-24 years","20-24",37,21632940,0.2,0.1,0.2
,"2019","2019","Other bacterial diseases","A30-A49","25-29 years","25-29",64,23509016,0.3,0.2,0.3
,"2019","2019","Other bacterial diseases","A30-A49","30-34 years","30-34",126,22431305,0.6,0.5,0.7
,"2019","2019","Other bacterial diseases","A30-A49","35-39 years","35-39",205,21737521,0.9,0.8,1.1
,"2019","2019","Other bacterial diseases","A30-A49","40-44 years","40-44",268,19921623,1.3,1.2,1.5
,"2019","2019","Other bacterial diseases","A30-A49","45-49 years","45-49",471,20397751,2.3,2.1,2.5
,"2019","2019","Other bacterial diseases","A30-A49","50-54 years","50-54",707,20477151,3.5,3.2,3.7
,"2019","2019","Other bacterial diseases","A30-A49","55-59 years","55-59",1170,21877391,5.3,5.0,5.7
,"2019","2019","Other bacterial diseases","A30-A49","60-64 years ","60-64",1673,20571146,8.1,7.7,8.5
,"2019","2019","Other bacterial diseases","A30-A49","65-69 years","65-69",1967,17455001,11.3,10.8,11.8
,"2019","2019","Other bacterial diseases","A30-A49","70-74 years","70-74",2287,14028432,16.3,15.6,17.0
,"2019","2019","Other bacterial diseases","A30-A49","75-79 years","75-79",2448,9652665,25.4,24.4,26.4
,"2019","2019","Other bacterial diseases","A30-A49","80-84 years","80-84",2292,6317207,36.3,34.8,37.8
,"2019","2019","Other bacterial diseases","A30-A49","85-89 years","85-89",2013,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","90-94 years","90-94",1343,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","95-99 years","95-99",485,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","100+ years","100+",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2019","2019","Other bacterial diseases","A30-A49",,,17652,328239523,5.4,5.3,5.5
,"2019","2019","Renal failure","N17-N19","< 1 year","1",14,3783052,0.4,0.2,0.6
,"2019","2019","Renal failure","N17-N19","15-19 years","15-19",11,21054570,0.1,0.0,0.1
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24",38,21632940,0.2,0.1,0.2
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29",66,23509016,0.3,0.2,0.4
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34",127,22431305,0.6,0.5,0.7
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39",209,21737521,1.0,0.8,1.1
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44",276,19921623,1.4,1.2,1.5
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49",476,20397751,2.3,2.1,2.5
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54",715,20477151,3.5,3.2,3.7
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59",1188,21877391,5.4,5.1,5.7
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64",1696,20571146,8.2,7.9,8.6
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69",1988,17455001,11.4,10.9,11.9
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74",2321,14028432,16.5,15.9,17.2
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79",2490,9652665,25.8,24.8,26.8
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84",2328,6317207,36.9,35.4,38.3
,"2019","2019","Renal failure","N17-N19","85-89 years","85-89",2037,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","90-94 years","90-94",1371,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","95-99 years","95-99",491,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","100+ years","100+",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2019","2019","Renal failure","N17-N19",,,17912,328239523,5.5,5.4,5.5
"Total","2019","2019",,,,,35564,328239523,10.8,10.7,10.9
,"2020","2020","Other bacterial diseases","A30-A49","15-19 years","15-19",12,20960929,0.1,0.0,0.1
,"2020","2020","Other bacterial diseases","A30-A49","20-24 years","20-24",44,21594755,0.2,0.1,0.3
,"2020","2020","Other bacterial diseases","A30-A49","25-29 years","25-29",81,23231243,0.3,0.3,0.4
,"2020","2020","Other bacterial diseases","A30-A49","30-34 years","30-34",177,22838403,0.8,0.7,0.9
,"2020","2020","Other bacterial diseases","A30-A49","35-39 years","35-39",294,21828304,1.3,1.2,1.5
,"2020","2020","Other bacterial diseases","A30-A49","40-44 years","40-44",377,20307888,1.9,1.7,2.0
,"2020","2020","Other bacterial diseases","A30-A49","45-49 years","45-49",642,19970606,3.2,3.0,3.5
,"2020","2020","Other bacterial diseases","A30-A49","50-54 years","50-54",999,20395527,4.9,4.6,5.2
,"2020","2020","Other bacterial diseases","A30-A49","55-59 years","55-59",1702,21603099,7.9,7.5,8.3
,"2020","2020","Other bacterial diseases","A30-A49","60-64 years ","60-64",2415,20800578,11.6,11.1,12.1
,"2020","2020","Other bacterial diseases","A30-A49","65-69 years","65-69",2945,17873667,16.5,15.9,17.1
,"2020","2020","Other bacterial diseases","A30-A49","70-74 years","70-74",3379,14675731,23.0,22.2,23.8
,"2020","2020","Other bacterial diseases","A30-A49","75-79 years","75-79",3153,9986833,31.6,30.5,32.7
,"2020","2020","Other bacterial diseases","A30-A49","80-84 years","80-84",2944,6464714,45.5,43.9,47.2
,"2020","2020","Other bacterial diseases","A30-A49","85-89 years","85-89",2299,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","90-94 years","90-94",1603,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","95-99 years","95-99",529,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","100+ years","100+",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2020","2020","Other bacterial diseases","A30-A49",,,23673,329484123,7.2,7.1,7.3
,"2020","2020","Renal failure","N17-N19","15-19 years","15-19",12,20960929,0.1,0.0,0.1
,"2020","2020","Renal failure","N17-N19","20-24 years","20-24",44,21594755,0.2,0.1,0.3
,"2020","2020","Renal failure","N17-N19","25-29 years","25-29",82,23231243,0.4,0.3,0.4
,"2020","2020","Renal failure","N17-N19","30-34 years","30-34",184,22838403,0.8,0.7,0.9
,"2020","2020","Renal failure","N17-N19","35-39 years","35-39",296,21828304,1.4,1.2,1.5
,"2020","2020","Renal failure","N17-N19","40-44 years","40-44",380,20307888,1.9,1.7,2.1
,"2020","2020","Renal failure","N17-N19","45-49 years","45-49",649,19970606,3.2,3.0,3.5
,"2020","2020","Renal failure","N17-N19","50-54 years","50-54",1009,20395527,4.9,4.6,5.3
,"2020","2020","Renal failure","N17-N19","55-59 years","55-59",1733,21603099,8.0,7.6,8.4
,"2020","2020","Renal failure","N17-N19","60-64 years ","60-64",2454,20800578,11.8,11.3,12.3
,"2020","2020","Renal failure","N17-N19","65-69 years","65-69",2993,17873667,16.7,16.1,17.3
,"2020","2020","Renal failure","N17-N19","70-74 years","70-74",3431,14675731,23.4,22.6,24.2
,"2020","2020","Renal failure","N17-N19","75-79 years","75-79",3198,9986833,32.0,30.9,33.1
,"2020","2020","Renal failure","N17-N19","80-84 years","80-84",2990,6464714,46.3,44.6,47.9
,"2020","2020","Renal failure","N17-N19","85-89 years","85-89",2332,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","90-94 years","90-94",1624,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","95-99 years","95-99",534,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Renal failure","N17-N19","100+ years","100+",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2020","2020","Renal failure","N17-N19",,,24023,329484123,7.3,7.2,7.4
"Total","2020","2020",,,,,47696,329484123,14.5,14.3,14.6
,"2021","2021","Other bacterial diseases","A30-A49","< 1 year","1",17,3564493,0.5,0.3,0.8
,"2021","2021","Other bacterial diseases","A30-A49","15-19 years","15-19",21,21564666,0.1,0.1,0.1
,"2021","2021","Other bacterial diseases","A30-A49","20-24 years","20-24",73,21523997,0.3,0.3,0.4
,"2021","2021","Other bacterial diseases","A30-A49","25-29 years","25-29",152,22392477,0.7,0.6,0.8
,"2021","2021","Other bacterial diseases","A30-A49","30-34 years","30-34",317,23102628,1.4,1.2,1.5
,"2021","2021","Other bacterial diseases","A30-A49","35-39 years","35-39",524,22299318,2.3,2.1,2.6
,"2021","2021","Other bacterial diseases","A30-A49","40-44 years","40-44",737,21104536,3.5,3.2,3.7
,"2021","2021","Other bacterial diseases","A30-A49","45-49 years","45-49",1102,19781510,5.6,5.2,5.9
,"2021","2021","Other bacterial diseases","A30-A49","50-54 years","50-54",1784,20906926,8.5,8.1,8.9
,"2021","2021","Other bacterial diseases","A30-A49","55-59 years","55-59",2768,21567314,12.8,12.4,13.3
,"2021","2021","Other bacterial diseases","A30-A49","60-64 years ","60-64",3892,21235750,18.3,17.8,18.9
,"2021","2021","Other bacterial diseases","A30-A49","65-69 years","65-69",4604,18394320,25.0,24.3,25.8
,"2021","2021","Other bacterial diseases","A30-A49","70-74 years","70-74",5031,15271802,32.9,32.0,33.9
,"2021","2021","Other bacterial diseases","A30-A49","75-79 years","75-79",4833,9904769,48.8,47.4,50.2
,"2021","2021","Other bacterial diseases","A30-A49","80-84 years","80-84",4067,6301306,64.5,62.6,66.5
,"2021","2021","Other bacterial diseases","A30-A49","85-89 years","85-89",3144,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","90-94 years","90-94",1882,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","95-99 years","95-99",684,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Other bacterial diseases","A30-A49","100+ years","100+",94,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2021","2021","Other bacterial diseases","A30-A49",,,35742,331893745,10.8,10.7,10.9
,"2021","2021","Renal failure","N17-N19","< 1 year","1",17,3564493,0.5,0.3,0.8
,"2021","2021","Renal failure","N17-N19","15-19 years","15-19",22,21564666,0.1,0.1,0.2
,"2021","2021","Renal failure","N17-N19","20-24 years","20-24",74,21523997,0.3,0.3,0.4
,"2021","2021","Renal failure","N17-N19","25-29 years","25-29",154,22392477,0.7,0.6,0.8
,"2021","2021","Renal failure","N17-N19","30-34 years","30-34",323,23102628,1.4,1.2,1.6
,"2021","2021","Renal failure","N17-N19","35-39 years","35-39",535,22299318,2.4,2.2,2.6
,"2021","2021","Renal failure","N17-N19","40-44 years","40-44",747,21104536,3.5,3.3,3.8
,"2021","2021","Renal failure","N17-N19","45-49 years","45-49",1117,19781510,5.6,5.3,6.0
,"2021","2021","Renal failure","N17-N19","50-54 years","50-54",1824,20906926,8.7,8.3,9.1
,"2021","2021","Renal failure","N17-N19","55-59 years","55-59",2810,21567314,13.0,12.5,13.5
,"2021","2021","Renal failure","N17-N19","60-64 years ","60-64",3958,21235750,18.6,18.1,19.2
,"2021","2021","Renal failure","N17-N19","65-69 years","65-69",4673,18394320,25.4,24.7,26.1
,"2021","2021","Renal failure","N17-N19","70-74 years","70-74",5104,15271802,33.4,32.5,34.3
,"2021","2021","Renal failure","N17-N19","75-79 years","75-79",4904,9904769,49.5,48.1,50.9
,"2021","2021","Renal failure","N17-N19","80-84 years","80-84",4137,6301306,65.7,63.7,67.7
,"2021","2021","Renal failure","N17-N19","85-89 years","85-89",3185,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","90-94 years","90-94",1906,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","95-99 years","95-99",693,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2021","2021","Renal failure","N17-N19","100+ years","100+",94,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2021","2021","Renal failure","N17-N19",,,36293,331893745,10.9,10.8,11.0
"Total","2021","2021",,,,,72035,331893745,21.7,21.5,21.9
,"2022","2022","Other bacterial diseases","A30-A49","< 1 year","1",19,3683113,0.5,0.3,0.8
,"2022","2022","Other bacterial diseases","A30-A49","1-4 years","1-4",12,14855240,0.1,0.0,0.1
,"2022","2022","Other bacterial diseases","A30-A49","15-19 years","15-19",29,21635792,0.1,0.1,0.2
,"2022","2022","Other bacterial diseases","A30-A49","20-24 years","20-24",65,22705779,0.3,0.2,0.4
,"2022","2022","Other bacterial diseases","A30-A49","25-29 years","25-29",135,22193164,0.6,0.5,0.7
,"2022","2022","Other bacterial diseases","A30-A49","30-34 years","30-34",317,23308136,1.4,1.2,1.5
,"2022","2022","Other bacterial diseases","A30-A49","35-39 years","35-39",479,22267949,2.2,2.0,2.3
,"2022","2022","Other bacterial diseases","A30-A49","40-44 years","40-44",657,21427416,3.1,2.8,3.3
,"2022","2022","Other bacterial diseases","A30-A49","45-49 years","45-49",1010,19624098,5.1,4.8,5.5
,"2022","2022","Other bacterial diseases","A30-A49","50-54 years","50-54",1621,20807547,7.8,7.4,8.2
,"2022","2022","Other bacterial diseases","A30-A49","55-59 years","55-59",2544,20967014,12.1,11.7,12.6
,"2022","2022","Other bacterial diseases","A30-A49","60-64 years ","60-64",3869,21118423,18.3,17.7,18.9
,"2022","2022","Other bacterial diseases","A30-A49","65-69 years","65-69",4855,18631422,26.1,25.3,26.8
,"2022","2022","Other bacterial diseases","A30-A49","70-74 years","70-74",5700,15157017,37.6,36.6,38.6
,"2022","2022","Other bacterial diseases","A30-A49","75-79 years","75-79",5925,10861000,54.6,53.2,55.9
,"2022","2022","Other bacterial diseases","A30-A49","80-84 years","80-84",4967,6659545,74.6,72.5,76.7
,"2022","2022","Other bacterial diseases","A30-A49","85-89 years","85-89",4144,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","90-94 years","90-94",2502,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","95-99 years","95-99",881,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Other bacterial diseases","A30-A49","100+ years","100+",141,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","Other bacterial diseases","A30-A49",,,39888,333287557,12.0,11.9,12.1
,"2022","2022","Renal failure","N17-N19","< 1 year","1",19,3683113,0.5,0.3,0.8
,"2022","2022","Renal failure","N17-N19","1-4 years","1-4",12,14855240,0.1,0.0,0.1
,"2022","2022","Renal failure","N17-N19","15-19 years","15-19",31,21635792,0.1,0.1,0.2
,"2022","2022","Renal failure","N17-N19","20-24 years","20-24",66,22705779,0.3,0.2,0.4
,"2022","2022","Renal failure","N17-N19","25-29 years","25-29",137,22193164,0.6,0.5,0.7
,"2022","2022","Renal failure","N17-N19","30-34 years","30-34",321,23308136,1.4,1.2,1.5
,"2022","2022","Renal failure","N17-N19","35-39 years","35-39",487,22267949,2.2,2.0,2.4
