"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"2018","2018","Other bacterial diseases","A30-A49","American Indian or Alaska Native","1002-5",169,4147521,4.1,3.5,4.7,5.1,4.3,6.0
,"2018","2018","Other bacterial diseases","A30-A49","Asian","A",577,19330600,3.0,2.7,3.2,3.1,2.9,3.4
,"2018","2018","Other bacterial diseases","A30-A49","Black or African American","2054-5",2414,43804319,5.5,5.3,5.7,6.0,5.8,6.3
,"2018","2018","Other bacterial diseases","A30-A49","Native Hawaiian or Other Pacific Islander","NHOPI",30,799418,3.8,2.5,5.4,4.9,3.2,7.2
,"2018","2018","Other bacterial diseases","A30-A49","White","2106-3",15103,250139096,6.0,5.9,6.1,4.6,4.5,4.7
,"2018","2018","Other bacterial diseases","A30-A49","More than one race","M",79,8946480,0.9,0.7,1.1,1.8,1.4,2.3
"Total","2018","2018","Other bacterial diseases","A30-A49",,,18372,327167434,5.6,5.5,5.7,4.6,4.6,4.7
,"2018","2018","Renal failure","N17-N19","American Indian or Alaska Native","1002-5",171,4147521,4.1,3.5,4.7,5.1,4.4,6.0
,"2018","2018","Renal failure","N17-N19","Asian","A",588,19330600,3.0,2.8,3.3,3.2,3.0,3.5
,"2018","2018","Renal failure","N17-N19","Black or African American","2054-5",2450,43804319,5.6,5.4,5.8,6.1,5.9,6.4
,"2018","2018","Renal failure","N17-N19","Native Hawaiian or Other Pacific Islander","NHOPI",30,799418,3.8,2.5,5.4,4.9,3.2,7.2
,"2018","2018","Renal failure","N17-N19","White","2106-3",15343,250139096,6.1,6.0,6.2,4.6,4.6,4.7
,"2018","2018","Renal failure","N17-N19","More than one race","M",80,8946480,0.9,0.7,1.1,1.9,1.5,2.4
"Total","2018","2018","Renal failure","N17-N19",,,18662,327167434,5.7,5.6,5.8,4.7,4.6,4.8
"Total","2018","2018",,,,,37034,327167434,11.3,11.2,11.4,9.3,9.2,9.4
