"period","place_group","total_deaths","dataset"
"Pre-pandemic (2010–2019)","Medical Facility",470115,"AKI"
"Pre-pandemic (2010–2019)","Non-medical facility",139781,"AKI"
"Pandemic (2020–2022)","Medical Facility",267502,"AKI"
"Pandemic (2020–2022)","Non-medical facility",58719,"AKI"
"Transition (2023)","Medical Facility",92367,"AKI"
"Transition (2023)","Non-medical facility",20320,"AKI"
"Post-pandemic (2024–2025)","Medical Facility",177689,"AKI"
"Post-pandemic (2024–2025)","Non-medical facility",40516,"AKI"
"Pre-pandemic (2010–2019)","Medical Facility",157870,"AKI & Sepsis"
"Pre-pandemic (2010–2019)","Non-medical facility",13598,"AKI & Sepsis"
"Pandemic (2020–2022)","Medical Facility",93033,"AKI & Sepsis"
"Pandemic (2020–2022)","Non-medical facility",7053,"AKI & Sepsis"
"Transition (2023)","Medical Facility",33737,"AKI & Sepsis"
"Transition (2023)","Non-medical facility",2703,"AKI & Sepsis"
"Post-pandemic (2024–2025)","Medical Facility",64490,"AKI & Sepsis"
"Post-pandemic (2024–2025)","Non-medical facility",5632,"AKI & Sepsis"
"Pre-pandemic (2010–2019)","Medical Facility",1542156,"Sepsis"
"Pre-pandemic (2010–2019)","Non-medical facility",285832,"Sepsis"
"Pandemic (2020–2022)","Medical Facility",628216,"Sepsis"
"Pandemic (2020–2022)","Non-medical facility",110072,"Sepsis"
"Transition (2023)","Medical Facility",188630,"Sepsis"
"Transition (2023)","Non-medical facility",34433,"Sepsis"
"Post-pandemic (2024–2025)","Medical Facility",368488,"Sepsis"
"Post-pandemic (2024–2025)","Non-medical facility",68631,"Sepsis"
