"Notes","Year","Year Code","Place of Death","Place of Death Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2010","2010","Medical Facility - Inpatient","1","Other bacterial diseases","A30-A49",14104,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Medical Facility - Inpatient","1","Renal failure","N17-N19",14165,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Medical Facility - Outpatient or ER","2","Other bacterial diseases","A30-A49",310,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Medical Facility - Outpatient or ER","2","Renal failure","N17-N19",310,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Decedent's home","4","Other bacterial diseases","A30-A49",174,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Decedent's home","4","Renal failure","N17-N19",174,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Hospice facility","5","Other bacterial diseases","A30-A49",271,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Hospice facility","5","Renal failure","N17-N19",273,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Nursing home/long term care","6","Other bacterial diseases","A30-A49",512,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Nursing home/long term care","6","Renal failure","N17-N19",514,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Other","7","Other bacterial diseases","A30-A49",122,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Other","7","Renal failure","N17-N19",123,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Place of death unknown","9","Other bacterial diseases","A30-A49",15,Not Applicable,Not Applicable,Not Applicable
,"2010","2010","Place of death unknown","9","Renal failure","N17-N19",15,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Medical Facility - Inpatient","1","Other bacterial diseases","A30-A49",14479,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Medical Facility - Inpatient","1","Renal failure","N17-N19",14567,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Medical Facility - Outpatient or ER","2","Other bacterial diseases","A30-A49",289,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Medical Facility - Outpatient or ER","2","Renal failure","N17-N19",290,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Decedent's home","4","Other bacterial diseases","A30-A49",221,Not Applicable,Not Applicable,Not Applicable
,"2011","2011","Decedent's home","4","Renal failure","N17-N19",223,Not Applicable,Not Applicable,Not Applicable
