"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2018","2018","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",16262,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",383,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Decedent's home","4",346,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Hospice facility","5",706,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Nursing home/long term care","6",565,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Other bacterial diseases","A30-A49","Other","7",98,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Medical Facility - Inpatient","1",16534,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",388,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Decedent's home","4",349,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Hospice facility","5",713,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Nursing home/long term care","6",567,Not Applicable,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","Other","7",99,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",15664,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",366,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Decedent's home","4",350,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Hospice facility","5",672,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Nursing home/long term care","6",499,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Other bacterial diseases","A30-A49","Other","7",95,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Medical Facility - Inpatient","1",15899,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Medical Facility - Outpatient or ER","2",367,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Decedent's home","4",353,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Hospice facility","5",684,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Nursing home/long term care","6",508,Not Applicable,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","Other","7",95,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Medical Facility - Inpatient","1",21051,Not Applicable,Not Applicable,Not Applicable
,"2020","2020","Other bacterial diseases","A30-A49","Medical Facility - Outpatient or ER","2",492,Not Applicable,Not Applicable,Not Applicable
