"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Other bacterial diseases","A30-A49",2130,3574097,59.6,48.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010",,,2130,3574097,59.6,48.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Other bacterial diseases","A30-A49",2230,3580709,62.3,50.1
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011",,,2230,3580709,62.3,50.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Other bacterial diseases","A30-A49",2131,3590347,59.4,47.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012",,,2131,3590347,59.4,47.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Other bacterial diseases","A30-A49",2187,3596080,60.8,48.0
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013",,,2187,3596080,60.8,48.0
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Other bacterial diseases","A30-A49",2309,3596677,64.2,50.2
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014",,,2309,3596677,64.2,50.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Other bacterial diseases","A30-A49",2391,3590886,66.6,51.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015",,,2391,3590886,66.6,51.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016","Other bacterial diseases","A30-A49",2370,3576452,66.3,50.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016",,,2370,3576452,66.3,50.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017","Other bacterial diseases","A30-A49",2447,3588184,68.2,50.5
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017",,,2447,3588184,68.2,50.5
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09",,,,,18195,28693432,63.4,49.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010","Other bacterial diseases","A30-A49",625,1328361,47.1,36.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010",,,625,1328361,47.1,36.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011","Other bacterial diseases","A30-A49",597,1328188,44.9,34.2
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011",,,597,1328188,44.9,34.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012","Other bacterial diseases","A30-A49",615,1329192,46.3,34.6
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012",,,615,1329192,46.3,34.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2013","2013","Other bacterial diseases","A30-A49",680,1328302,51.2,37.0
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2013","2013",,,680,1328302,51.2,37.0
,"Census Region 1: Northeast","CENS-R1","Maine","23","2014","2014","Other bacterial diseases","A30-A49",720,1330089,54.1,38.7
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2014","2014",,,720,1330089,54.1,38.7
,"Census Region 1: Northeast","CENS-R1","Maine","23","2015","2015","Other bacterial diseases","A30-A49",733,1329328,55.1,39.3
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2015","2015",,,733,1329328,55.1,39.3
,"Census Region 1: Northeast","CENS-R1","Maine","23","2016","2016","Other bacterial diseases","A30-A49",742,1331479,55.7,38.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2016","2016",,,742,1331479,55.7,38.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2017","2017","Other bacterial diseases","A30-A49",714,1335907,53.4,36.7
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2017","2017",,,714,1335907,53.4,36.7
"Total","Census Region 1: Northeast","CENS-R1","Maine","23",,,,,5426,10640846,51.0,37.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2010","2010","Other bacterial diseases","A30-A49",3398,6547629,51.9,44.2
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2010","2010",,,3398,6547629,51.9,44.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2011","2011","Other bacterial diseases","A30-A49",3425,6587536,52.0,43.5
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2011","2011",,,3425,6587536,52.0,43.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012","Other bacterial diseases","A30-A49",3324,6646144,50.0,41.6
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012",,,3324,6646144,50.0,41.6
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013","Other bacterial diseases","A30-A49",3650,6692824,54.5,44.7
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013",,,3650,6692824,54.5,44.7
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014","Other bacterial diseases","A30-A49",3916,6745408,58.1,47.1
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014",,,3916,6745408,58.1,47.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Other bacterial diseases","A30-A49",4245,6794422,62.5,50.4
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015",,,4245,6794422,62.5,50.4
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Other bacterial diseases","A30-A49",4112,6811779,60.4,48.3
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016",,,4112,6811779,60.4,48.3
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Other bacterial diseases","A30-A49",4081,6859819,59.5,46.8
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017",,,4081,6859819,59.5,46.8
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25",,,,,30151,53685561,56.2,45.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Other bacterial diseases","A30-A49",527,1316470,40.0,36.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010",,,527,1316470,40.0,36.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Other bacterial diseases","A30-A49",558,1318194,42.3,36.4
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011",,,558,1318194,42.3,36.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Other bacterial diseases","A30-A49",541,1320718,41.0,34.3
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012",,,541,1320718,41.0,34.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Other bacterial diseases","A30-A49",567,1323459,42.8,35.0
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013",,,567,1323459,42.8,35.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014","Other bacterial diseases","A30-A49",647,1326813,48.8,38.9
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2014","2014",,,647,1326813,48.8,38.9
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015","Other bacterial diseases","A30-A49",634,1330608,47.6,37.6
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2015","2015",,,634,1330608,47.6,37.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016","Other bacterial diseases","A30-A49",684,1334795,51.2,39.5
"Total","Census Region 1: Northeast","CENS-R1","New Hampshire","33","2016","2016",,,684,1334795,51.2,39.5
