"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018","Other bacterial diseases","A30-A49",2528,3572665,70.8,68.0,73.5,51.5,49.5,53.6
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018",,,2528,3572665,70.8,68.0,73.5,51.5,49.5,53.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019","Other bacterial diseases","A30-A49",2560,3565287,71.8,69.0,74.6,51.6,49.6,53.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019",,,2560,3565287,71.8,69.0,74.6,51.6,49.6,53.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Other bacterial diseases","A30-A49",2744,3557006,77.1,74.3,80.0,55.3,53.2,57.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020",,,2744,3557006,77.1,74.3,80.0,55.3,53.2,57.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Other bacterial diseases","A30-A49",2602,3605597,72.2,69.4,74.9,53.9,51.8,56.1
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021",,,2602,3605597,72.2,69.4,74.9,53.9,51.8,56.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Other bacterial diseases","A30-A49",2362,3626205,65.1,62.5,67.8,47.7,45.8,49.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022",,,2362,3626205,65.1,62.5,67.8,47.7,45.8,49.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Other bacterial diseases","A30-A49",2159,3617176,59.7,57.2,62.2,42.9,41.1,44.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023",,,2159,3617176,59.7,57.2,62.2,42.9,41.1,44.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2024","2024","Other bacterial diseases","A30-A49",1867,3675069,50.8,48.5,53.1,35.9,34.3,37.6
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2024","2024",,,1867,3675069,50.8,48.5,53.1,35.9,34.3,37.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1931,3675069,52.5,50.2,54.9,37.1,35.4,38.8
