"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Renal failure","N17-N19",673,3574097,18.8,15.2
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010",,,673,3574097,18.8,15.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Renal failure","N17-N19",748,3580709,20.9,16.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011",,,748,3580709,20.9,16.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Renal failure","N17-N19",621,3590347,17.3,13.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012",,,621,3590347,17.3,13.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Renal failure","N17-N19",602,3596080,16.7,13.1
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013",,,602,3596080,16.7,13.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Renal failure","N17-N19",513,3596677,14.3,10.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014",,,513,3596677,14.3,10.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Renal failure","N17-N19",520,3590886,14.5,10.9
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015",,,520,3590886,14.5,10.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016","Renal failure","N17-N19",500,3576452,14.0,10.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016",,,500,3576452,14.0,10.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017","Renal failure","N17-N19",507,3588184,14.1,10.2
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017",,,507,3588184,14.1,10.2
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09",,,,,4684,28693432,16.3,12.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010","Renal failure","N17-N19",303,1328361,22.8,17.6
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010",,,303,1328361,22.8,17.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011","Renal failure","N17-N19",242,1328188,18.2,13.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011",,,242,1328188,18.2,13.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012","Renal failure","N17-N19",260,1329192,19.6,14.3
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012",,,260,1329192,19.6,14.3
,"Census Region 1: Northeast","CENS-R1","Maine","23","2013","2013","Renal failure","N17-N19",278,1328302,20.9,15.0
