"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018","Renal failure","N17-N19",519,3572665,14.5,10.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019","Renal failure","N17-N19",480,3565287,13.5,9.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Renal failure","N17-N19",631,3557006,17.7,12.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Renal failure","N17-N19",799,3605597,22.2,16.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Renal failure","N17-N19",1266,3626205,34.9,25.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Renal failure","N17-N19",1005,3617176,27.8,20.0
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2024 (provisional)","2024","Renal failure","N17-N19",1016,3675069,27.6,19.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional and partial)","2025","Renal failure","N17-N19",887,3675069,24.1,17.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026","Renal failure","N17-N19",61,3675069,1.7,1.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018","Renal failure","N17-N19",324,1338404,24.2,15.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019","Renal failure","N17-N19",291,1344212,21.6,13.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020","Renal failure","N17-N19",293,1350141,21.7,14.1
,"Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021","Renal failure","N17-N19",322,1372247,23.5,16.4
,"Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022","Renal failure","N17-N19",340,1385340,24.5,15.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023","Renal failure","N17-N19",308,1395722,22.1,14.1
,"Census Region 1: Northeast","CENS-R1","Maine","23","2024 (provisional)","2024","Renal failure","N17-N19",295,1405012,21.0,13.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional and partial)","2025","Renal failure","N17-N19",259,1405012,18.4,11.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2026 (provisional and partial)","2026","Renal failure","N17-N19",20,1405012,1.4,0.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018","Renal failure","N17-N19",1198,6902149,17.4,13.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019","Renal failure","N17-N19",1197,6892503,17.4,13.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020","Renal failure","N17-N19",1639,6893574,23.8,17.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2021","2021","Renal failure","N17-N19",1935,6984723,27.7,21.6
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2022","2022","Renal failure","N17-N19",2499,6981974,35.8,26.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2023","2023","Renal failure","N17-N19",2366,7001399,33.8,25.4
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2024 (provisional)","2024","Renal failure","N17-N19",2328,7136171,32.6,24.4
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2025 (provisional and partial)","2025","Renal failure","N17-N19",2217,7136171,31.1,23.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2026 (provisional and partial)","2026","Renal failure","N17-N19",155,7136171,2.2,1.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2018","2018","Renal failure","N17-N19",254,1356458,18.7,14.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2019","2019","Renal failure","N17-N19",246,1359711,18.1,13.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2020","2020","Renal failure","N17-N19",280,1366275,20.5,15.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2021","2021","Renal failure","N17-N19",390,1388992,28.1,21.0
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2022","2022","Renal failure","N17-N19",492,1395231,35.3,24.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2023","2023","Renal failure","N17-N19",451,1402054,32.2,22.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2024 (provisional)","2024","Renal failure","N17-N19",434,1409032,30.8,21.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2025 (provisional and partial)","2025","Renal failure","N17-N19",471,1409032,33.4,22.6
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2026 (provisional and partial)","2026","Renal failure","N17-N19",31,1409032,2.2,1.4
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2018","2018","Renal failure","N17-N19",161,1057315,15.2,10.9
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2019","2019","Renal failure","N17-N19",182,1059361,17.2,12.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2020","2020","Renal failure","N17-N19",228,1057125,21.6,15.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2021","2021","Renal failure","N17-N19",373,1095610,34.0,25.5
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2022","2022","Renal failure","N17-N19",349,1093734,31.9,23.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2023","2023","Renal failure","N17-N19",322,1095962,29.4,21.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2024 (provisional)","2024","Renal failure","N17-N19",284,1112308,25.5,18.1
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2025 (provisional and partial)","2025","Renal failure","N17-N19",300,1112308,27.0,19.3
,"Census Region 1: Northeast","CENS-R1","Rhode Island","44","2026 (provisional and partial)","2026","Renal failure","N17-N19",25,1112308,2.2,1.6
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2018","2018","Renal failure","N17-N19",120,626299,19.2,14.1
