"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Other bacterial diseases","A30-A49",168,3574097,4.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Renal failure","N17-N19",168,3574097,4.7
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010",,,336,3574097,9.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Other bacterial diseases","A30-A49",161,3580709,4.5
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Renal failure","N17-N19",162,3580709,4.5
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011",,,323,3580709,9.0
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Other bacterial diseases","A30-A49",134,3590347,3.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Renal failure","N17-N19",135,3590347,3.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012",,,269,3590347,7.5
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Other bacterial diseases","A30-A49",130,3596080,3.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Renal failure","N17-N19",130,3596080,3.6
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013",,,260,3596080,7.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Other bacterial diseases","A30-A49",122,3596677,3.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Renal failure","N17-N19",123,3596677,3.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014",,,245,3596677,6.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Other bacterial diseases","A30-A49",115,3590886,3.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Renal failure","N17-N19",116,3590886,3.2
