"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Other bacterial diseases","A30-A49",168,3574097,4.7,3.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2010","2010","Renal failure","N17-N19",168,3574097,4.7,3.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Other bacterial diseases","A30-A49",161,3580709,4.5,3.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2011","2011","Renal failure","N17-N19",162,3580709,4.5,3.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Other bacterial diseases","A30-A49",134,3590347,3.7,2.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2012","2012","Renal failure","N17-N19",135,3590347,3.8,2.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Other bacterial diseases","A30-A49",130,3596080,3.6,2.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2013","2013","Renal failure","N17-N19",130,3596080,3.6,2.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Other bacterial diseases","A30-A49",122,3596677,3.4,2.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2014","2014","Renal failure","N17-N19",123,3596677,3.4,2.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Other bacterial diseases","A30-A49",115,3590886,3.2,2.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2015","2015","Renal failure","N17-N19",116,3590886,3.2,2.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016","Other bacterial diseases","A30-A49",124,3576452,3.5,2.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2016","2016","Renal failure","N17-N19",125,3576452,3.5,2.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017","Other bacterial diseases","A30-A49",90,3588184,2.5,1.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2017","2017","Renal failure","N17-N19",90,3588184,2.5,1.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010","Other bacterial diseases","A30-A49",52,1328361,3.9,3.0
,"Census Region 1: Northeast","CENS-R1","Maine","23","2010","2010","Renal failure","N17-N19",52,1328361,3.9,3.0
,"Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011","Other bacterial diseases","A30-A49",43,1328188,3.2,2.4
,"Census Region 1: Northeast","CENS-R1","Maine","23","2011","2011","Renal failure","N17-N19",43,1328188,3.2,2.4
,"Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012","Other bacterial diseases","A30-A49",40,1329192,3.0,2.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2012","2012","Renal failure","N17-N19",40,1329192,3.0,2.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2013","2013","Other bacterial diseases","A30-A49",59,1328302,4.4,3.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2013","2013","Renal failure","N17-N19",60,1328302,4.5,3.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2014","2014","Other bacterial diseases","A30-A49",53,1330089,4.0,2.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2014","2014","Renal failure","N17-N19",53,1330089,4.0,2.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2015","2015","Other bacterial diseases","A30-A49",47,1329328,3.5,2.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2015","2015","Renal failure","N17-N19",47,1329328,3.5,2.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2016","2016","Other bacterial diseases","A30-A49",52,1331479,3.9,2.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2016","2016","Renal failure","N17-N19",53,1331479,4.0,2.9
,"Census Region 1: Northeast","CENS-R1","Maine","23","2017","2017","Other bacterial diseases","A30-A49",37,1335907,2.8,1.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2017","2017","Renal failure","N17-N19",37,1335907,2.8,1.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2010","2010","Other bacterial diseases","A30-A49",304,6547629,4.6,3.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2010","2010","Renal failure","N17-N19",305,6547629,4.7,3.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2011","2011","Other bacterial diseases","A30-A49",333,6587536,5.1,4.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2011","2011","Renal failure","N17-N19",335,6587536,5.1,4.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012","Other bacterial diseases","A30-A49",260,6646144,3.9,3.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2012","2012","Renal failure","N17-N19",261,6646144,3.9,3.2
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013","Other bacterial diseases","A30-A49",319,6692824,4.8,3.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2013","2013","Renal failure","N17-N19",319,6692824,4.8,3.9
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014","Other bacterial diseases","A30-A49",295,6745408,4.4,3.6
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2014","2014","Renal failure","N17-N19",296,6745408,4.4,3.6
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Other bacterial diseases","A30-A49",333,6794422,4.9,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2015","2015","Renal failure","N17-N19",334,6794422,4.9,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Other bacterial diseases","A30-A49",339,6811779,5.0,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2016","2016","Renal failure","N17-N19",341,6811779,5.0,4.0
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Other bacterial diseases","A30-A49",306,6859819,4.5,3.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2017","2017","Renal failure","N17-N19",307,6859819,4.5,3.5
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Other bacterial diseases","A30-A49",62,1316470,4.7,4.3
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2010","2010","Renal failure","N17-N19",64,1316470,4.9,4.4
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Other bacterial diseases","A30-A49",63,1318194,4.8,4.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2011","2011","Renal failure","N17-N19",63,1318194,4.8,4.1
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Other bacterial diseases","A30-A49",59,1320718,4.5,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2012","2012","Renal failure","N17-N19",59,1320718,4.5,3.8
,"Census Region 1: Northeast","CENS-R1","New Hampshire","33","2013","2013","Other bacterial diseases","A30-A49",61,1323459,4.6,3.8
