"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018","Other bacterial diseases","A30-A49",106,3572665,3.0,2.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018","Renal failure","N17-N19",107,3572665,3.0,2.1
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2018","2018",,,213,3572665,6.0,4.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019","Other bacterial diseases","A30-A49",120,3565287,3.4,2.4
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019","Renal failure","N17-N19",123,3565287,3.4,2.5
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2019","2019",,,243,3565287,6.8,4.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Other bacterial diseases","A30-A49",138,3557006,3.9,2.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Renal failure","N17-N19",138,3557006,3.9,2.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020",,,276,3557006,7.8,5.6
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Other bacterial diseases","A30-A49",194,3605597,5.4,4.0
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Renal failure","N17-N19",195,3605597,5.4,4.0
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021",,,389,3605597,10.8,8.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Other bacterial diseases","A30-A49",343,3626205,9.5,6.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Renal failure","N17-N19",348,3626205,9.6,7.0
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022",,,691,3626205,19.1,13.9
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Other bacterial diseases","A30-A49",267,3617176,7.4,5.3
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Renal failure","N17-N19",270,3617176,7.5,5.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023",,,537,3617176,14.8,10.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2024 (provisional)","2024","Other bacterial diseases","A30-A49",198,3675069,5.4,3.8
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2024 (provisional)","2024","Renal failure","N17-N19",199,3675069,5.4,3.8
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2024 (provisional)","2024",,,397,3675069,10.8,7.7
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",207,3675069,5.6,4.1
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional and partial)","2025","Renal failure","N17-N19",212,3675069,5.8,4.2
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2025 (provisional and partial)","2025",,,419,3675069,11.4,8.2
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",10,3675069,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026","Renal failure","N17-N19",10,3675069,Unreliable,Unreliable
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09","2026 (provisional and partial)","2026",,,20,3675069,0.5,0.4
"Total","Census Region 1: Northeast","CENS-R1","Connecticut","09",,,,,3185,32569143,9.8,7.1
,"Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018","Other bacterial diseases","A30-A49",56,1338404,4.2,2.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018","Renal failure","N17-N19",56,1338404,4.2,2.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2018","2018",,,112,1338404,8.4,5.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019","Other bacterial diseases","A30-A49",43,1344212,3.2,2.1
,"Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019","Renal failure","N17-N19",44,1344212,3.3,2.2
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2019","2019",,,87,1344212,6.5,4.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020","Other bacterial diseases","A30-A49",38,1350141,2.8,1.8
,"Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020","Renal failure","N17-N19",38,1350141,2.8,1.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2020","2020",,,76,1350141,5.6,3.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021","Other bacterial diseases","A30-A49",33,1372247,2.4,1.7
,"Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021","Renal failure","N17-N19",34,1372247,2.5,1.8
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2021","2021",,,67,1372247,4.9,3.6
,"Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022","Other bacterial diseases","A30-A49",24,1385340,1.7,1.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022","Renal failure","N17-N19",25,1385340,1.8,1.3
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2022","2022",,,49,1385340,3.5,2.5
,"Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023","Other bacterial diseases","A30-A49",25,1395722,1.8,1.2
,"Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023","Renal failure","N17-N19",25,1395722,1.8,1.2
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2023","2023",,,50,1395722,3.6,2.3
,"Census Region 1: Northeast","CENS-R1","Maine","23","2024 (provisional)","2024","Other bacterial diseases","A30-A49",23,1405012,1.6,1.1
,"Census Region 1: Northeast","CENS-R1","Maine","23","2024 (provisional)","2024","Renal failure","N17-N19",23,1405012,1.6,1.1
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2024 (provisional)","2024",,,46,1405012,3.3,2.3
,"Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional and partial)","2025","Other bacterial diseases","A30-A49",18,1405012,Unreliable,Unreliable
,"Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional and partial)","2025","Renal failure","N17-N19",18,1405012,Unreliable,Unreliable
"Total","Census Region 1: Northeast","CENS-R1","Maine","23","2025 (provisional and partial)","2025",,,36,1405012,2.6,1.6
"Total","Census Region 1: Northeast","CENS-R1","Maine","23",,,,,525,12401102,4.2,2.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018","Other bacterial diseases","A30-A49",336,6902149,4.9,3.8
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018","Renal failure","N17-N19",341,6902149,4.9,3.8
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2018","2018",,,677,6902149,9.8,7.6
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019","Other bacterial diseases","A30-A49",316,6892503,4.6,3.5
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019","Renal failure","N17-N19",318,6892503,4.6,3.6
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2019","2019",,,634,6892503,9.2,7.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020","Other bacterial diseases","A30-A49",376,6893574,5.5,4.1
,"Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020","Renal failure","N17-N19",380,6893574,5.5,4.1
"Total","Census Region 1: Northeast","CENS-R1","Massachusetts","25","2020","2020",,,756,6893574,11.0,8.2
