"Notes","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","25-34 years","25-34",49,608922,8.0
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","35-44 years","35-44",111,619501,17.9
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","45-54 years","45-54",252,693854,36.3
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","55-64 years","55-64",511,588033,86.9
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","65-74 years","65-74",662,370501,178.7
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","75-84 years","75-84",811,211607,383.3
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","85+ years","85+",596,75684,787.5
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","25-34 years","25-34",37,614507,6.0
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","35-44 years","35-44",81,608252,13.3
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","45-54 years","45-54",282,685148,41.2
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","55-64 years","55-64",551,610224,90.3
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","65-74 years","65-74",621,380180,163.3
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","75-84 years","75-84",813,214663,378.7
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","85+ years","85+",597,77743,767.9
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","25-34 years","25-34",46,617757,7.4
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","35-44 years","35-44",108,606667,17.8
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","45-54 years","45-54",263,673464,39.1
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","55-64 years","55-64",545,615408,88.6
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","65-74 years","65-74",713,402571,177.1
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","75-84 years","75-84",787,216705,363.2
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","85+ years","85+",649,80104,810.2
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","25-34 years","25-34",43,620984,6.9
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","35-44 years","35-44",110,607139,18.1
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","45-54 years","45-54",250,664435,37.6
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","55-64 years","55-64",630,622799,101.2
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","65-74 years","65-74",744,418704,177.7
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","75-84 years","75-84",823,220486,373.3
,"Alabama","01","2013","2013","Other bacterial diseases","A30-A49","85+ years","85+",608,81976,741.7
