"Notes","Residence State","Residence State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","25-34 years","25-34","Other bacterial diseases","A30-A49",52,643540,8.1
,"Alabama","01","2018","2018","35-44 years","35-44","Other bacterial diseases","A30-A49",128,592302,21.6
,"Alabama","01","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",321,627458,51.2
,"Alabama","01","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",689,655179,105.2
,"Alabama","01","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",985,487721,202.0
,"Alabama","01","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",1006,249308,403.5
,"Alabama","01","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",677,89865,753.4
,"Alabama","01","2019","2019","25-34 years","25-34","Other bacterial diseases","A30-A49",56,647229,8.7
,"Alabama","01","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",112,593306,18.9
,"Alabama","01","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",301,616616,48.8
,"Alabama","01","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",744,657667,113.1
,"Alabama","01","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",1057,501447,210.8
,"Alabama","01","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",978,256847,380.8
,"Alabama","01","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",627,91543,684.9
,"Alabama","01","2020","2020","25-34 years","25-34","Other bacterial diseases","A30-A49",60,650546,9.2
,"Alabama","01","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",151,596362,25.3
,"Alabama","01","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",407,608174,66.9
,"Alabama","01","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",913,657281,138.9
,"Alabama","01","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",1390,517717,268.5
,"Alabama","01","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",1250,263668,474.1
,"Alabama","01","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",773,92859,832.4
,"Alabama","01","2021","2021","25-34 years","25-34","Other bacterial diseases","A30-A49",76,656423,11.6
,"Alabama","01","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",216,621325,34.8
,"Alabama","01","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",507,622194,81.5
,"Alabama","01","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",1097,672373,163.2
