"Notes","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2010","2010","Renal failure","N17-N19","25-34 years","25-34",14,608922,Unreliable
,"Alabama","01","2010","2010","Renal failure","N17-N19","35-44 years","35-44",34,619501,5.5
,"Alabama","01","2010","2010","Renal failure","N17-N19","45-54 years","45-54",81,693854,11.7
,"Alabama","01","2010","2010","Renal failure","N17-N19","55-64 years","55-64",153,588033,26.0
,"Alabama","01","2010","2010","Renal failure","N17-N19","65-74 years","65-74",249,370501,67.2
,"Alabama","01","2010","2010","Renal failure","N17-N19","75-84 years","75-84",349,211607,164.9
,"Alabama","01","2010","2010","Renal failure","N17-N19","85+ years","85+",361,75684,477.0
,"Alabama","01","2011","2011","Renal failure","N17-N19","25-34 years","25-34",15,614507,Unreliable
,"Alabama","01","2011","2011","Renal failure","N17-N19","35-44 years","35-44",25,608252,4.1
,"Alabama","01","2011","2011","Renal failure","N17-N19","45-54 years","45-54",83,685148,12.1
,"Alabama","01","2011","2011","Renal failure","N17-N19","55-64 years","55-64",167,610224,27.4
,"Alabama","01","2011","2011","Renal failure","N17-N19","65-74 years","65-74",242,380180,63.7
,"Alabama","01","2011","2011","Renal failure","N17-N19","75-84 years","75-84",385,214663,179.4
,"Alabama","01","2011","2011","Renal failure","N17-N19","85+ years","85+",343,77743,441.2
,"Alabama","01","2012","2012","Renal failure","N17-N19","25-34 years","25-34",12,617757,Unreliable
,"Alabama","01","2012","2012","Renal failure","N17-N19","35-44 years","35-44",24,606667,4.0
,"Alabama","01","2012","2012","Renal failure","N17-N19","45-54 years","45-54",80,673464,11.9
,"Alabama","01","2012","2012","Renal failure","N17-N19","55-64 years","55-64",171,615408,27.8
,"Alabama","01","2012","2012","Renal failure","N17-N19","65-74 years","65-74",207,402571,51.4
,"Alabama","01","2012","2012","Renal failure","N17-N19","75-84 years","75-84",365,216705,168.4
,"Alabama","01","2012","2012","Renal failure","N17-N19","85+ years","85+",314,80104,392.0
,"Alabama","01","2013","2013","Renal failure","N17-N19","35-44 years","35-44",25,607139,4.1
,"Alabama","01","2013","2013","Renal failure","N17-N19","45-54 years","45-54",68,664435,10.2
,"Alabama","01","2013","2013","Renal failure","N17-N19","55-64 years","55-64",158,622799,25.4
,"Alabama","01","2013","2013","Renal failure","N17-N19","65-74 years","65-74",248,418704,59.2
,"Alabama","01","2013","2013","Renal failure","N17-N19","75-84 years","75-84",329,220486,149.2
,"Alabama","01","2013","2013","Renal failure","N17-N19","85+ years","85+",292,81976,356.2
,"Alabama","01","2014","2014","Renal failure","N17-N19","25-34 years","25-34",10,626387,Unreliable
,"Alabama","01","2014","2014","Renal failure","N17-N19","35-44 years","35-44",23,605590,3.8
,"Alabama","01","2014","2014","Renal failure","N17-N19","45-54 years","45-54",61,656585,9.3
,"Alabama","01","2014","2014","Renal failure","N17-N19","55-64 years","55-64",159,629476,25.3
,"Alabama","01","2014","2014","Renal failure","N17-N19","65-74 years","65-74",199,435428,45.7
,"Alabama","01","2014","2014","Renal failure","N17-N19","75-84 years","75-84",252,224937,112.0
,"Alabama","01","2014","2014","Renal failure","N17-N19","85+ years","85+",228,83567,272.8
,"Alabama","01","2015","2015","Renal failure","N17-N19","35-44 years","35-44",17,602496,Unreliable
,"Alabama","01","2015","2015","Renal failure","N17-N19","45-54 years","45-54",52,649442,8.0
,"Alabama","01","2015","2015","Renal failure","N17-N19","55-64 years","55-64",159,637997,24.9
,"Alabama","01","2015","2015","Renal failure","N17-N19","65-74 years","65-74",226,450273,50.2
,"Alabama","01","2015","2015","Renal failure","N17-N19","75-84 years","75-84",266,228450,116.4
,"Alabama","01","2015","2015","Renal failure","N17-N19","85+ years","85+",234,85439,273.9
,"Alabama","01","2016","2016","Renal failure","N17-N19","25-34 years","25-34",11,637487,Unreliable
,"Alabama","01","2016","2016","Renal failure","N17-N19","35-44 years","35-44",28,595713,4.7
,"Alabama","01","2016","2016","Renal failure","N17-N19","45-54 years","45-54",55,644018,8.5
,"Alabama","01","2016","2016","Renal failure","N17-N19","55-64 years","55-64",139,645092,21.5
,"Alabama","01","2016","2016","Renal failure","N17-N19","65-74 years","65-74",219,464669,47.1
,"Alabama","01","2016","2016","Renal failure","N17-N19","75-84 years","75-84",233,233129,99.9
,"Alabama","01","2016","2016","Renal failure","N17-N19","85+ years","85+",202,86753,232.8
,"Alabama","01","2017","2017","Renal failure","N17-N19","35-44 years","35-44",25,591795,4.2
,"Alabama","01","2017","2017","Renal failure","N17-N19","45-54 years","45-54",49,636632,7.7
,"Alabama","01","2017","2017","Renal failure","N17-N19","55-64 years","55-64",147,650545,22.6
,"Alabama","01","2017","2017","Renal failure","N17-N19","65-74 years","65-74",231,477332,48.4
,"Alabama","01","2017","2017","Renal failure","N17-N19","75-84 years","75-84",230,238260,96.5
,"Alabama","01","2017","2017","Renal failure","N17-N19","85+ years","85+",203,88179,230.2
,"Alaska","02","2010","2010","Renal failure","N17-N19","65-74 years","65-74",13,35350,Unreliable
,"Alaska","02","2010","2010","Renal failure","N17-N19","75-84 years","75-84",17,14877,Unreliable
,"Alaska","02","2010","2010","Renal failure","N17-N19","85+ years","85+",13,4711,Unreliable
,"Alaska","02","2011","2011","Renal failure","N17-N19","75-84 years","75-84",19,15417,Unreliable
,"Alaska","02","2011","2011","Renal failure","N17-N19","85+ years","85+",14,5094,Unreliable
,"Alaska","02","2012","2012","Renal failure","N17-N19","45-54 years","45-54",10,106266,Unreliable
,"Alaska","02","2012","2012","Renal failure","N17-N19","55-64 years","55-64",16,92816,Unreliable
,"Alaska","02","2012","2012","Renal failure","N17-N19","65-74 years","65-74",12,41000,Unreliable
,"Alaska","02","2012","2012","Renal failure","N17-N19","75-84 years","75-84",15,16124,Unreliable
,"Alaska","02","2012","2012","Renal failure","N17-N19","85+ years","85+",13,5373,Unreliable
,"Alaska","02","2013","2013","Renal failure","N17-N19","55-64 years","55-64",15,92820,Unreliable
,"Alaska","02","2013","2013","Renal failure","N17-N19","65-74 years","65-74",16,43810,Unreliable
,"Alaska","02","2013","2013","Renal failure","N17-N19","75-84 years","75-84",15,16590,Unreliable
,"Alaska","02","2013","2013","Renal failure","N17-N19","85+ years","85+",17,5689,Unreliable
,"Alaska","02","2014","2014","Renal failure","N17-N19","55-64 years","55-64",11,93050,Unreliable
,"Alaska","02","2014","2014","Renal failure","N17-N19","75-84 years","75-84",23,16876,136.3
,"Alaska","02","2014","2014","Renal failure","N17-N19","85+ years","85+",21,5931,354.1
,"Alaska","02","2015","2015","Renal failure","N17-N19","65-74 years","65-74",17,49155,Unreliable
,"Alaska","02","2015","2015","Renal failure","N17-N19","75-84 years","75-84",16,17545,Unreliable
,"Alaska","02","2015","2015","Renal failure","N17-N19","85+ years","85+",16,6137,Unreliable
,"Alaska","02","2016","2016","Renal failure","N17-N19","55-64 years","55-64",14,95322,Unreliable
,"Alaska","02","2016","2016","Renal failure","N17-N19","65-74 years","65-74",12,52387,Unreliable
,"Alaska","02","2016","2016","Renal failure","N17-N19","75-84 years","75-84",21,18399,114.1
,"Alaska","02","2016","2016","Renal failure","N17-N19","85+ years","85+",12,6420,Unreliable
,"Alaska","02","2017","2017","Renal failure","N17-N19","55-64 years","55-64",15,95366,Unreliable
,"Alaska","02","2017","2017","Renal failure","N17-N19","65-74 years","65-74",18,55904,Unreliable
,"Alaska","02","2017","2017","Renal failure","N17-N19","75-84 years","75-84",15,20122,Unreliable
,"Alaska","02","2017","2017","Renal failure","N17-N19","85+ years","85+",10,6554,Unreliable
,"Arizona","04","2010","2010","Renal failure","N17-N19","25-34 years","25-34",11,856693,Unreliable
,"Arizona","04","2010","2010","Renal failure","N17-N19","35-44 years","35-44",23,822494,2.8
,"Arizona","04","2010","2010","Renal failure","N17-N19","45-54 years","45-54",50,842546,5.9
,"Arizona","04","2010","2010","Renal failure","N17-N19","55-64 years","55-64",139,726228,19.1
,"Arizona","04","2010","2010","Renal failure","N17-N19","65-74 years","65-74",169,497892,33.9
,"Arizona","04","2010","2010","Renal failure","N17-N19","75-84 years","75-84",292,280539,104.1
,"Arizona","04","2010","2010","Renal failure","N17-N19","85+ years","85+",270,103400,261.1
,"Arizona","04","2011","2011","Renal failure","N17-N19","35-44 years","35-44",17,821696,Unreliable
,"Arizona","04","2011","2011","Renal failure","N17-N19","45-54 years","45-54",58,842402,6.9
,"Arizona","04","2011","2011","Renal failure","N17-N19","55-64 years","55-64",111,756230,14.7
,"Arizona","04","2011","2011","Renal failure","N17-N19","65-74 years","65-74",229,521580,43.9
,"Arizona","04","2011","2011","Renal failure","N17-N19","75-84 years","75-84",328,290015,113.1
,"Arizona","04","2011","2011","Renal failure","N17-N19","85+ years","85+",350,110240,317.5
,"Arizona","04","2012","2012","Renal failure","N17-N19","35-44 years","35-44",24,826174,2.9
,"Arizona","04","2012","2012","Renal failure","N17-N19","45-54 years","45-54",63,839039,7.5
,"Arizona","04","2012","2012","Renal failure","N17-N19","55-64 years","55-64",127,764833,16.6
,"Arizona","04","2012","2012","Renal failure","N17-N19","65-74 years","65-74",200,558589,35.8
,"Arizona","04","2012","2012","Renal failure","N17-N19","75-84 years","75-84",289,298519,96.8
,"Arizona","04","2012","2012","Renal failure","N17-N19","85+ years","85+",282,114425,246.4
,"Arizona","04","2013","2013","Renal failure","N17-N19","25-34 years","25-34",10,881828,Unreliable
,"Arizona","04","2013","2013","Renal failure","N17-N19","35-44 years","35-44",29,829775,3.5
,"Arizona","04","2013","2013","Renal failure","N17-N19","45-54 years","45-54",84,836217,10.0
,"Arizona","04","2013","2013","Renal failure","N17-N19","55-64 years","55-64",140,776850,18.0
,"Arizona","04","2013","2013","Renal failure","N17-N19","65-74 years","65-74",209,590110,35.4
,"Arizona","04","2013","2013","Renal failure","N17-N19","75-84 years","75-84",310,309542,100.1
,"Arizona","04","2013","2013","Renal failure","N17-N19","85+ years","85+",275,119210,230.7
,"Arizona","04","2014","2014","Renal failure","N17-N19","35-44 years","35-44",30,836593,3.6
,"Arizona","04","2014","2014","Renal failure","N17-N19","45-54 years","45-54",79,839503,9.4
,"Arizona","04","2014","2014","Renal failure","N17-N19","55-64 years","55-64",162,793914,20.4
,"Arizona","04","2014","2014","Renal failure","N17-N19","65-74 years","65-74",239,622486,38.4
,"Arizona","04","2014","2014","Renal failure","N17-N19","75-84 years","75-84",285,322959,88.2
,"Arizona","04","2014","2014","Renal failure","N17-N19","85+ years","85+",262,124772,210.0
,"Arizona","04","2015","2015","Renal failure","N17-N19","35-44 years","35-44",33,841613,3.9
,"Arizona","04","2015","2015","Renal failure","N17-N19","45-54 years","45-54",95,843768,11.3
,"Arizona","04","2015","2015","Renal failure","N17-N19","55-64 years","55-64",153,813701,18.8
,"Arizona","04","2015","2015","Renal failure","N17-N19","65-74 years","65-74",274,653014,42.0
,"Arizona","04","2015","2015","Renal failure","N17-N19","75-84 years","75-84",311,336251,92.5
,"Arizona","04","2015","2015","Renal failure","N17-N19","85+ years","85+",312,130789,238.6
,"Arizona","04","2016","2016","Renal failure","N17-N19","25-34 years","25-34",14,933128,Unreliable
,"Arizona","04","2016","2016","Renal failure","N17-N19","35-44 years","35-44",31,845220,3.7
,"Arizona","04","2016","2016","Renal failure","N17-N19","45-54 years","45-54",87,846897,10.3
,"Arizona","04","2016","2016","Renal failure","N17-N19","55-64 years","55-64",190,831142,22.9
,"Arizona","04","2016","2016","Renal failure","N17-N19","65-74 years","65-74",288,682820,42.2
,"Arizona","04","2016","2016","Renal failure","N17-N19","75-84 years","75-84",308,351270,87.7
,"Arizona","04","2016","2016","Renal failure","N17-N19","85+ years","85+",300,136834,219.2
,"Arizona","04","2017","2017","Renal failure","N17-N19","25-34 years","25-34",17,955894,Unreliable
,"Arizona","04","2017","2017","Renal failure","N17-N19","35-44 years","35-44",38,858680,4.4
