"Notes","Residence State","Residence State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","25-34 years","25-34","Renal failure","N17-N19",12,643540,Unreliable
,"Alabama","01","2018","2018","35-44 years","35-44","Renal failure","N17-N19",18,592302,Unreliable
,"Alabama","01","2018","2018","45-54 years","45-54","Renal failure","N17-N19",77,627458,12.3
,"Alabama","01","2018","2018","55-64 years","55-64","Renal failure","N17-N19",122,655179,18.6
,"Alabama","01","2018","2018","65-74 years","65-74","Renal failure","N17-N19",252,487721,51.7
,"Alabama","01","2018","2018","75-84 years","75-84","Renal failure","N17-N19",241,249308,96.7
,"Alabama","01","2018","2018","85+ years","85+","Renal failure","N17-N19",181,89865,201.4
,"Alabama","01","2019","2019","25-34 years","25-34","Renal failure","N17-N19",14,647229,Unreliable
,"Alabama","01","2019","2019","35-44 years","35-44","Renal failure","N17-N19",24,593306,4.0
,"Alabama","01","2019","2019","45-54 years","45-54","Renal failure","N17-N19",68,616616,11.0
,"Alabama","01","2019","2019","55-64 years","55-64","Renal failure","N17-N19",149,657667,22.7
,"Alabama","01","2019","2019","65-74 years","65-74","Renal failure","N17-N19",233,501447,46.5
,"Alabama","01","2019","2019","75-84 years","75-84","Renal failure","N17-N19",222,256847,86.4
,"Alabama","01","2019","2019","85+ years","85+","Renal failure","N17-N19",165,91543,180.2
,"Alabama","01","2020","2020","25-34 years","25-34","Renal failure","N17-N19",19,650546,Unreliable
,"Alabama","01","2020","2020","35-44 years","35-44","Renal failure","N17-N19",39,596362,6.5
,"Alabama","01","2020","2020","45-54 years","45-54","Renal failure","N17-N19",88,608174,14.5
,"Alabama","01","2020","2020","55-64 years","55-64","Renal failure","N17-N19",204,657281,31.0
,"Alabama","01","2020","2020","65-74 years","65-74","Renal failure","N17-N19",375,517717,72.4
,"Alabama","01","2020","2020","75-84 years","75-84","Renal failure","N17-N19",320,263668,121.4
,"Alabama","01","2020","2020","85+ years","85+","Renal failure","N17-N19",196,92859,211.1
,"Alabama","01","2021","2021","25-34 years","25-34","Renal failure","N17-N19",20,656423,3.0
,"Alabama","01","2021","2021","35-44 years","35-44","Renal failure","N17-N19",67,621325,10.8
,"Alabama","01","2021","2021","45-54 years","45-54","Renal failure","N17-N19",158,622194,25.4
,"Alabama","01","2021","2021","55-64 years","55-64","Renal failure","N17-N19",393,672373,58.4
,"Alabama","01","2021","2021","65-74 years","65-74","Renal failure","N17-N19",524,541944,96.7
,"Alabama","01","2021","2021","75-84 years","75-84","Renal failure","N17-N19",499,261671,190.7
,"Alabama","01","2021","2021","85+ years","85+","Renal failure","N17-N19",302,85202,354.5
,"Alabama","01","2022","2022","25-34 years","25-34","Renal failure","N17-N19",31,657905,4.7
,"Alabama","01","2022","2022","35-44 years","35-44","Renal failure","N17-N19",63,621848,10.1
,"Alabama","01","2022","2022","45-54 years","45-54","Renal failure","N17-N19",143,617797,23.1
,"Alabama","01","2022","2022","55-64 years","55-64","Renal failure","N17-N19",373,658430,56.6
,"Alabama","01","2022","2022","65-74 years","65-74","Renal failure","N17-N19",613,540882,113.3
,"Alabama","01","2022","2022","75-84 years","75-84","Renal failure","N17-N19",574,280480,204.6
,"Alabama","01","2022","2022","85+ years","85+","Renal failure","N17-N19",372,93371,398.4
,"Alabama","01","2023","2023","25-34 years","25-34","Renal failure","N17-N19",30,660795,4.5
,"Alabama","01","2023","2023","35-44 years","35-44","Renal failure","N17-N19",40,631197,6.3
,"Alabama","01","2023","2023","45-54 years","45-54","Renal failure","N17-N19",139,618963,22.5
,"Alabama","01","2023","2023","55-64 years","55-64","Renal failure","N17-N19",309,654066,47.2
,"Alabama","01","2023","2023","65-74 years","65-74","Renal failure","N17-N19",544,550923,98.7
,"Alabama","01","2023","2023","75-84 years","75-84","Renal failure","N17-N19",581,290970,199.7
,"Alabama","01","2023","2023","85+ years","85+","Renal failure","N17-N19",352,90419,389.3
,"Alabama","01","2024 (provisional)","2024","25-34 years","25-34","Renal failure","N17-N19",15,667496,Unreliable
,"Alabama","01","2024 (provisional)","2024","35-44 years","35-44","Renal failure","N17-N19",53,641915,8.3
,"Alabama","01","2024 (provisional)","2024","45-54 years","45-54","Renal failure","N17-N19",104,619567,16.8
,"Alabama","01","2024 (provisional)","2024","55-64 years","55-64","Renal failure","N17-N19",260,649788,40.0
,"Alabama","01","2024 (provisional)","2024","65-74 years","65-74","Renal failure","N17-N19",454,560133,81.1
,"Alabama","01","2024 (provisional)","2024","75-84 years","75-84","Renal failure","N17-N19",509,303054,168.0
,"Alabama","01","2024 (provisional)","2024","85+ years","85+","Renal failure","N17-N19",352,92714,379.7
,"Alabama","01","2025 (provisional and partial)","2025","25-34 years","25-34","Renal failure","N17-N19",16,667496,Unreliable
,"Alabama","01","2025 (provisional and partial)","2025","35-44 years","35-44","Renal failure","N17-N19",34,641915,5.3
,"Alabama","01","2025 (provisional and partial)","2025","45-54 years","45-54","Renal failure","N17-N19",109,619567,17.6
,"Alabama","01","2025 (provisional and partial)","2025","55-64 years","55-64","Renal failure","N17-N19",269,649788,41.4
,"Alabama","01","2025 (provisional and partial)","2025","65-74 years","65-74","Renal failure","N17-N19",458,560133,81.8
,"Alabama","01","2025 (provisional and partial)","2025","75-84 years","75-84","Renal failure","N17-N19",485,303054,160.0
,"Alabama","01","2025 (provisional and partial)","2025","85+ years","85+","Renal failure","N17-N19",293,92714,316.0
,"Alaska","02","2018","2018","55-64 years","55-64","Renal failure","N17-N19",14,94602,Unreliable
,"Alaska","02","2018","2018","65-74 years","65-74","Renal failure","N17-N19",11,58555,Unreliable
,"Alaska","02","2018","2018","75-84 years","75-84","Renal failure","N17-N19",12,21603,Unreliable
,"Alaska","02","2018","2018","85+ years","85+","Renal failure","N17-N19",13,6853,Unreliable
,"Alaska","02","2019","2019","65-74 years","65-74","Renal failure","N17-N19",18,61300,Unreliable
,"Alaska","02","2019","2019","75-84 years","75-84","Renal failure","N17-N19",19,23107,Unreliable
,"Alaska","02","2019","2019","85+ years","85+","Renal failure","N17-N19",18,7181,Unreliable
,"Alaska","02","2020","2020","55-64 years","55-64","Renal failure","N17-N19",12,91536,Unreliable
,"Alaska","02","2020","2020","65-74 years","65-74","Renal failure","N17-N19",20,64158,31.2
,"Alaska","02","2020","2020","75-84 years","75-84","Renal failure","N17-N19",25,24379,102.5
,"Alaska","02","2021","2021","45-54 years","45-54","Renal failure","N17-N19",21,83163,25.3
,"Alaska","02","2021","2021","55-64 years","55-64","Renal failure","N17-N19",28,90376,31.0
,"Alaska","02","2021","2021","65-74 years","65-74","Renal failure","N17-N19",42,66426,63.2
,"Alaska","02","2021","2021","75-84 years","75-84","Renal failure","N17-N19",36,24499,146.9
,"Alaska","02","2021","2021","85+ years","85+","Renal failure","N17-N19",19,6738,Unreliable
,"Alaska","02","2022","2022","35-44 years","35-44","Renal failure","N17-N19",11,103579,Unreliable
,"Alaska","02","2022","2022","45-54 years","45-54","Renal failure","N17-N19",12,82973,Unreliable
,"Alaska","02","2022","2022","55-64 years","55-64","Renal failure","N17-N19",26,87241,29.8
,"Alaska","02","2022","2022","65-74 years","65-74","Renal failure","N17-N19",47,67276,69.9
,"Alaska","02","2022","2022","75-84 years","75-84","Renal failure","N17-N19",66,27007,244.4
,"Alaska","02","2022","2022","85+ years","85+","Renal failure","N17-N19",42,7328,573.1
,"Alaska","02","2023","2023","35-44 years","35-44","Renal failure","N17-N19",10,105964,Unreliable
,"Alaska","02","2023","2023","45-54 years","45-54","Renal failure","N17-N19",13,82872,Unreliable
,"Alaska","02","2023","2023","55-64 years","55-64","Renal failure","N17-N19",24,85164,28.2
,"Alaska","02","2023","2023","65-74 years","65-74","Renal failure","N17-N19",44,69294,63.5
,"Alaska","02","2023","2023","75-84 years","75-84","Renal failure","N17-N19",44,28978,151.8
,"Alaska","02","2023","2023","85+ years","85+","Renal failure","N17-N19",28,7039,397.8
,"Alaska","02","2024 (provisional)","2024","45-54 years","45-54","Renal failure","N17-N19",15,83311,Unreliable
,"Alaska","02","2024 (provisional)","2024","55-64 years","55-64","Renal failure","N17-N19",23,83536,27.5
,"Alaska","02","2024 (provisional)","2024","65-74 years","65-74","Renal failure","N17-N19",33,70578,46.8
,"Alaska","02","2024 (provisional)","2024","75-84 years","75-84","Renal failure","N17-N19",29,31083,93.3
,"Alaska","02","2024 (provisional)","2024","85+ years","85+","Renal failure","N17-N19",26,7545,344.6
,"Alaska","02","2025 (provisional and partial)","2025","45-54 years","45-54","Renal failure","N17-N19",12,83311,Unreliable
,"Alaska","02","2025 (provisional and partial)","2025","55-64 years","55-64","Renal failure","N17-N19",27,83536,32.3
,"Alaska","02","2025 (provisional and partial)","2025","65-74 years","65-74","Renal failure","N17-N19",34,70578,48.2
,"Alaska","02","2025 (provisional and partial)","2025","75-84 years","75-84","Renal failure","N17-N19",30,31083,96.5
,"Alaska","02","2025 (provisional and partial)","2025","85+ years","85+","Renal failure","N17-N19",25,7545,331.3
,"Arizona","04","2018","2018","25-34 years","25-34","Renal failure","N17-N19",14,985845,Unreliable
,"Arizona","04","2018","2018","35-44 years","35-44","Renal failure","N17-N19",23,880431,2.6
,"Arizona","04","2018","2018","45-54 years","45-54","Renal failure","N17-N19",78,850790,9.2
,"Arizona","04","2018","2018","55-64 years","55-64","Renal failure","N17-N19",163,866277,18.8
,"Arizona","04","2018","2018","65-74 years","65-74","Renal failure","N17-N19",249,726162,34.3
,"Arizona","04","2018","2018","75-84 years","75-84","Renal failure","N17-N19",339,389813,87.0
