"Notes","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","35-44 years","35-44",11,619501,Unreliable
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","45-54 years","45-54",24,693854,3.5
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","55-64 years","55-64",48,588033,8.2
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","65-74 years","65-74",71,370501,19.2
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","75-84 years","75-84",88,211607,41.6
,"Alabama","01","2010","2010","Other bacterial diseases","A30-A49","85+ years","85+",70,75684,92.5
,"Alabama","01","2010","2010","Renal failure","N17-N19","35-44 years","35-44",11,619501,Unreliable
,"Alabama","01","2010","2010","Renal failure","N17-N19","45-54 years","45-54",24,693854,3.5
,"Alabama","01","2010","2010","Renal failure","N17-N19","55-64 years","55-64",48,588033,8.2
,"Alabama","01","2010","2010","Renal failure","N17-N19","65-74 years","65-74",71,370501,19.2
,"Alabama","01","2010","2010","Renal failure","N17-N19","75-84 years","75-84",87,211607,41.1
,"Alabama","01","2010","2010","Renal failure","N17-N19","85+ years","85+",70,75684,92.5
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","45-54 years","45-54",29,685148,4.2
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","55-64 years","55-64",56,610224,9.2
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","65-74 years","65-74",64,380180,16.8
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","75-84 years","75-84",101,214663,47.1
,"Alabama","01","2011","2011","Other bacterial diseases","A30-A49","85+ years","85+",74,77743,95.2
,"Alabama","01","2011","2011","Renal failure","N17-N19","45-54 years","45-54",29,685148,4.2
,"Alabama","01","2011","2011","Renal failure","N17-N19","55-64 years","55-64",56,610224,9.2
,"Alabama","01","2011","2011","Renal failure","N17-N19","65-74 years","65-74",64,380180,16.8
,"Alabama","01","2011","2011","Renal failure","N17-N19","75-84 years","75-84",102,214663,47.5
,"Alabama","01","2011","2011","Renal failure","N17-N19","85+ years","85+",74,77743,95.2
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","35-44 years","35-44",11,606667,Unreliable
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","45-54 years","45-54",29,673464,4.3
,"Alabama","01","2012","2012","Other bacterial diseases","A30-A49","55-64 years","55-64",54,615408,8.8
