"Notes","Residence State","Residence State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",30,627458,4.8
,"Alabama","01","2018","2018","45-54 years","45-54","Renal failure","N17-N19",31,627458,4.9
,"Alabama","01","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",45,655179,6.9
,"Alabama","01","2018","2018","55-64 years","55-64","Renal failure","N17-N19",45,655179,6.9
,"Alabama","01","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",92,487721,18.9
,"Alabama","01","2018","2018","65-74 years","65-74","Renal failure","N17-N19",92,487721,18.9
,"Alabama","01","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",59,249308,23.7
,"Alabama","01","2018","2018","75-84 years","75-84","Renal failure","N17-N19",60,249308,24.1
,"Alabama","01","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",53,89865,59.0
,"Alabama","01","2018","2018","85+ years","85+","Renal failure","N17-N19",53,89865,59.0
,"Alabama","01","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",25,616616,4.1
,"Alabama","01","2019","2019","45-54 years","45-54","Renal failure","N17-N19",25,616616,4.1
,"Alabama","01","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",64,657667,9.7
,"Alabama","01","2019","2019","55-64 years","55-64","Renal failure","N17-N19",64,657667,9.7
,"Alabama","01","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",69,501447,13.8
,"Alabama","01","2019","2019","65-74 years","65-74","Renal failure","N17-N19",69,501447,13.8
,"Alabama","01","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",60,256847,23.4
,"Alabama","01","2019","2019","75-84 years","75-84","Renal failure","N17-N19",61,256847,23.7
,"Alabama","01","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",42,91543,45.9
,"Alabama","01","2019","2019","85+ years","85+","Renal failure","N17-N19",42,91543,45.9
,"Alabama","01","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",17,596362,Unreliable
,"Alabama","01","2020","2020","35-44 years","35-44","Renal failure","N17-N19",17,596362,Unreliable
,"Alabama","01","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",37,608174,6.1
,"Alabama","01","2020","2020","45-54 years","45-54","Renal failure","N17-N19",37,608174,6.1
,"Alabama","01","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",84,657281,12.8
,"Alabama","01","2020","2020","55-64 years","55-64","Renal failure","N17-N19",84,657281,12.8
,"Alabama","01","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",140,517717,27.0
,"Alabama","01","2020","2020","65-74 years","65-74","Renal failure","N17-N19",143,517717,27.6
,"Alabama","01","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",104,263668,39.4
,"Alabama","01","2020","2020","75-84 years","75-84","Renal failure","N17-N19",104,263668,39.4
,"Alabama","01","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",44,92859,47.4
,"Alabama","01","2020","2020","85+ years","85+","Renal failure","N17-N19",44,92859,47.4
,"Alabama","01","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",22,621325,3.5
,"Alabama","01","2021","2021","35-44 years","35-44","Renal failure","N17-N19",22,621325,3.5
,"Alabama","01","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",57,622194,9.2
,"Alabama","01","2021","2021","45-54 years","45-54","Renal failure","N17-N19",58,622194,9.3
,"Alabama","01","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",144,672373,21.4
,"Alabama","01","2021","2021","55-64 years","55-64","Renal failure","N17-N19",146,672373,21.7
,"Alabama","01","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",189,541944,34.9
,"Alabama","01","2021","2021","65-74 years","65-74","Renal failure","N17-N19",189,541944,34.9
,"Alabama","01","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",138,261671,52.7
,"Alabama","01","2021","2021","75-84 years","75-84","Renal failure","N17-N19",138,261671,52.7
,"Alabama","01","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",78,85202,91.5
,"Alabama","01","2021","2021","85+ years","85+","Renal failure","N17-N19",78,85202,91.5
,"Alabama","01","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",13,657905,Unreliable
,"Alabama","01","2022","2022","25-34 years","25-34","Renal failure","N17-N19",13,657905,Unreliable
,"Alabama","01","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",18,621848,Unreliable
,"Alabama","01","2022","2022","35-44 years","35-44","Renal failure","N17-N19",18,621848,Unreliable
,"Alabama","01","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",58,617797,9.4
,"Alabama","01","2022","2022","45-54 years","45-54","Renal failure","N17-N19",58,617797,9.4
,"Alabama","01","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",148,658430,22.5
,"Alabama","01","2022","2022","55-64 years","55-64","Renal failure","N17-N19",150,658430,22.8
,"Alabama","01","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",232,540882,42.9
,"Alabama","01","2022","2022","65-74 years","65-74","Renal failure","N17-N19",234,540882,43.3
,"Alabama","01","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",195,280480,69.5
,"Alabama","01","2022","2022","75-84 years","75-84","Renal failure","N17-N19",195,280480,69.5
,"Alabama","01","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",84,93371,90.0
,"Alabama","01","2022","2022","85+ years","85+","Renal failure","N17-N19",85,93371,91.0
,"Alabama","01","2023","2023","25-34 years","25-34","Other bacterial diseases","A30-A49",11,660795,Unreliable
,"Alabama","01","2023","2023","25-34 years","25-34","Renal failure","N17-N19",11,660795,Unreliable
,"Alabama","01","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",11,631197,Unreliable
,"Alabama","01","2023","2023","35-44 years","35-44","Renal failure","N17-N19",11,631197,Unreliable
,"Alabama","01","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",45,618963,7.3
,"Alabama","01","2023","2023","45-54 years","45-54","Renal failure","N17-N19",45,618963,7.3
,"Alabama","01","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",121,654066,18.5
,"Alabama","01","2023","2023","55-64 years","55-64","Renal failure","N17-N19",122,654066,18.7
,"Alabama","01","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",200,550923,36.3
,"Alabama","01","2023","2023","65-74 years","65-74","Renal failure","N17-N19",200,550923,36.3
,"Alabama","01","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",205,290970,70.5
,"Alabama","01","2023","2023","75-84 years","75-84","Renal failure","N17-N19",205,290970,70.5
,"Alabama","01","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",104,90419,115.0
,"Alabama","01","2023","2023","85+ years","85+","Renal failure","N17-N19",104,90419,115.0
,"Alabama","01","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",20,641915,3.1
,"Alabama","01","2024 (provisional)","2024","35-44 years","35-44","Renal failure","N17-N19",20,641915,3.1
,"Alabama","01","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",36,619567,5.8
,"Alabama","01","2024 (provisional)","2024","45-54 years","45-54","Renal failure","N17-N19",36,619567,5.8
,"Alabama","01","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",102,649788,15.7
,"Alabama","01","2024 (provisional)","2024","55-64 years","55-64","Renal failure","N17-N19",102,649788,15.7
,"Alabama","01","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",169,560133,30.2
,"Alabama","01","2024 (provisional)","2024","65-74 years","65-74","Renal failure","N17-N19",170,560133,30.3
,"Alabama","01","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",173,303054,57.1
,"Alabama","01","2024 (provisional)","2024","75-84 years","75-84","Renal failure","N17-N19",173,303054,57.1
,"Alabama","01","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",97,92714,104.6
,"Alabama","01","2024 (provisional)","2024","85+ years","85+","Renal failure","N17-N19",97,92714,104.6
,"Alabama","01","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",14,641915,Unreliable
,"Alabama","01","2025 (provisional and partial)","2025","35-44 years","35-44","Renal failure","N17-N19",14,641915,Unreliable
,"Alabama","01","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",37,619567,6.0
,"Alabama","01","2025 (provisional and partial)","2025","45-54 years","45-54","Renal failure","N17-N19",37,619567,6.0
,"Alabama","01","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",99,649788,15.2
,"Alabama","01","2025 (provisional and partial)","2025","55-64 years","55-64","Renal failure","N17-N19",101,649788,15.5
,"Alabama","01","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",165,560133,29.5
,"Alabama","01","2025 (provisional and partial)","2025","65-74 years","65-74","Renal failure","N17-N19",165,560133,29.5
