"period","place_group","avg_annual_deaths","years_in_period","dataset"
"Pre-pandemic (2010–2019)","Medical Facility",47011.5,10,"AKI"
"Pre-pandemic (2010–2019)","Non-medical facility",14971,10,"AKI"
"Pandemic (2020–2022)","Medical Facility",89167.3333333333,3,"AKI"
"Pandemic (2020–2022)","Non-medical facility",21017,3,"AKI"
"Transition (2023)","Medical Facility",92367,1,"AKI"
"Transition (2023)","Non-medical facility",21694,1,"AKI"
"Post-pandemic (2024–2025)","Medical Facility",88844.5,2,"AKI"
"Post-pandemic (2024–2025)","Non-medical facility",21524,2,"AKI"
"Pre-pandemic (2010–2019)","Medical Facility",31420.3,10,"AKI & Sepsis"
"Pre-pandemic (2010–2019)","Non-medical facility",2946.2,10,"AKI & Sepsis"
"Pandemic (2020–2022)","Medical Facility",61580,3,"AKI & Sepsis"
"Pandemic (2020–2022)","Non-medical facility",5092.66666666667,3,"AKI & Sepsis"
"Transition (2023)","Medical Facility",67008,1,"AKI & Sepsis"
"Transition (2023)","Non-medical facility",5837,1,"AKI & Sepsis"
"Post-pandemic (2024–2025)","Medical Facility",64028.5,2,"AKI & Sepsis"
"Post-pandemic (2024–2025)","Non-medical facility",5989,2,"AKI & Sepsis"
"Pre-pandemic (2010–2019)","Medical Facility",154215.6,10,"Sepsis"
"Pre-pandemic (2010–2019)","Non-medical facility",30730.7,10,"Sepsis"
"Pandemic (2020–2022)","Medical Facility",209405.333333333,3,"Sepsis"
"Pandemic (2020–2022)","Non-medical facility",39517.3333333333,3,"Sepsis"
"Transition (2023)","Medical Facility",188630,1,"Sepsis"
"Transition (2023)","Non-medical facility",36859,1,"Sepsis"
"Post-pandemic (2024–2025)","Medical Facility",184244,2,"Sepsis"
"Post-pandemic (2024–2025)","Non-medical facility",36529.5,2,"Sepsis"
